name,category,status,severity,observed,expected,details
constraint slack nonnegative: Greek Markowitz + VIX,optimizer,pass,critical,"{""Beta SPY slack"": 0.657913093255635, ""Gross NAV slack"": 1.0000000018051125e-06, ""Max underlying gross slack"": 0.15000100000000183, ""Per-contract slack"": 0.020904982890004697, ""Short gross slack"": 1.0000000060794711e-06, ""Strategy"": ""Greek Markowitz + VIX"", ""Stress slack"": 1.2045919817182948e-14, ""VIX vega finite"": true}",all slack >= 0,
constraint slack nonnegative: Beta/delta-neutral + VIX,optimizer,pass,critical,"{""Beta SPY slack"": 0.1045402351164757, ""Gross NAV slack"": 1.0000000333354464e-06, ""Max underlying gross slack"": 0.12888969580132412, ""Per-contract slack"": 0.0507831389769525, ""Short gross slack"": 1.0000000097154516e-06, ""Strategy"": ""Beta/delta-neutral + VIX"", ""Stress slack"": 0.33988169220585873, ""VIX vega finite"": true}",all slack >= 0,
constraint slack nonnegative: Equal premium,optimizer,pass,critical,"{""Beta SPY slack"": null, ""Gross NAV slack"": 1.000000000916934e-06, ""Max underlying gross slack"": null, ""Per-contract slack"": null, ""Short gross slack"": null, ""Strategy"": ""Equal premium"", ""Stress slack"": null, ""VIX vega finite"": true}",all slack >= 0,
constraint slack nonnegative: Equal risk,optimizer,pass,critical,"{""Beta SPY slack"": null, ""Gross NAV slack"": 1.0000000024712463e-06, ""Max underlying gross slack"": null, ""Per-contract slack"": null, ""Short gross slack"": null, ""Strategy"": ""Equal risk"", ""Stress slack"": null, ""VIX vega finite"": true}",all slack >= 0,
constraint slack nonnegative: VIX hedge sleeve,optimizer,pass,critical,"{""Beta SPY slack"": null, ""Gross NAV slack"": 9.999999999177334e-07, ""Max underlying gross slack"": null, ""Per-contract slack"": null, ""Short gross slack"": null, ""Strategy"": ""VIX hedge sleeve"", ""Stress slack"": null, ""VIX vega finite"": true}",all slack >= 0,
constraint audit rows written,optimizer,pass,critical,6,>=3,
post-cost returns no greater than gross for option strategies on average,empirical,pass,critical,"{""Beta/delta-neutral + VIX"": -0.42234176802488166, ""Equal premium"": -0.2591236114652083, ""Equal risk"": -0.11505201556888449, ""Equity-option Greek Markowitz"": -0.7328719186936924, ""Greek Markowitz + VIX"": -0.6104286502961673, ""VIX hedge sleeve"": -0.4232794511500628}",,
post-cost return schema matches gross,empirical,pass,critical,"[""Beta/delta-neutral + VIX"", ""Delta-matched equities"", ""Equal premium"", ""Equal risk"", ""Equity-option Greek Markowitz"", ""Greek Markowitz + VIX"", ""Underlying Markowitz"", ""VIX hedge sleeve""]","[""Beta/delta-neutral + VIX"", ""Delta-matched equities"", ""Equal premium"", ""Equal risk"", ""Equity-option Greek Markowitz"", ""Greek Markowitz + VIX"", ""Underlying Markowitz"", ""VIX hedge sleeve""]",
all executable cost scenarios present,empirical,pass,critical,"[""full_spread"", ""half_spread"", ""mid""]",mid/half_spread/full_spread,
strategy has all cost scenarios: Equity-option Greek Markowitz,empirical,pass,critical,"[""Equity-option Greek Markowitz::full_spread"", ""Equity-option Greek Markowitz::half_spread"", ""Equity-option Greek Markowitz::mid""]","[""Equity-option Greek Markowitz::full_spread"", ""Equity-option Greek Markowitz::half_spread"", ""Equity-option Greek Markowitz::mid""]",
strategy has all cost scenarios: Greek Markowitz + VIX,empirical,pass,critical,"[""Greek Markowitz + VIX::full_spread"", ""Greek Markowitz + VIX::half_spread"", ""Greek Markowitz + VIX::mid""]","[""Greek Markowitz + VIX::full_spread"", ""Greek Markowitz + VIX::half_spread"", ""Greek Markowitz + VIX::mid""]",
strategy has all cost scenarios: Beta/delta-neutral + VIX,empirical,pass,critical,"[""Beta/delta-neutral + VIX::full_spread"", ""Beta/delta-neutral + VIX::half_spread"", ""Beta/delta-neutral + VIX::mid""]","[""Beta/delta-neutral + VIX::full_spread"", ""Beta/delta-neutral + VIX::half_spread"", ""Beta/delta-neutral + VIX::mid""]",
strategy has all cost scenarios: Equal premium,empirical,pass,critical,"[""Equal premium::full_spread"", ""Equal premium::half_spread"", ""Equal premium::mid""]","[""Equal premium::full_spread"", ""Equal premium::half_spread"", ""Equal premium::mid""]",
strategy has all cost scenarios: Equal risk,empirical,pass,critical,"[""Equal risk::full_spread"", ""Equal risk::half_spread"", ""Equal risk::mid""]","[""Equal risk::full_spread"", ""Equal risk::half_spread"", ""Equal risk::mid""]",
