Strategy,Gross NAV slack,Short gross slack,Per-contract slack,Max underlying gross slack,Beta SPY slack,Stress slack,VIX vega finite
Equity-option Greek Markowitz,1.0000000055798708e-06,1.0000000041365809e-06,0.045282650870974384,0.09035474290243295,2.149391775674303e-13,0.14342202014501054,True
Greek Markowitz + VIX,1.000000002693291e-06,1.0000000066900938e-06,0.020904979921186506,0.15000100000000194,0.6579132188280075,2.6756374893466273e-14,True
Beta/delta-neutral + VIX,1.0000000232324169e-06,1.0000000130461206e-06,0.050782840117196804,0.1288900735899968,0.10452852610385399,0.3398816609556664,True
Cost-aware Sortino + VIX,9.999999999177334e-07,,,,,,True
Equal premium,1.000000000916934e-06,,,,,,True
Equal risk,1.000000002693291e-06,,,,,,True
VIX hedge sleeve,9.999999999177334e-07,,,,,,True
