Strategy,basis,Method,Realized Sharpe,P05 Sharpe,P50 Sharpe,P95 Sharpe,P50 Max Drawdown,P Sharpe Less Than 0,P Default
larger E1 capped,full_cost_net_overlay,joint_garch_block,0.5627162905974455,-269.31476591090404,-101.02396147989177,-67.8779048217601,-0.999999856363804,1.0,0.0
larger E1 capped,gross,joint_garch_block,0.819799536825463,-582.221170178716,-582.2211701787155,-582.2211701787152,-0.9999993908145783,1.0,0.0
larger Equal premium capped,full_cost_net_overlay,joint_garch_block,0.48061024970981153,-509.301084409896,-287.8756602202144,-217.7627887727898,-1.0,1.0,0.0
larger Equal premium capped,gross,joint_garch_block,0.6951238689136057,-2511.611046821218,-2511.611046821211,-2511.611046821204,-1.0,1.0,0.0
larger Equal risk capped,full_cost_net_overlay,joint_garch_block,0.5580506176345401,-365.93381144339344,-111.04595435810383,-66.14062756837168,-1.0,1.0,0.0
larger Equal risk capped,gross,joint_garch_block,0.8173286433687711,-1925.6676386794652,-1925.6676386794597,-1925.6676386794543,-1.0,1.0,0.0
larger GM paper,full_cost_net_overlay,joint_garch_block,-2.2789576553984197,-3.93479168922854,-2.617409211932459,-2.322429858424059,-1.0,1.0,1.0
larger GM paper,gross,joint_garch_block,0.500280341044454,-115.4517534343573,-115.45175343435727,-115.45175343435726,-0.9996651622557395,1.0,0.0
larger+VIX E1 capped,full_cost_net_overlay,joint_garch_block,1.514035612117258,-13.562235877435105,-13.061571546282305,-12.281116477375894,-0.999999997062822,1.0,0.0
larger+VIX E1 capped,gross,joint_garch_block,1.922896211748667,-12.018262384435424,-12.018262384435424,-12.01826238443542,-0.99999995488089,1.0,0.0
larger+VIX Equal premium capped,full_cost_net_overlay,joint_garch_block,0.07905387400704766,-49.644698147408576,-48.34956363217263,-46.91079932567909,-1.0,1.0,0.0
larger+VIX Equal premium capped,gross,joint_garch_block,0.3232687992806882,-46.612064859787985,-46.61206485978798,-46.61206485978797,-1.0,1.0,0.0
larger+VIX Equal risk capped,full_cost_net_overlay,joint_garch_block,0.27207197960340457,-53.533272140608624,-50.94300664592462,-47.098664229283614,-1.0,1.0,0.0
larger+VIX Equal risk capped,gross,joint_garch_block,0.5370443143969553,-51.378028960574916,-51.378028960574916,-51.37802896057491,-1.0,1.0,0.0
larger+VIX GM paper,full_cost_net_overlay,joint_garch_block,-2.138783561790056,-5.514448495152544,-2.7219925974175014,-2.3414148151568734,-1.0,1.0,1.0
larger+VIX GM paper,gross,joint_garch_block,0.8530801709964747,-23.41894321039205,-23.41894321039205,-23.41894321039205,-0.999794648655546,1.0,0.0
orig E1 capped,full_cost_net_overlay,joint_garch_block,0.7241215889649832,-3.422098166347819,0.38307168611759235,1.630989953443087,-0.9975499238379719,0.35,0.1
orig E1 capped,gross,joint_garch_block,0.9536794133099091,-3.08594558363776,0.4804200977948342,1.67280940480086,-0.9953616264154361,0.35,0.1
orig Equal premium capped,full_cost_net_overlay,joint_garch_block,0.3590178087634934,-3.79368265661332,0.4831113666424798,1.5369015728365574,-0.9991555472178745,0.4,0.0
orig Equal premium capped,gross,joint_garch_block,0.5392379625987882,-3.5723207295872514,0.5742431430082167,1.5965854334020086,-0.996900726376494,0.35,0.0
orig Equal risk capped,full_cost_net_overlay,joint_garch_block,0.3407638139215389,-3.8832986083899765,0.4243763960161384,1.541691978578285,-0.9991074039271098,0.35,0.0
orig Equal risk capped,gross,joint_garch_block,0.5555151377806686,-3.683234145447035,0.5278231758129609,1.606002629454071,-0.9970956789009401,0.35,0.0
orig GM paper,full_cost_net_overlay,joint_garch_block,-1.4147928991911154,-2.236286031301777,-1.7430335546977473,-1.4377387514410718,-1.0,1.0,1.0
orig GM paper,gross,joint_garch_block,0.853311201763669,-2.693824860598996,-0.6589224387193062,0.6583776627153319,-0.9999378104778179,0.75,0.25
orig+VIX E1 capped,full_cost_net_overlay,joint_garch_block,1.2875638121896607,-2.683303068791805,0.17629035485387837,1.0707058889088803,-1.0,0.45,0.75
orig+VIX E1 capped,gross,joint_garch_block,1.6035878098030374,-2.4793796937010826,0.3087381361127638,1.1658276453194838,-1.0,0.45,0.75
orig+VIX Equal premium capped,full_cost_net_overlay,joint_garch_block,-0.8763391357452797,-0.8883710515243624,0.6626355920018412,2.0606002092739053,-0.9999983072584125,0.25,0.0
orig+VIX Equal premium capped,gross,joint_garch_block,-0.6060955232983243,-0.6765934006365316,0.7768570418334539,2.079154181413643,-0.9999841714294646,0.2,0.0
orig+VIX Equal risk capped,full_cost_net_overlay,joint_garch_block,-1.0051028856045827,-0.6499950730121696,0.6926060082903787,2.0607247068705825,-0.9999951605363875,0.3,0.0
orig+VIX Equal risk capped,gross,joint_garch_block,-0.7066952954787802,-0.4726311973335326,0.8320665436869137,2.0769123640447225,-0.9999227284882068,0.3,0.0
orig+VIX GM paper,full_cost_net_overlay,joint_garch_block,-1.20404880823636,-2.361106375539951,-1.8314220015710836,-1.2550075659964042,-1.0,1.0,1.0
orig+VIX GM paper,gross,joint_garch_block,1.387394399984995,-3.6134205064160643,-1.5005385295687894,0.45820655599652144,-1.0,0.8,0.6
