config,fold_id,scheme,strategy,display_strategy,basis,status,solver_status,mode,capacity_infeasible,sum_of_caps,deployed_gross,sharpe,sortino,ann_return,ann_vol,max_drawdown,terminal_wealth,defaulted
orig,kfold_00,kfold,orig E1 capped,E1 capped,gross,ok,optimal,hard,True,0.822376375,0.549665153129649,1.06990620688943,2.9015269081345485,0.9033682873566293,0.9562175051737859,-0.5207223005847148,5.870671505909363,False
orig,kfold_00,kfold,orig E1 capped,E1 capped,full_cost_net,ok,optimal,hard,True,0.822376375,0.549665153129649,-0.5690717262110773,-0.5725639514401673,-1.0,8.310714122678634,-1.0,0.0,True
orig,kfold_00,kfold,orig GM paper,GM paper,gross,ok,optimal,uncapped,False,,0.99999898810374,1.0069292485249155,2.223681610136054,0.6787533283824569,0.7975928082952021,-0.5683981617402377,4.156367483164438,False
orig,kfold_00,kfold,orig GM paper,GM paper,full_cost_net,ok,optimal,uncapped,False,,0.99999898810374,-2.473155978524887,-2.0339304342760434,-1.0,13.162252632180525,-1.0,0.0,True
orig,kfold_00,kfold,orig Equal premium capped,Equal premium capped,gross,ok,reference,relaxed,True,0.822376375,0.78125755625,0.5225002126554099,1.0514229323634834,0.02817222137699571,1.1842614000278746,-0.6769867739699432,1.0793968141423165,False
orig,kfold_00,kfold,orig Equal premium capped,Equal premium capped,full_cost_net,ok,reference,relaxed,True,0.822376375,0.78125755625,-0.8706300250079196,-0.8598369880686507,-1.0,8.407535790194979,-1.0,0.0,True
orig,kfold_00,kfold,orig Equal risk capped,Equal risk capped,gross,ok,reference,relaxed,True,0.822376375,0.78125755625,0.5720725300543863,1.1688520905879143,0.0686628984162494,1.2403307385384406,-0.7116354415990046,1.2003613762361665,False
orig,kfold_00,kfold,orig Equal risk capped,Equal risk capped,full_cost_net,ok,reference,relaxed,True,0.822376375,0.78125755625,-0.8586440584342202,-0.849294988690671,-1.0,8.418079891682016,-1.0,0.0,True
orig,kfold_01,kfold,orig E1 capped,E1 capped,gross,ok,optimal,hard,True,0.8706183999999999,0.5563586083968299,1.6017188801312467,4.6295755393678455,2.9794283870660996,1.385544775559261,-0.687383074418487,39.76691030221529,False
orig,kfold_01,kfold,orig E1 capped,E1 capped,full_cost_net,ok,optimal,hard,True,0.8706183999999999,0.5563586083968299,1.4301526603809793,3.833708906074027,2.159305938876848,1.3757980146671092,-0.7238620023311783,21.490399567752824,False
orig,kfold_01,kfold,orig GM paper,GM paper,gross,ok,optimal,uncapped,False,,0.9999990487869481,0.9146011915534487,1.9957401576950238,-0.2689424668981987,1.4876934901974688,-0.9896985960305242,0.43371470889812946,False
orig,kfold_01,kfold,orig GM paper,GM paper,full_cost_net,ok,optimal,uncapped,False,,0.9999990487869481,-2.3528477754373216,-1.9754388900492084,-1.0,3.129314671945825,-1.0,0.0,True
orig,kfold_01,kfold,orig Equal premium capped,Equal premium capped,gross,ok,reference,relaxed,True,0.8706183999999999,0.8270874799999998,1.6582107873970733,5.3252725590568195,5.263479236943614,2.3116166583829414,-0.6739068055871051,133.30354908815187,False
