Strategy,Return basis,Method,Status,N obs,Source start,Source end,Periods/year,Period mean,Period volatility,Skewness,Excess kurtosis,Lag1 autocorr,Block length,Path count,Interpretation,Reason
orig+VIX GM paper,Gross before costs,garch11_residual_fallback_insufficient_egarch_obs,fallback,60,2021-01-29,2026-04-30,12,0.1043581315582185,0.2605655407629531,0.5220174923596799,-0.3851538563752963,-0.006199457134835164,,20,tail-path diagnostic; not a trading signal,insufficient_egarch_obs
orig+VIX Equal premium capped,Gross before costs,circular_block_bootstrap,ok,60,2021-01-29,2026-04-30,12,-0.07703905859042073,0.4403119921418935,1.3930703713704464,2.413582256700685,-0.25785092678357974,6.0,20,tail-path diagnostic; not a trading signal,
orig+VIX Equal premium capped,Gross before costs,garch11_residual_fallback_insufficient_egarch_obs,fallback,60,2021-01-29,2026-04-30,12,-0.07703905859042073,0.4403119921418935,1.3930703713704464,2.413582256700685,-0.25785092678357974,,20,tail-path diagnostic; not a trading signal,insufficient_egarch_obs
orig+VIX Equal risk capped,Gross before costs,circular_block_bootstrap,ok,60,2021-01-29,2026-04-30,12,-0.08359047018104009,0.4097464418071254,1.3120847138262328,2.038247301028688,-0.2501411951996946,6.0,20,tail-path diagnostic; not a trading signal,
orig+VIX Equal risk capped,Gross before costs,garch11_residual_fallback_insufficient_egarch_obs,fallback,60,2021-01-29,2026-04-30,12,-0.08359047018104009,0.4097464418071254,1.3120847138262328,2.038247301028688,-0.2501411951996946,,20,tail-path diagnostic; not a trading signal,insufficient_egarch_obs
larger E1 capped,Gross before costs,circular_block_bootstrap,ok,60,2021-01-29,2026-04-30,12,0.05998889736790335,0.25348591567541917,1.1810038598284136,1.2798648132732633,-0.14896017707296072,6.0,20,tail-path diagnostic; not a trading signal,
larger E1 capped,Gross before costs,garch11_residual_fallback_insufficient_egarch_obs,fallback,60,2021-01-29,2026-04-30,12,0.05998889736790335,0.25348591567541917,1.1810038598284136,1.2798648132732633,-0.14896017707296072,,20,tail-path diagnostic; not a trading signal,insufficient_egarch_obs
larger GM paper,Gross before costs,circular_block_bootstrap,ok,60,2021-01-29,2026-04-30,12,0.02718571982577207,0.18824264763338236,-0.3074736642770775,1.6148925456389862,-0.06041173083016199,6.0,20,tail-path diagnostic; not a trading signal,
larger GM paper,Gross before costs,garch11_residual_fallback_insufficient_egarch_obs,fallback,60,2021-01-29,2026-04-30,12,0.02718571982577207,0.18824264763338236,-0.3074736642770775,1.6148925456389862,-0.06041173083016199,,20,tail-path diagnostic; not a trading signal,insufficient_egarch_obs
larger Equal premium capped,Gross before costs,circular_block_bootstrap,ok,60,2021-01-29,2026-04-30,12,0.09165143332232123,0.45673856473629854,1.3643014701858085,1.8182408275319175,-0.19141088725294694,6.0,20,tail-path diagnostic; not a trading signal,
