config,return_date,strategy,display_strategy,train_start,train_end,status,solver_status,capacity_infeasible,deployed_gross,gross_ret,net_ret
orig+VIX,2021-04-30,orig+VIX Equal premium capped,Equal premium capped,2018-02-28,2021-03-31,ok,reference,False,1.0,0.4664783377883913,0.43912924382691626
orig+VIX,2021-04-30,orig+VIX Equal risk capped,Equal risk capped,2018-02-28,2021-03-31,ok,reference,False,1.0,0.4459163979881985,0.41845422301344737
orig+VIX,2021-11-30,orig+VIX E1 capped,E1 capped,2018-09-28,2021-10-29,ok,optimal,False,0.9122370176939045,0.2920136849455967,0.26793985079350424
orig+VIX,2021-11-30,orig+VIX GM paper,GM paper,2018-09-28,2021-10-29,ok,optimal,False,0.9999995920067558,0.34582598483704075,0.3161353656678003
orig+VIX,2021-11-30,orig+VIX Equal premium capped,Equal premium capped,2018-09-28,2021-10-29,ok,reference,False,0.9999999999999999,0.34240263938959953,0.31712860335686704
orig+VIX,2021-11-30,orig+VIX Equal risk capped,Equal risk capped,2018-09-28,2021-10-29,ok,reference,False,1.0,0.3778325283241393,0.3564014644862915
orig+VIX,2022-06-30,orig+VIX E1 capped,E1 capped,2019-04-30,2022-05-31,ok,optimal,False,0.8999998614869664,0.07431166323683155,0.051439149677332395
orig+VIX,2022-06-30,orig+VIX GM paper,GM paper,2019-04-30,2022-05-31,ok,optimal,False,0.9999998529128097,0.09262193792240192,-0.17878832444538434
orig+VIX,2022-06-30,orig+VIX Equal premium capped,Equal premium capped,2019-04-30,2022-05-31,ok,reference,False,1.0,0.04637489448842124,0.01994390457077961
orig+VIX,2022-06-30,orig+VIX Equal risk capped,Equal risk capped,2019-04-30,2022-05-31,ok,reference,False,0.9999999999999998,-0.012644498225570289,-0.03523867843072408
orig+VIX,2022-12-30,orig+VIX E1 capped,E1 capped,2019-10-31,2022-11-30,ok,infeasible,True,0.0,0.0,0.0
orig+VIX,2022-12-30,orig+VIX GM paper,GM paper,2019-10-31,2022-11-30,ok,optimal,False,0.9999995723345161,0.056287377775886493,-0.0001917220222152627
orig+VIX,2022-12-30,orig+VIX Equal premium capped,Equal premium capped,2019-10-31,2022-11-30,ok,reference,True,0.5671322825000001,-0.18077208374664316,-0.19824704395609596
orig+VIX,2022-12-30,orig+VIX Equal risk capped,Equal risk capped,2019-10-31,2022-11-30,ok,reference,True,0.5671322825,-0.1807720837466431,-0.19804857821248342
orig+VIX,2023-06-30,orig+VIX E1 capped,E1 capped,2020-04-30,2023-05-31,ok,optimal,True,0.7189221727998856,0.38876650002976476,0.36911986129390695
orig+VIX,2023-06-30,orig+VIX GM paper,GM paper,2020-04-30,2023-05-31,ok,optimal,False,0.9999998826448501,0.13588067602080914,0.04004753107238124
orig+VIX,2023-06-30,orig+VIX Equal premium capped,Equal premium capped,2020-04-30,2023-05-31,ok,reference,True,0.738364795,0.7012965543606733,0.6819342129657663
orig+VIX,2023-06-30,orig+VIX Equal risk capped,Equal risk capped,2020-04-30,2023-05-31,ok,reference,True,0.738364795,0.6461719368828828,0.626678835822311
orig+VIX,2023-12-29,orig+VIX E1 capped,E1 capped,2020-10-30,2023-11-30,ok,optimal,True,0.5884217981185903,-0.040037560550143174,-0.05792958905634015
orig+VIX,2023-12-29,orig+VIX GM paper,GM paper,2020-10-30,2023-11-30,ok,optimal,False,0.9999997079332381,-0.04481989167081997,-1.1832018377931235
orig+VIX,2023-12-29,orig+VIX Equal premium capped,Equal premium capped,2020-10-30,2023-11-30,ok,reference,True,0.6071870612499999,-0.15172881178383413,-0.17048292179522218
