config,fold_id,scheme,strategy,display_strategy,basis,is_sharpe,oos_sharpe,status
orig,cpcv_03,cpcv,orig E1 capped,E1 capped,full_cost_net,0.0,0.0,ok
orig,cpcv_03,cpcv,orig GM paper,GM paper,gross,1.663240085784183,1.3274783496213591,ok
orig,cpcv_03,cpcv,orig GM paper,GM paper,full_cost_net,-0.9665855069719375,-0.47902144641335104,ok
orig,cpcv_03,cpcv,orig Equal premium capped,Equal premium capped,gross,0.8160813312912955,0.9169283785593988,ok
orig,cpcv_03,cpcv,orig Equal premium capped,Equal premium capped,full_cost_net,-0.7304029869219887,0.8057886391789836,ok
orig,cpcv_03,cpcv,orig Equal risk capped,Equal risk capped,gross,0.850111093200119,0.9078631133812223,ok
orig,cpcv_03,cpcv,orig Equal risk capped,Equal risk capped,full_cost_net,-0.7160291545519322,0.7924843830348905,ok
orig+VIX,kfold_00,kfold,orig+VIX E1 capped,E1 capped,gross,0.9951256846749942,0.6080548768490953,ok
orig+VIX,kfold_00,kfold,orig+VIX E1 capped,E1 capped,full_cost_net,0.779897220295371,-0.7227416546102253,ok
orig+VIX,kfold_00,kfold,orig+VIX GM paper,GM paper,gross,1.4851124221313863,-0.5782292727186058,ok
orig+VIX,kfold_00,kfold,orig+VIX GM paper,GM paper,full_cost_net,-1.2464617795934534,-2.496962240614507,ok
orig+VIX,kfold_00,kfold,orig+VIX Equal premium capped,Equal premium capped,gross,0.44828081678836224,0.2704201005798994,ok
orig+VIX,kfold_00,kfold,orig+VIX Equal premium capped,Equal premium capped,full_cost_net,0.2687116716339935,-0.9110810241393915,ok
orig+VIX,kfold_00,kfold,orig+VIX Equal risk capped,Equal risk capped,gross,0.48878521400433533,0.603646281810762,ok
orig+VIX,kfold_00,kfold,orig+VIX Equal risk capped,Equal risk capped,full_cost_net,0.2917534560682935,-0.8398329832024388,ok
orig+VIX,kfold_01,kfold,orig+VIX E1 capped,E1 capped,gross,1.2368943777200296,0.7390014083224802,ok
orig+VIX,kfold_01,kfold,orig+VIX E1 capped,E1 capped,full_cost_net,-0.2069302445935031,0.5518060474037174,ok
orig+VIX,kfold_01,kfold,orig+VIX GM paper,GM paper,gross,1.596815836754319,1.0041576712592468,ok
orig+VIX,kfold_01,kfold,orig+VIX GM paper,GM paper,full_cost_net,-1.0612560117591845,-1.6418175131766604,ok
orig+VIX,kfold_01,kfold,orig+VIX Equal premium capped,Equal premium capped,gross,-0.1522795951321013,1.3389428279117797,ok
orig+VIX,kfold_01,kfold,orig+VIX Equal premium capped,Equal premium capped,full_cost_net,-0.6414545975754814,1.1693497415157024,ok
orig+VIX,kfold_01,kfold,orig+VIX Equal risk capped,Equal risk capped,gross,0.12539677246854133,1.6422720128913117,ok
orig+VIX,kfold_01,kfold,orig+VIX Equal risk capped,Equal risk capped,full_cost_net,-0.5576679288440295,1.4480946845760494,ok
orig+VIX,kfold_02,kfold,orig+VIX E1 capped,E1 capped,gross,0.8575979023379403,0.6842223017714223,ok
orig+VIX,kfold_02,kfold,orig+VIX E1 capped,E1 capped,full_cost_net,-0.1270787975180924,0.3282300122248099,ok
orig+VIX,kfold_02,kfold,orig+VIX GM paper,GM paper,gross,1.5313755907330209,0.9486440576736788,ok
orig+VIX,kfold_02,kfold,orig+VIX GM paper,GM paper,full_cost_net,-1.5922759987803339,-1.1182472281807292,ok
orig+VIX,kfold_02,kfold,orig+VIX Equal premium capped,Equal premium capped,gross,0.587504548949437,-1.6482442250173919,ok
orig+VIX,kfold_02,kfold,orig+VIX Equal premium capped,Equal premium capped,full_cost_net,-0.13373959611133987,-2.025202891580329,ok
orig+VIX,kfold_02,kfold,orig+VIX Equal risk capped,Equal risk capped,gross,0.5891271474279118,-1.6572597026940619,ok
orig+VIX,kfold_02,kfold,orig+VIX Equal risk capped,Equal risk capped,full_cost_net,-0.13674778684125988,-2.041756223005845,ok
orig+VIX,kfold_03,kfold,orig+VIX E1 capped,E1 capped,gross,0.7007889333448557,0.7683930226359647,ok
orig+VIX,kfold_03,kfold,orig+VIX E1 capped,E1 capped,full_cost_net,-0.8152886878810329,0.5395381072093374,ok
orig+VIX,kfold_03,kfold,orig+VIX GM paper,GM paper,gross,1.474384263109006,1.7830482312248292,ok
orig+VIX,kfold_03,kfold,orig+VIX GM paper,GM paper,full_cost_net,-1.0405271068534536,-0.6969354970047955,ok
orig+VIX,kfold_03,kfold,orig+VIX Equal premium capped,Equal premium capped,gross,0.28292151534214727,-0.2016404853435955,ok
orig+VIX,kfold_03,kfold,orig+VIX Equal premium capped,Equal premium capped,full_cost_net,-0.6235738455991474,-0.38872369722988376,ok
orig+VIX,kfold_03,kfold,orig+VIX Equal risk capped,Equal risk capped,gross,0.27810198144788684,-0.24222356253849137,ok
orig+VIX,kfold_03,kfold,orig+VIX Equal risk capped,Equal risk capped,full_cost_net,-0.6226093099519314,-0.43375725686530175,ok
orig+VIX,cpcv_00,cpcv,orig+VIX E1 capped,E1 capped,gross,0.9951256846749942,0.6080548768490953,ok
orig+VIX,cpcv_00,cpcv,orig+VIX E1 capped,E1 capped,full_cost_net,0.779897220295371,-0.7227416546102253,ok
orig+VIX,cpcv_00,cpcv,orig+VIX GM paper,GM paper,gross,1.4851124221313863,-0.5782292727186058,ok
orig+VIX,cpcv_00,cpcv,orig+VIX GM paper,GM paper,full_cost_net,-1.2464617795934534,-2.496962240614507,ok
orig+VIX,cpcv_00,cpcv,orig+VIX Equal premium capped,Equal premium capped,gross,0.44828081678836224,0.2704201005798994,ok
orig+VIX,cpcv_00,cpcv,orig+VIX Equal premium capped,Equal premium capped,full_cost_net,0.2687116716339935,-0.9110810241393915,ok
orig+VIX,cpcv_00,cpcv,orig+VIX Equal risk capped,Equal risk capped,gross,0.48878521400433533,0.603646281810762,ok
orig+VIX,cpcv_00,cpcv,orig+VIX Equal risk capped,Equal risk capped,full_cost_net,0.2917534560682935,-0.8398329832024388,ok
orig+VIX,cpcv_01,cpcv,orig+VIX E1 capped,E1 capped,gross,1.2368943777200296,0.7390014083224802,ok
orig+VIX,cpcv_01,cpcv,orig+VIX E1 capped,E1 capped,full_cost_net,-0.2069302445935031,0.5518060474037174,ok
orig+VIX,cpcv_01,cpcv,orig+VIX GM paper,GM paper,gross,1.596815836754319,1.0041576712592468,ok
orig+VIX,cpcv_01,cpcv,orig+VIX GM paper,GM paper,full_cost_net,-1.0612560117591845,-1.6418175131766604,ok
orig+VIX,cpcv_01,cpcv,orig+VIX Equal premium capped,Equal premium capped,gross,-0.1522795951321013,1.3389428279117797,ok
orig+VIX,cpcv_01,cpcv,orig+VIX Equal premium capped,Equal premium capped,full_cost_net,-0.6414545975754814,1.1693497415157024,ok
orig+VIX,cpcv_01,cpcv,orig+VIX Equal risk capped,Equal risk capped,gross,0.12539677246854133,1.6422720128913117,ok
orig+VIX,cpcv_01,cpcv,orig+VIX Equal risk capped,Equal risk capped,full_cost_net,-0.5576679288440295,1.4480946845760494,ok
orig+VIX,cpcv_02,cpcv,orig+VIX E1 capped,E1 capped,gross,0.8575979023379403,0.6842223017714223,ok
orig+VIX,cpcv_02,cpcv,orig+VIX E1 capped,E1 capped,full_cost_net,-0.1270787975180924,0.3282300122248099,ok
orig+VIX,cpcv_02,cpcv,orig+VIX GM paper,GM paper,gross,1.5313755907330209,0.9486440576736788,ok
orig+VIX,cpcv_02,cpcv,orig+VIX GM paper,GM paper,full_cost_net,-1.5922759987803339,-1.1182472281807292,ok
orig+VIX,cpcv_02,cpcv,orig+VIX Equal premium capped,Equal premium capped,gross,0.587504548949437,-1.6482442250173919,ok
orig+VIX,cpcv_02,cpcv,orig+VIX Equal premium capped,Equal premium capped,full_cost_net,-0.13373959611133987,-2.025202891580329,ok
orig+VIX,cpcv_02,cpcv,orig+VIX Equal risk capped,Equal risk capped,gross,0.5891271474279118,-1.6572597026940619,ok
orig+VIX,cpcv_02,cpcv,orig+VIX Equal risk capped,Equal risk capped,full_cost_net,-0.13674778684125988,-2.041756223005845,ok
orig+VIX,cpcv_03,cpcv,orig+VIX E1 capped,E1 capped,gross,0.7007889333448557,0.7683930226359647,ok
orig+VIX,cpcv_03,cpcv,orig+VIX E1 capped,E1 capped,full_cost_net,-0.8152886878810329,0.5395381072093374,ok
orig+VIX,cpcv_03,cpcv,orig+VIX GM paper,GM paper,gross,1.474384263109006,1.7830482312248292,ok
orig+VIX,cpcv_03,cpcv,orig+VIX GM paper,GM paper,full_cost_net,-1.0405271068534536,-0.6969354970047955,ok
orig+VIX,cpcv_03,cpcv,orig+VIX Equal premium capped,Equal premium capped,gross,0.28292151534214727,-0.2016404853435955,ok
orig+VIX,cpcv_03,cpcv,orig+VIX Equal premium capped,Equal premium capped,full_cost_net,-0.6235738455991474,-0.38872369722988376,ok
orig+VIX,cpcv_03,cpcv,orig+VIX Equal risk capped,Equal risk capped,gross,0.27810198144788684,-0.24222356253849137,ok
orig+VIX,cpcv_03,cpcv,orig+VIX Equal risk capped,Equal risk capped,full_cost_net,-0.6226093099519314,-0.43375725686530175,ok
larger,kfold_00,kfold,larger E1 capped,E1 capped,gross,1.5086540194754687,0.7384076967951114,ok
larger,kfold_00,kfold,larger E1 capped,E1 capped,full_cost_net,0.9398448043555775,-1.6865037058910508,ok
larger,kfold_00,kfold,larger GM paper,GM paper,gross,3.978328946552464,0.16360458566477612,ok
larger,kfold_00,kfold,larger GM paper,GM paper,full_cost_net,-2.163171729935928,-4.2841629883253605,ok
larger,kfold_00,kfold,larger Equal premium capped,Equal premium capped,gross,1.1021706915451863,0.42894633394217796,ok
larger,kfold_00,kfold,larger Equal premium capped,Equal premium capped,full_cost_net,0.5110317604341975,-2.4824632039631562,ok
larger,kfold_00,kfold,larger Equal risk capped,Equal risk capped,gross,1.113487926725081,0.5129445400039151,ok
larger,kfold_00,kfold,larger Equal risk capped,Equal risk capped,full_cost_net,0.36790234571625413,-2.3356250339788662,ok
larger,kfold_01,kfold,larger E1 capped,E1 capped,gross,1.3028863061933431,1.3830909544090255,ok
larger,kfold_01,kfold,larger E1 capped,E1 capped,full_cost_net,-0.1175540209564813,0.7007442309427723,ok
larger,kfold_01,kfold,larger GM paper,GM paper,gross,3.1901315448605607,0.6834399231129871,ok
larger,kfold_01,kfold,larger GM paper,GM paper,full_cost_net,-1.5268042913014443,-1.544998373537428,ok
larger,kfold_01,kfold,larger Equal premium capped,Equal premium capped,gross,0.8027733416578815,1.3392426155915997,ok
larger,kfold_01,kfold,larger Equal premium capped,Equal premium capped,full_cost_net,-0.8186306022755074,0.41674600263251194,ok
larger,kfold_01,kfold,larger Equal risk capped,Equal risk capped,gross,0.8557333894275615,1.4802242205876792,ok
larger,kfold_01,kfold,larger Equal risk capped,Equal risk capped,full_cost_net,-0.8069014928151894,0.6694634397893763,ok
larger,kfold_02,kfold,larger E1 capped,E1 capped,gross,1.579984631643843,0.39096637299694115,ok
larger,kfold_02,kfold,larger E1 capped,E1 capped,full_cost_net,-0.3827393829490064,-0.14866676536880033,ok
larger,kfold_02,kfold,larger GM paper,GM paper,gross,3.5150078627843877,0.4726358893242793,ok
larger,kfold_02,kfold,larger GM paper,GM paper,full_cost_net,-2.46561392631365,-2.0279587237437435,ok
larger,kfold_02,kfold,larger Equal premium capped,Equal premium capped,gross,1.1011838045574445,0.3774534228238975,ok
larger,kfold_02,kfold,larger Equal premium capped,Equal premium capped,full_cost_net,-0.9261563828076684,-0.4106465502449446,ok
larger,kfold_02,kfold,larger Equal risk capped,Equal risk capped,gross,1.083037225983171,0.3045499759422562,ok
