Return basis,Strategy,Requested method,Status,Simulation,Reason,N paths,Defaulted path share,Ann. return p05,Ann. return p50,Ann. return p95,Sortino p05,Sortino p50,Sortino p95,Max DD p05,Max DD p50,Max DD p95,Terminal wealth p05,Terminal wealth p50,Terminal wealth p95
Gross before costs,orig E1 capped,circular_block_bootstrap,ok,circular_block_bootstrap,,20,0.0,-0.06177683180719937,0.601152656874297,1.7932720027665148,0.4288423324548344,2.197653734571106,4.6365122634339135,-0.9063816669823501,-0.6910176566484972,-0.39531359379346687,0.756644662254684,10.540970089186228,199.00482579127183
Gross before costs,orig E1 capped,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,20,0.0,-0.1972293378243558,0.48506743571945876,1.4965155532018701,0.09774882454817599,2.051676258223595,3.7247292459240064,-0.8960460439160686,-0.660125950296252,-0.4280028636156111,0.34069120462314345,7.295670299308986,97.41629254592074
Gross before costs,orig GM paper,circular_block_bootstrap,ok,circular_block_bootstrap,,20,0.0,-0.32632177290538555,0.25720889905985955,2.312174427366707,0.12508851891888795,1.3281295841739513,3.851017104279237,-0.9737425158496598,-0.8734908041614109,-0.6145141100130214,0.14620678405478738,3.324145005501913,398.75445736235474
Gross before costs,orig GM paper,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,20,0.0,-0.69403425710713,0.20963849406797985,0.9748014403640821,-0.2809021462226563,1.3313953757081043,2.5103529913674807,-0.9994626351190551,-0.9000054035201608,-0.6371635842959785,0.00285366726167628,2.9742142341917606,30.572444336897274
Gross before costs,orig Equal premium capped,circular_block_bootstrap,ok,circular_block_bootstrap,,20,0.0,-0.45118833626176386,-0.0003181228618807652,0.9918847232157995,-0.26016434728836574,1.0166130993507185,2.4869435558894617,-0.9911696950740458,-0.9024646999347472,-0.5675495646286937,0.05169700028548153,1.0053497437053924,36.20845485765822
Gross before costs,orig Equal premium capped,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,20,0.0,-0.4480230047421384,0.01345716312145473,1.0650192544881778,-0.3686991982581672,0.9178805305728326,2.710505796253287,-0.9725427105862213,-0.9302587440400337,-0.6135583764710429,0.05388813929062297,1.0724171070947548,38.015782261330564
Gross before costs,orig Equal risk capped,circular_block_bootstrap,ok,circular_block_bootstrap,,20,0.0,-0.4345305804202143,0.019771012891281137,1.0599487297127899,-0.22752696868327843,1.0378510687204723,2.5840193771289037,-0.9898788397710121,-0.8942219637889011,-0.5595160616242977,0.06019351390714092,1.1107136810763358,42.51837161496899
Gross before costs,orig Equal risk capped,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,20,0.0,-0.4238929716477349,0.058532207996994656,1.133084049792277,-0.3280452741060569,0.9850959493532608,2.8646419702744743,-0.9675138041694924,-0.9169567734411087,-0.5952839857074649,0.06631949743230661,1.3362904391689336,44.587078319575426
Gross before costs,orig+VIX E1 capped,circular_block_bootstrap,ok,circular_block_bootstrap,,20,0.0,0.8372662173773727,1.9042229223361347,4.55931105457697,2.6315533728570424,4.275121462179227,7.838374336317292,-0.627966934400805,-0.5350995717179505,-0.32351426424183494,21.626062937421544,213.10852078378474,5623.571842325104
Gross before costs,orig+VIX E1 capped,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,20,0.0,0.9258917174881578,2.1577362191675773,4.6213451814320585,2.7898978886620203,5.7831847531706,10.348431923120211,-0.590924424764486,-0.4414491700786351,-0.24469577715942376,26.788647601869233,314.0261566193692,5689.516252370253
Gross before costs,orig+VIX GM paper,circular_block_bootstrap,ok,circular_block_bootstrap,,20,0.0,0.15601740283472296,1.091432212891661,2.7984824757996702,1.0792016858864286,3.107220756217487,5.625368081382134,-0.8299875757205452,-0.5864338191305183,-0.38680706724018565,2.1286360642151845,40.626769817625245,883.2838076821149
Gross before costs,orig+VIX GM paper,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,20,0.1,-1.0,1.059518899790114,2.8999694809562793,-0.15897311159353328,2.820584125812691,5.977797619122762,-1.0,-0.5746998728524138,-0.3858373748446434,0.0,37.07687516371347,903.2792694739572
Gross before costs,orig+VIX Equal premium capped,circular_block_bootstrap,ok,circular_block_bootstrap,,20,0.0,-0.9543612845673977,-0.8936731711278191,-0.7206737133876883,-1.7352427492401168,-0.9772830491146578,-0.2122949037025768,-0.9999998574953048,-0.9999875215885574,-0.9994466245656017,2.043191547258267e-07,1.3724977955164648e-05,0.0020230020071657535
Gross before costs,orig+VIX Equal premium capped,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,20,0.0,-0.9724744173137796,-0.9135581473723577,-0.8087454783039195,-1.9843744080396384,-1.3126258087850937,-0.3476309181166502,-0.999999965685325,-0.9999977506449615,-0.9998542221099462,1.5999664960113804e-08,5.264015068519692e-06,0.00027058283950129916
Gross before costs,orig+VIX Equal risk capped,circular_block_bootstrap,ok,circular_block_bootstrap,,20,0.0,-0.9522826839930963,-0.8889526181460474,-0.7144280695308269,-1.8080274902549107,-1.087561768250169,-0.2791108422119052,-0.9999998064781345,-0.9999877686729384,-0.9992299865584379,2.5756480593547774e-07,1.6920028722393676e-05,0.00220667936390991
Gross before costs,orig+VIX Equal risk capped,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,20,0.0,-0.960337581049042,-0.9005330351940091,-0.7599060776162682,-2.0720763705963696,-1.4106043113405797,-0.4164095408145977,-0.9999998655118216,-0.9999958337766486,-0.9995492391245389,9.992173757708704e-08,1.0069503450286202e-05,0.0007984380137569256
Gross before costs,larger E1 capped,circular_block_bootstrap,ok,circular_block_bootstrap,,20,0.0,-0.12328007124307394,0.3570590500665618,1.9742151687629774,0.16582509762941877,1.6819780432213705,4.962066349132038,-0.8728596337792248,-0.6684435632281822,-0.4342323033717506,0.5328169036892971,4.634185241398127,233.31774797036059
Gross before costs,larger E1 capped,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,20,0.0,-0.3008879960600327,0.17543343712972304,0.8521151662754067,-0.48134352661096624,1.0479893572443362,2.5117276761229834,-0.8979540695569785,-0.7033962325109073,-0.42752457973683233,0.18390286114524212,2.2525452175951877,21.794233294653694
Gross before costs,larger GM paper,circular_block_bootstrap,ok,circular_block_bootstrap,,20,0.0,-0.2945012602093146,0.07125243638633783,0.6619123492682035,-0.10384106509189807,0.6800810906957742,2.453666404111841,-0.9244378728296713,-0.7017939245473439,-0.43518907053098915,0.17536388931898955,1.421854579157001,12.76366576512056
Gross before costs,larger GM paper,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,20,0.0,-0.4852298563881898,0.05484276123613829,0.49278177180565763,-0.4830020639162778,0.6165355215168761,1.7554831331189669,-0.9527223989426161,-0.6678637458249248,-0.5318168280413853,0.036345546790733124,1.3082908065149452,7.801779053867644
Gross before costs,larger Equal premium capped,circular_block_bootstrap,ok,circular_block_bootstrap,,20,0.0,-0.5811381815760429,0.020667664375020822,2.068515245395731,-0.14806228197257232,1.5568691469293292,4.273553191666164,-0.9910403893089473,-0.896462079117865,-0.7628664693557635,0.012920528213884385,1.1574298289319787,288.78222345013813
Gross before costs,larger Equal premium capped,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,20,0.0,-0.7407037711118623,-0.16740573457444624,0.9215004863013228,-0.631097491625461,0.7892630218285185,2.69090670652731,-0.9987243033966299,-0.9776886704763024,-0.7645816843416882,0.0012526973323778328,0.40077302459179787,28.028966432772222
Gross before costs,larger Equal risk capped,circular_block_bootstrap,ok,circular_block_bootstrap,,20,0.0,-0.4800197221311774,0.25913617028817704,3.0677309257034797,0.10701695750258962,1.8443902499816347,4.961678573907174,-0.9742470047931854,-0.8628495852867717,-0.7136311730023708,0.038096608735757584,3.2308977901473126,1132.2761525477736
Gross before costs,larger Equal risk capped,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,20,0.0,-0.6032834754437718,0.034010991957867,1.143973823048816,-0.4572234906200646,1.0829680200497254,3.1038276510190923,-0.997300807758136,-0.9439967040783435,-0.7031138874241918,0.010513301984270302,1.208714395317794,51.39832076672941
Gross before costs,larger+VIX E1 capped,circular_block_bootstrap,ok,circular_block_bootstrap,,20,0.0,1.3213305233287573,2.4666956922863377,6.182655120345198,3.8579871820459566,5.6660571550928465,10.979430164136211,-0.4904734110661801,-0.36635438409940935,-0.32086091370397457,67.80381782437284,500.7423860478126,19411.465028872302
Gross before costs,larger+VIX E1 capped,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,20,0.0,0.932910661298094,2.684645918648286,4.72206610123287,2.492626313788618,7.049080475958658,9.985472643115967,-0.6768277289614869,-0.3667580729925601,-0.21993158156346462,27.40790299754519,680.5964760329773,6143.072194011887
Gross before costs,larger+VIX GM paper,circular_block_bootstrap,ok,circular_block_bootstrap,,20,0.0,0.010218432798702114,0.36596588650308104,1.0149245601760009,0.573221334062548,1.5592401751503664,3.8242694530315187,-0.7329307031905338,-0.49504732473053964,-0.29781331210082906,1.0537531397745334,4.808490902487817,33.21191937936371
Gross before costs,larger+VIX GM paper,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,20,0.0,-0.4896859431628283,0.19410121184382934,0.5305061962295408,-0.6596384850652455,0.9515607851157373,2.4275386816326088,-0.9609513624161287,-0.5346580986534322,-0.44840101924211107,0.03468317173066484,2.436024927865291,8.566151380526042
Gross before costs,larger+VIX Equal premium capped,circular_block_bootstrap,ok,circular_block_bootstrap,,20,0.0,-0.7638477927501356,-0.39486693743831097,0.8552255497223384,-0.771342135782543,0.7005567953495868,2.9541796846588384,-0.9991872275385386,-0.9714900611669106,-0.8399613061482905,0.0007345554529729315,0.08114363283158645,22.44401880978465
