universe_family,basis,path_id,strategy,sharpe,sortino,max_drawdown,ann_return,terminal_wealth,defaulted
resampled,gross,0,orig E1 capped,2.002195276627576,6.823995340025917,-0.3387499420452573,3.0725480565071432,1120.2916233174833,False
resampled,gross,0,orig GM paper,1.6099463972788144,3.757426180679013,-0.7635052981207409,2.3079162963473796,396.0705560385742,False
resampled,gross,0,orig Equal premium capped,1.3455775991098742,3.636327170827576,-0.5677479887249754,1.8687552392841322,194.29761972139914,False
resampled,gross,0,orig Equal risk capped,1.3820123869773564,3.7379224227014975,-0.5555042967979222,1.9458469300527872,221.84563243275213,False
resampled,gross,0,orig+VIX E1 capped,2.5332106880359584,10.369591364914795,-0.32351426424183494,6.180388892465014,19087.09487057921,False
resampled,gross,0,orig+VIX GM paper,2.448766124142947,8.39914645130747,-0.3573284586379256,4.285951068945579,4126.821582557278,False
resampled,gross,0,orig+VIX Equal premium capped,0.2039477668644725,0.3749628887311214,-0.9962325768496771,-0.5869574365677042,0.012021925626115088,False
resampled,gross,0,orig+VIX Equal risk capped,0.1478071401385199,0.26754260813518066,-0.9956674132499899,-0.5863478952463828,0.01211089370084784,False
resampled,gross,0,larger E1 capped,1.6979753213693385,5.295818277558383,-0.3715922834033044,2.1729382453712343,321.5941186555815,False
resampled,gross,0,larger GM paper,0.8515815046991435,1.249075275205338,-0.7231785216303337,0.3717306130414737,4.856732172317373,False
resampled,gross,0,larger Equal premium capped,1.4394718622438385,4.472371031293784,-0.6829958850826089,2.9796857265545844,998.2605007102891,False
resampled,gross,0,larger Equal risk capped,1.588265928254414,4.952727634794378,-0.6458307827117584,3.7377196142159823,2386.9689767097525,False
resampled,gross,0,larger+VIX E1 capped,2.820465525848099,12.183677586917394,-0.32231217105205734,7.321807537473022,39910.60738071654,False
resampled,gross,0,larger+VIX GM paper,1.1648376707806587,2.173117959559653,-0.48829796041510865,0.7907859489317124,18.416978901412403,False
resampled,gross,0,larger+VIX Equal premium capped,1.0999565822039383,3.011315754338112,-0.8408689374594693,1.1965311653811739,51.13130157414353,False
resampled,gross,0,larger+VIX Equal risk capped,1.3286115950821173,3.740770518792279,-0.76493357034679,2.101447356341406,286.96046635322443,False
resampled,gross,1,orig E1 capped,0.44679857434241194,0.942474279671096,-0.5857671667731223,0.05578625329027753,1.311837420701987,False
resampled,gross,1,orig GM paper,0.4606156980712363,0.8738837592585001,-0.8643936765784005,-0.033037904332823276,0.845370817340129,False
resampled,gross,1,orig Equal premium capped,0.13358700061292564,0.2446641969073782,-0.9750340313578005,-0.4348147342796759,0.05767055842601374,False
resampled,gross,1,orig Equal risk capped,0.1528612923275467,0.28088829054133374,-0.9665640424993415,-0.40549344157568423,0.07426484004090018,False
resampled,gross,1,orig+VIX E1 capped,1.0628797444382971,2.723551866149704,-0.48098892621003886,0.9055821686681222,25.12687049613566,False
resampled,gross,1,orig+VIX GM paper,0.9345245116112757,2.440528330207791,-0.5772314589596932,0.6393912387502869,11.841672586250953,False
resampled,gross,1,orig+VIX Equal premium capped,-0.840032155855856,-1.122589647684379,-0.9999996201188044,-0.9439930389883733,5.510741513516337e-07,False
resampled,gross,1,orig+VIX Equal risk capped,-0.8671004659031396,-1.1439834178992683,-0.999999029651296,-0.9332376730215483,1.3263475127480456e-06,False
resampled,gross,1,larger E1 capped,0.613517139065953,1.3596176607687513,-0.5856643363417354,0.2416651500460565,2.9513618521295917,False
resampled,gross,1,larger GM paper,0.1615663507666443,0.2245211448595504,-0.8770993612953132,-0.15876742737289629,0.4212892732415902,False
resampled,gross,1,larger Equal premium capped,0.5979496715704736,1.3608917483859495,-0.8981386577989432,-0.11211055113095214,0.55181623745852,False
resampled,gross,1,larger Equal risk capped,0.6968546036557984,1.5956537497580048,-0.8385325074193102,0.08584195769211544,1.5094999237831632,False
resampled,gross,1,larger+VIX E1 capped,1.4931454046927417,4.28558117959221,-0.36635438409940935,1.7650156026530293,161.617331441324,False
resampled,gross,1,larger+VIX GM paper,0.3667063708912094,0.5867051283903866,-0.7305147930541487,0.042911826292654665,1.2337806685823174,False
resampled,gross,1,larger+VIX Equal premium capped,0.3470668190577784,0.7150353087709144,-0.9718182736592265,-0.3948110615245374,0.081181095454294,False
resampled,gross,1,larger+VIX Equal risk capped,0.4945629952059421,1.0555605090319518,-0.8685606634552065,-0.1709886908340058,0.39156356657017544,False
