config,strategy,evidence_status,verdict,terminal_wealth,annualized_geometric_return,max_drawdown,worst_month,expected_shortfall_95,ruin_count,margin_breaches,collateral_breaches,integer_failures,absorbed_validation_paths,observations,integer_abstentions,mean_gross_nav,deployment_target_hit_rate,all_information_sets_valid
larger,R1.1 25pct EGARCH diagnostic,retrospective_development_sample,development_survived,2.735829668406805,0.1386718591266114,-0.42267435576866674,-0.1296212695147991,-0.11318677323885803,0.0,0.0,0.0,0.0,0.0,93,0.0,0.07452611827956987,0.0,True
larger,R1.1 25pct positive-edge deployment,retrospective_development_sample,development_survived,2.4543672136173877,0.12283199536284695,-0.3939656396263781,-0.1256652218377526,-0.09805283281833524,0.0,0.0,0.0,0.0,0.0,93,0.0,0.06686283870967741,0.0,True
larger+VIX,R1.1 25pct EGARCH diagnostic,retrospective_development_sample,development_survived,2.7579363168954685,0.13985492108431008,-0.11972963098515055,-0.1197296309851505,-0.07562562048155236,0.0,0.0,0.0,0.0,0.0,93,32.0,0.05340120430107526,0.0,True
larger+VIX,R1.1 25pct positive-edge deployment,retrospective_development_sample,development_survived,2.80431160402556,0.14231014732037695,-0.12125351882233826,-0.1052874794830956,-0.06742741756992046,0.0,0.0,0.0,0.0,0.0,93,34.0,0.047061387096774175,0.0,True
orig,R1.1 25pct EGARCH diagnostic,retrospective_development_sample,development_survived,2.4184982030274824,0.12070104437454843,-0.38479402033843135,-0.1290009556081649,-0.1048267016949049,0.0,0.0,0.0,0.0,0.0,93,0.0,0.062095204301075256,0.0,True
orig,R1.1 25pct positive-edge deployment,retrospective_development_sample,development_survived,2.3680550092750567,0.11765719339245195,-0.38110033724647174,-0.1198328567057505,-0.09979497436304986,0.0,0.0,0.0,0.0,0.0,93,0.0,0.05545633333333334,0.0,True
orig+VIX,R1.1 25pct EGARCH diagnostic,retrospective_development_sample,development_survived,3.018461016416199,0.15320844915140253,-0.1440182602333161,-0.1250059760658645,-0.07645328464163209,0.0,0.0,0.0,0.0,0.0,93,25.0,0.05825484946236558,0.0,True
orig+VIX,R1.1 25pct positive-edge deployment,retrospective_development_sample,development_survived,3.1600529658249568,0.16004995578395276,-0.1705011868057048,-0.1083308578811202,-0.07690150984917028,0.0,0.0,0.0,0.0,0.0,93,32.0,0.047610064516129015,0.0,True
larger,R1.1 25pct VIX40 risk-off,unscored_missing_or_incomplete_executable_quotes,unscored_missing_or_incomplete_executable_quotes,,,,,,,,,,,89,,,,
larger+VIX,R1.1 25pct VIX40 risk-off,unscored_missing_or_incomplete_executable_quotes,unscored_missing_or_incomplete_executable_quotes,,,,,,,,,,,89,,,,
orig,R1.1 25pct VIX40 risk-off,unscored_missing_or_incomplete_executable_quotes,unscored_missing_or_incomplete_executable_quotes,,,,,,,,,,,89,,,,
orig+VIX,R1.1 25pct VIX40 risk-off,unscored_missing_or_incomplete_executable_quotes,unscored_missing_or_incomplete_executable_quotes,,,,,,,,,,,89,,,,
