config,comparison,observations,monthly_log_growth_difference,log_growth_ci_lo,log_growth_ci_hi,expected_shortfall_difference,expected_shortfall_ci_lo,expected_shortfall_ci_hi,bootstrap_probability_log_growth_le_zero,bootstrap_probability_es_difference_le_zero
larger,R1.1_25_vs_R1_15,60,0.004508585324695521,-0.001791198403023962,0.010549061141211296,-0.0317655188936333,-0.03626837880275919,-0.02655898295435314,0.114,1.0
larger+VIX,R1.1_25_vs_R1_15,60,0.0005638037957684098,-0.004390317938803327,0.005941441910284605,-0.01720390181946374,-0.0388818518661515,0.0049214029940996,0.437,0.9
orig,R1.1_25_vs_R1_15,60,0.0040930207223338275,-0.0009340366038908266,0.008987173989295756,-0.03133307137903257,-0.03676112610663521,-0.025631736512700093,0.08,1.0
orig+VIX,R1.1_25_vs_R1_15,60,0.0021490096656959098,-0.005881891055918374,0.010121998188131554,-0.021889996399636895,-0.043220134574774395,-0.0029807506018471597,0.325,0.976
