config,signal_date,execution_date,action,signal_source,asset_id,symbol,underlying,expiry,position_contracts,order_contracts
larger+VIX,2020-06-11,2020-06-12,exit,official_vix_close,META_call_call_near,FB    200619C00240000,META,2020-06-19,1.0,-1.0
larger+VIX,2020-06-11,2020-06-12,exit,official_vix_close,MSFT_call_atm,MSFT  200619C00180000,MSFT,2020-06-19,2.0,-2.0
larger+VIX,2020-06-11,2020-06-12,exit,official_vix_close,MSFT_call_call_near,MSFT  200619C00195000,MSFT,2020-06-19,9.0,-9.0
larger+VIX,2020-06-11,2020-06-12,exit,official_vix_close,MSFT_put_atm,MSFT  200619P00180000,MSFT,2020-06-19,-1.0,1.0
larger+VIX,2020-06-11,2020-06-12,exit,official_vix_close,XOM_put_atm,XOM   200619P00045000,XOM,2020-06-19,7.0,-7.0
larger+VIX,2020-06-11,2020-06-12,exit,official_vix_close,VIX_call_vix_atm,VIX   200617C00029000,VX_FRONT,2020-06-17,-8.0,8.0
larger+VIX,2020-06-11,2020-06-12,exit,official_vix_close,VIX_call_vix_call_near,VIX   200617C00035000,VX_FRONT,2020-06-17,-32.0,32.0
larger+VIX,2020-06-11,2020-06-12,exit,official_vix_close,VIX_put_vix_atm,VIX   200617P00028000,VX_FRONT,2020-06-17,-111.0,111.0
larger+VIX,2020-06-11,2020-06-12,exit,official_vix_close,VIX_put_vix_put_near,VIX   200617P00025000,VX_FRONT,2020-06-17,-73.0,73.0
orig,2020-06-12,2020-06-15,reenter,official_vix_close,AAPL_call_atm,AAPL  200619C00320000,AAPL,2020-06-19,11.0,11.0
orig,2020-06-12,2020-06-15,reenter,official_vix_close,AAPL_put_atm,AAPL  200619P00320000,AAPL,2020-06-19,-4.0,-4.0
orig,2020-06-12,2020-06-15,reenter,official_vix_close,AMZN_call_atm,AMZN  200619C02500000,AMZN,2020-06-19,5.0,5.0
orig,2020-06-12,2020-06-15,reenter,official_vix_close,MSFT_call_atm,MSFT  200619C00180000,MSFT,2020-06-19,18.0,18.0
orig,2020-06-12,2020-06-15,reenter,official_vix_close,MSFT_call_call_near,MSFT  200619C00195000,MSFT,2020-06-19,17.0,17.0
orig,2020-06-12,2020-06-15,reenter,official_vix_close,MSFT_put_atm,MSFT  200619P00180000,MSFT,2020-06-19,-15.0,-15.0
orig,2020-06-12,2020-06-15,reenter,official_vix_close,TSLA_put_atm,TSLA  200619P00820000,TSLA,2020-06-19,-5.0,-5.0
larger,2020-06-12,2020-06-15,reenter,official_vix_close,AAPL_call_atm,AAPL  200619C00320000,AAPL,2020-06-19,11.0,11.0
