train_end,n_obs,valid,fallback,variance_ratio,forecast_variance,baseline_variance,failure_reason,raw_variance_ratio,realized_variance,underlying,decision_date,config
2018-01-31,756,True,False,1.1465887411330118,0.004719617865176,0.0041162255444025,,1.1465887411330118,0.0099024909892088,AAPL,2018-01-31,orig
2018-01-31,756,True,False,0.5,0.0024568776689883,0.0062207838139528,,0.3949466405628341,0.0106408204302348,AMZN,2018-01-31,orig
2018-01-31,756,True,False,0.5,0.0016687208306128,0.0039458687538632,,0.4229032780117449,0.0130001586342546,GOOGL,2018-01-31,orig
2018-01-31,756,True,False,0.5,0.0016817092235994,0.0036026802194473,,0.4667939204044783,0.0084064496818727,JPM,2018-01-31,orig
2018-01-31,756,True,False,1.041498524107799,0.0050794627380849,0.0048770714701072,,1.041498524107799,0.0114259394647544,META,2018-01-31,orig
2018-01-31,756,True,False,0.6266515196908862,0.0024446907398996,0.0039011965391953,,0.6266515196908862,0.0104091420923651,MSFT,2018-01-31,orig
2018-01-31,756,True,False,0.8897087606722363,0.0124244122525365,0.013964583470156,,0.8897087606722363,0.0253188024065961,NVDA,2018-01-31,orig
2018-01-31,756,True,False,0.8158461094646117,0.0095823070757737,0.0117452384274554,,0.8158461094646117,0.0167532197416646,TSLA,2018-01-31,orig
2018-02-28,756,True,False,0.90344239371296,0.0038738151717703,0.0042878386034662,,0.90344239371296,0.0057168494723931,AAPL,2018-02-28,orig
2018-02-28,756,True,False,0.5911151351814061,0.0038007086408254,0.006429726485787,,0.5911151351814061,0.0088120341446288,AMZN,2018-02-28,orig
2018-02-28,756,True,False,1.7534763179181,0.0073952292496257,0.0042174674240288,,1.7534763179181,0.0097231344427371,GOOGL,2018-02-28,orig
2018-02-28,756,True,False,1.4372328883224064,0.0053904443706692,0.0037505712640358,,1.4372328883224064,0.0058723355349587,JPM,2018-02-28,orig
2018-02-28,756,True,False,1.943786051541328,0.0099245170818958,0.0051057661793725,,1.943786051541328,0.0134115568878697,META,2018-02-28,orig
2018-02-28,756,True,False,1.806253571201459,0.0074926641561694,0.0041481795666073,,1.806253571201459,0.0117500677616812,MSFT,2018-02-28,orig
2018-02-28,756,True,False,0.9225080651426888,0.0133088460741455,0.0144268072844295,,0.9225080651426888,0.0192351299081239,NVDA,2018-02-28,orig
2018-02-28,756,True,False,1.0554668279143264,0.0125484305017982,0.0118889861527858,,1.0554668279143264,0.0233317960365489,TSLA,2018-02-28,orig
2018-04-30,756,True,False,1.736457374550339,0.0076688500227701,0.0044163767767441,,1.736457374550339,0.00477168550276,AAPL,2018-04-30,orig
2018-04-30,756,True,False,1.3854758741639233,0.0087482107624006,0.0063142281475524,,1.3854758741639233,0.0011242620667844,AMZN,2018-04-30,orig
2018-04-30,756,True,False,2.0,0.0095595048977044,0.0044856517112432,,2.131129546626117,0.0035315340007939,GOOGL,2018-04-30,orig
2018-04-30,756,True,False,0.8965192833344349,0.0035016701636062,0.003905850357822,,0.8965192833344349,0.0040742077258194,JPM,2018-04-30,orig
2018-04-30,756,True,False,1.8302701788447,0.0104289289522935,0.0056980270305646,,1.8302701788447,0.0022886620616685,META,2018-04-30,orig
2018-04-30,756,True,False,2.0,0.0092888397077367,0.0041631849844838,,2.2311859171178146,0.0016484275061007,MSFT,2018-04-30,orig
2018-04-30,756,True,False,0.8462440685177187,0.0127151157306315,0.0150253528546478,,0.8462440685177187,0.0069773866006583,NVDA,2018-04-30,orig
2018-04-30,756,True,False,1.2670763829760865,0.0160454502125421,0.0126633645991055,,1.2670763829760865,0.0116995380329744,TSLA,2018-04-30,orig
