config,strategy,participation,aum,mode,solver_status,capacity_infeasible,sum_of_caps,n_binding,deployed_gross,gross_sharpe,net_sharpe,gross_ann_ret,net_ann_ret,mean_monthly_capacity_cost,max_capacity_ratio,mean_capacity_ratio,capacity_penalized_share,spread_proxy_fill
orig+VIX,GM X=inf,inf,1000000.0,uncapped,optimal,False,,,0.999999895343944,1.3743892124363595,-1.1956914614976688,1.2463291387634756,-5.771782214685133,0.5593490030185311,187.75569690727067,1.88061028695106,0.24611398963730569,True
orig+VIX,GM X=0.02,0.02,1000000.0,hard,infeasible,True,0.44418243,54.0,0.0,,,0.0,0.0,0.0,,,0.0,True
orig+VIX,GM X=0.02,0.02,1000000.0,relaxed,optimal,True,0.44418243,54.0,0.011080640896164663,1.6709486280034742,1.1848357691789098,0.013982573691629682,0.009911362692401776,4.1090543154099394e-09,1.7845818734389693,0.020145545083256278,0.0006476683937823834,True
orig+VIX,Equal premium capped X=0.02,0.02,1000000.0,relaxed,reference,True,0.44418243,54.0,0.4219733085,-0.6831614631406565,-0.8977746467839178,-0.4325601439531513,-0.5681997793153103,0.0005198188264714253,13.055065597667637,0.345171704224394,0.06930051813471502,True
orig+VIX,Equal risk capped X=0.02,0.02,1000000.0,relaxed,reference,True,0.44418243,54.0,0.42197330850000003,-0.7953703163315914,-1.0270511318519162,-0.47152832689324964,-0.6087205640854612,0.000559868744734239,13.055065597667637,0.34391270519525824,0.06735751295336788,True
orig+VIX,GM X=0.05,0.05,1000000.0,hard,optimal,False,1.093102425,54.0,0.8358867592739936,1.448883263938508,1.0804018941470526,1.41935754910142,1.059056404962977,0.008800200380164236,32.63764544949893,0.7298575568369111,0.18037564766839378,True
orig+VIX,Equal premium capped X=0.05,0.05,1000000.0,hard,reference,False,1.093102425,54.0,1.0000000000000002,-0.5780032258702551,-0.8528990866914379,-0.8861416911331972,-1.3117874267719758,0.01012770167878767,32.637663994169095,0.8196503793472429,0.2036917098445596,True
orig+VIX,Equal risk capped X=0.05,0.05,1000000.0,hard,reference,False,1.093102425,54.0,1.0000000000000002,-0.673402063175249,-0.9770721749758121,-0.9597998631784758,-1.398163583367039,0.010951397455700127,32.637663994169095,0.8158180807906368,0.19818652849740934,True
orig+VIX,GM X=0.10,0.10,1000000.0,hard,optimal,False,2.10430385,51.0,0.9999995047616261,1.5724029761060898,0.48366054796510916,1.632268144744136,0.5690046448474797,0.06565446787899695,65.04793040327526,1.0106310722352814,0.23348445595854922,True
orig+VIX,Equal premium capped X=0.10,0.10,1000000.0,hard,reference,False,2.10430385,51.0,1.0000000000000004,-0.05762466072679445,-0.3330542367369344,-0.09577321544223219,-0.5557943585827576,0.013466587320702777,65.0479375696767,1.199262081183128,0.30505181347150256,True
orig+VIX,Equal risk capped X=0.10,0.10,1000000.0,hard,reference,False,2.10430385,51.0,1.0000000000000002,0.21085359890250557,-0.11388126736226804,0.3137320426610891,-0.16931208694760183,0.01825961400939966,65.0479375696767,1.180454106037485,0.2959844559585492,True
orig+VIX,Equal premium,,1000000.0,naive,reference,False,,,0.9999999999999998,-0.029556763365263826,-1.277060788576788,-0.05552159864526898,-3.0378469083709607,0.2208284635134876,206.44948181180064,2.7210577975761003,0.38147668393782386,True
orig+VIX,Equal risk,,1000000.0,naive,reference,False,,,0.9999999999999998,0.08183086586465663,-0.8631458113433279,0.10434553413680825,-1.1804681795489513,0.08463969237236303,115.88224267661492,2.1081828851059266,0.34650259067357514,True
