config,strategy,knobs_label,participation,aum,mode,solver_status,capacity_infeasible,sum_of_caps,deployed_gross,gross_sharpe,net_sharpe,gross_ann_ret,net_ann_ret,mean_monthly_capacity_cost,max_capacity_ratio,capacity_penalized_share,spread_proxy_fill
orig+VIX,GM paper,default,,1000000.0,uncapped,optimal,False,,0.999999895343944,1.3743892124363595,-1.1956914614976688,1.2463291387634756,-5.771782214685133,0.5593490030185311,187.75569690727067,0.24611398963730569,True
orig+VIX,Delta neutral,delta,,1000000.0,uncapped,reference,False,,0.9999999595518694,1.4135374941035348,-1.264411037633101,1.1720719527601526,-3.5922955008231843,0.37066405708057987,145.64055980023969,0.23931347150259066,True
orig+VIX,Equal premium,naive,,1000000.0,naive,reference,False,,0.9999999999999998,-0.029556763365263826,-1.277060788576788,-0.05552159864526898,-3.0378469083709607,0.2208284635134876,206.44948181180064,0.38147668393782386,True
orig+VIX,Equal risk,naive,,1000000.0,naive,reference,False,,0.9999999999999998,0.08183086586465663,-0.8631458113433279,0.10434553413680825,-1.1804681795489513,0.08463969237236303,115.88224267661492,0.34650259067357514,True
orig+VIX,GM combined,primary,0.05,1000000.0,hard,optimal,False,1.093102425,0.8348600500091665,1.627746984248966,1.148729648123412,1.3291152137294646,0.940248532603144,0.009295806769788872,32.637663131430735,0.18685233160621761,True
orig+VIX,GM combined alt,alt,0.05,1000000.0,hard,optimal,False,1.093102425,0.7726660742172274,1.6133127081844074,1.2870041142043243,1.622149926206457,1.2912804341946396,0.00793047504761599,32.523962181842855,0.17422279792746115,True
orig+VIX,Equal premium capped,naive_capped,0.05,1000000.0,hard,reference,False,1.093102425,1.0000000000000002,-0.5780032258702551,-0.8528990866914379,-0.8861416911331972,-1.3117874267719758,0.01012770167878767,32.637663994169095,0.2036917098445596,True
orig+VIX,Equal risk capped,naive_capped,0.05,1000000.0,hard,reference,False,1.093102425,1.0000000000000002,-0.673402063175249,-0.9770721749758121,-0.9597998631784758,-1.398163583367039,0.010951397455700127,32.637663994169095,0.19818652849740934,True
orig+VIX,GM paper,default,,5000000.0,uncapped,optimal,False,,0.999999895343944,1.3743892124363595,-1.4251752110323714,1.2463291387634756,-172.7055012729187,14.470492257871332,938.7784845363534,0.4566062176165803,True
orig+VIX,Delta neutral,delta,,5000000.0,uncapped,reference,False,,0.9999999595518694,1.4135374941035348,-1.6285538229349983,1.1720719527601526,-115.45929099027892,9.69291368120189,728.2027990011984,0.47797927461139894,True
orig+VIX,Equal premium,naive,,5000000.0,naive,reference,False,,0.9999999999999998,-0.029556763365263826,-1.9277402239044095,-0.05552159864526898,-69.27941309542716,5.740958979101503,1032.247409059003,0.7632772020725389,True
orig+VIX,Equal risk,naive,,5000000.0,naive,reference,False,,0.9999999999999998,0.08183086586465663,-2.5933794144468387,0.10434553413680825,-27.98489231728626,2.318341703850472,579.4112133830746,0.6849093264248705,True
orig+VIX,GM combined,primary,0.05,5000000.0,hard,infeasible,True,0.21862048500000003,0.0,,,0.0,0.0,0.0,,0.0,True
orig+VIX,GM combined,primary,0.05,5000000.0,relaxed,optimal,True,0.21862048500000003,0.00732537173598847,2.014409673537267,1.5913786775444483,0.01293460008981752,0.010189860409608542,1.5248789394878574e-07,4.882635761405311,0.006476683937823834,True
orig+VIX,GM combined alt,alt,0.05,5000000.0,hard,infeasible,True,0.21862048500000003,0.0,,,0.0,0.0,0.0,,0.0,True
orig+VIX,GM combined alt,alt,0.05,5000000.0,relaxed,optimal,True,0.21862048500000003,0.009322387149155136,2.510977083625258,2.1614046901904724,0.026194048443333055,0.022504068154473495,1.3524593310929035e-07,2.470045667111268,0.006152849740932643,True
orig+VIX,Equal premium capped,naive_capped,0.05,5000000.0,relaxed,reference,True,0.21862048500000003,0.20768946074999997,-0.7090064279845082,-0.9924079712922097,-0.22135944661935977,-0.31088238106117705,0.0021200040910637273,32.637663994169095,0.20693005181347152,True
orig+VIX,Equal risk capped,naive_capped,0.05,5000000.0,relaxed,reference,True,0.21862048500000003,0.20768946075000005,-0.8239645162660537,-1.1336722413679883,-0.24092115145191528,-0.3328529553952777,0.002275325903383077,32.637663994169095,0.20207253886010362,True
orig+VIX,GM paper,default,,10000000.0,uncapped,optimal,False,,0.999999895343944,1.3743892124363595,-1.4349905085816936,1.2463291387634756,-696.7541472141373,58.14121275297287,1877.5569690727068,0.5582901554404145,True
orig+VIX,Delta neutral,delta,,10000000.0,uncapped,reference,False,,0.9999999595518694,1.4135374941035348,-1.6429107927727342,1.1720719527601526,-467.14598341912466,39.00013805027236,1456.4055980023968,0.5816062176165803,True
orig+VIX,Equal premium,naive,,10000000.0,naive,reference,False,,0.9999999999999998,-0.029556763365263826,-1.9316145073113,-0.05552159864526898,-277.43154441659163,23.086969922531882,2064.494818118006,0.885038860103627,True
orig+VIX,Equal risk,naive,,10000000.0,naive,reference,False,,0.9999999999999998,0.08183086586465663,-2.637487477494235,0.10434553413680825,-112.81696918532697,9.387681442853864,1158.8224267661492,0.8270725388601037,True
orig+VIX,GM combined,primary,0.05,10000000.0,hard,infeasible,True,0.10931024250000002,0.0,,,0.0,0.0,0.0,,0.0,True
orig+VIX,GM combined,primary,0.05,10000000.0,relaxed,optimal,True,0.10931024250000002,0.0034159773540510356,2.0148970646231286,1.5917469123194015,0.0060292594649297634,0.004749803420181295,5.5383014975136633e-08,4.539025060624457,0.005505181347150259,True
orig+VIX,GM combined alt,alt,0.05,10000000.0,hard,infeasible,True,0.10931024250000002,0.0,,,0.0,0.0,0.0,,0.0,True
orig+VIX,GM combined alt,alt,0.05,10000000.0,relaxed,optimal,True,0.10931024250000002,0.004276422114450755,2.5109451309431114,2.1614674584589406,0.012016216804203717,0.010323758734161814,3.927032176591172e-08,2.2682276963462193,0.0048575129533678756,True
orig+VIX,Equal premium capped,naive_capped,0.05,10000000.0,relaxed,reference,True,0.10931024250000002,0.10384473037499999,-0.7090064279845082,-0.9924079712922097,-0.11067972330967989,-0.15544119053058852,0.0010600020455318636,32.637663994169095,0.20693005181347152,True
orig+VIX,Equal risk capped,naive_capped,0.05,10000000.0,relaxed,reference,True,0.10931024250000002,0.10384473037500003,-0.8239645162660537,-1.1336722413679883,-0.12046057572595764,-0.16642647769763885,0.0011376629516915385,32.637663994169095,0.20207253886010362,True
orig+VIX,GM paper,default,,25000000.0,uncapped,optimal,False,,0.999999895343944,1.3743892124363595,-1.4391929839711195,1.2463291387634756,-4371.471125913346,364.3676276445734,4693.892422681766,0.6696891191709845,True
orig+VIX,Delta neutral,delta,,25000000.0,uncapped,reference,False,,0.9999999595518694,1.4135374941035348,-1.649066324746314,1.1720719527601526,-2934.590123504305,244.62048305737073,3641.013995005992,0.6926813471502591,True
orig+VIX,Equal premium,naive,,25000000.0,naive,reference,False,,0.9999999999999998,-0.029556763365263826,-1.934830665517514,-0.05552159864526898,-1737.6005213225128,144.7677179980254,5161.237045295015,0.9698834196891192,True
orig+VIX,Equal risk,naive,,25000000.0,naive,reference,False,,0.9999999999999998,0.08183086586465663,-2.6538623476382126,0.10434553413680825,-709.5283537081287,59.11363015308735,2897.056066915374,0.9400906735751295,True
orig+VIX,GM combined,primary,0.05,25000000.0,hard,infeasible,True,0.043724097,0.0,,,0.0,0.0,0.0,,0.0,True
orig+VIX,GM combined,primary,0.05,25000000.0,relaxed,optimal,True,0.043724097,0.0012356463926656094,2.014959746908785,1.5912882664104562,0.0021775829913314344,0.0017149342586178157,1.4077501798551596e-08,4.133952291555359,0.0048575129533678756,True
orig+VIX,GM combined alt,alt,0.05,25000000.0,hard,infeasible,True,0.043724097,0.0,,,0.0,0.0,0.0,,0.0,True
