underlying,quote_symbol,asset_class,moneyness_bucket,tenor_bucket,chain_timestamp,source_url,n_quotes,n_liquid_quotes,total_volume,total_open_interest,fill_relative_spread,fill_abs_spread,median_relative_spread,p25_relative_spread,p75_relative_spread,median_abs_spread,p25_abs_spread,p75_abs_spread,median_mid,fill_method
AAL,AAL,equity_option,put_wing,46_120d,2026-07-05 01:03:20,https://cdn.cboe.com/api/global/delayed_quotes/options/AAL.json,8,5,855.0,84860.0,0.09790209790209792,0.050000000000000044,0.10810810810810821,0.09790209790209792,0.1333333333333334,0.3500000000000001,0.050000000000000044,0.43000000000000016,2.635,cboe_current_liquid_quartile_p25_relative_spread
AAL,AAL,equity_option,put_wing,all,2026-07-05 01:03:20,https://cdn.cboe.com/api/global/delayed_quotes/options/AAL.json,34,9,4100.0,121736.0,0.1333333333333334,0.06,0.18266978922716634,0.1333333333333334,0.25641025641025633,0.3,0.06,0.3900000000000001,0.415,cboe_current_liquid_quartile_p25_relative_spread
AAL,AAL,equity_option,put_wing,le_45d,2026-07-05 01:03:20,https://cdn.cboe.com/api/global/delayed_quotes/options/AAL.json,26,7,3245.0,36876.0,0.18508489461358318,0.05499999999999999,0.25641025641025633,0.18508489461358318,0.6042632066728452,0.22999999999999998,0.05499999999999999,0.30499999999999994,0.33999999999999997,cboe_current_liquid_quartile_p25_relative_spread
AAPL,AAPL,equity_option,all,all,2026-07-04 07:24:31,https://cdn.cboe.com/api/global/delayed_quotes/options/AAPL.json,399,100,331863.0,1361280.0,0.06047600468201324,0.24,0.08138025060053232,0.06047600468201324,0.13174813164368934,0.4249999999999998,0.24,0.75,5.325,cboe_current_liquid_quartile_p25_relative_spread
AAPL,AAPL,equity_option,atm,46_120d,2026-07-04 07:24:31,https://cdn.cboe.com/api/global/delayed_quotes/options/AAPL.json,24,6,34538.0,220163.0,0.028394315996007297,0.3250000000000004,0.04296533793712934,0.028394315996007297,0.05281047919084717,0.4749999999999992,0.3250000000000004,0.7749999999999981,13.537500000000001,cboe_current_liquid_quartile_p25_relative_spread
AAPL,AAPL,equity_option,atm,all,2026-07-04 07:24:31,https://cdn.cboe.com/api/global/delayed_quotes/options/AAPL.json,100,25,150558.0,431522.0,0.051546391752577324,0.3000000000000007,0.06666666666666682,0.051546391752577324,0.07263922518159807,0.5,0.3000000000000007,0.7000000000000002,9.6,cboe_current_liquid_quartile_p25_relative_spread
AAPL,AAPL,equity_option,atm,le_45d,2026-07-04 07:24:31,https://cdn.cboe.com/api/global/delayed_quotes/options/AAPL.json,76,19,116020.0,211359.0,0.06547286466681929,0.3250000000000002,0.0695296523517382,0.06547286466681929,0.07470969945355184,0.5,0.3250000000000002,0.6999999999999993,6.925,cboe_current_liquid_quartile_p25_relative_spread
AAPL,AAPL,equity_option,call_near,46_120d,2026-07-04 07:24:31,https://cdn.cboe.com/api/global/delayed_quotes/options/AAPL.json,29,8,32460.0,162565.0,0.057019879304224454,0.4375000000000009,0.0816666666666667,0.057019879304224454,0.09765048384451377,0.5249999999999999,0.4375000000000009,0.6125000000000007,7.0375,cboe_current_liquid_quartile_p25_relative_spread
AAPL,AAPL,equity_option,call_near,all,2026-07-04 07:24:31,https://cdn.cboe.com/api/global/delayed_quotes/options/AAPL.json,86,22,82864.0,287737.0,0.07882352941176463,0.24249999999999994,0.1188564221147782,0.07882352941176463,0.13259608608445814,0.3999999999999997,0.24249999999999994,0.5374999999999999,3.4124999999999996,cboe_current_liquid_quartile_p25_relative_spread
AAPL,AAPL,equity_option,call_near,le_45d,2026-07-04 07:24:31,https://cdn.cboe.com/api/global/delayed_quotes/options/AAPL.json,57,15,50404.0,125172.0,0.1188564221147782,0.15499999999999992,0.13178294573643404,0.1188564221147782,0.17813074886705257,0.33999999999999986,0.15499999999999992,0.4249999999999998,2.1849999999999996,cboe_current_liquid_quartile_p25_relative_spread
AAPL,AAPL,equity_option,put_near,46_120d,2026-07-04 07:24:31,https://cdn.cboe.com/api/global/delayed_quotes/options/AAPL.json,24,6,11862.0,159201.0,0.04999617766225821,0.30000000000000004,0.05942924389526329,0.04999617766225821,0.0664823136306026,0.35000000000000053,0.30000000000000004,1.3749999999999996,5.825,cboe_current_liquid_quartile_p25_relative_spread
AAPL,AAPL,equity_option,put_near,all,2026-07-04 07:24:31,https://cdn.cboe.com/api/global/delayed_quotes/options/AAPL.json,103,26,59922.0,336674.0,0.05884083553986463,0.235,0.0976190476190477,0.05884083553986463,0.1444422797633807,0.3700000000000001,0.235,1.0250000000000004,3.6625,cboe_current_liquid_quartile_p25_relative_spread
AAPL,AAPL,equity_option,put_near,le_45d,2026-07-04 07:24:31,https://cdn.cboe.com/api/global/delayed_quotes/options/AAPL.json,79,20,48060.0,177473.0,0.07785773294491061,0.21249999999999997,0.12982175184514688,0.07785773294491061,0.1611972592859719,0.3949999999999998,0.21249999999999997,1.0500000000000007,1.98,cboe_current_liquid_quartile_p25_relative_spread
AAPL,AAPL,equity_option,put_wing,46_120d,2026-07-04 07:24:31,https://cdn.cboe.com/api/global/delayed_quotes/options/AAPL.json,30,8,14076.0,158669.0,0.06826109495400348,0.13999999999999996,0.08218787255071787,0.06826109495400348,0.10928361639637346,0.20499999999999996,0.13999999999999996,0.5299999999999998,1.9325,cboe_current_liquid_quartile_p25_relative_spread
