config,participation,aum,asset_id,train_volume,cap_contracts,w_cap,bound,has_volume,weight,utilization
orig+VIX,0.02,1000000.0,AAPL_call_atm,2060.5,41.21,0.011126700000000002,0.011126700000000002,True,-8.727290993165294e-06,0.0007843557382840638
orig+VIX,0.02,1000000.0,AAPL_call_call_near,1905.0,38.1,0.0046482,0.0046482,True,1.3831638095481622e-05,0.0029756977099697993
orig+VIX,0.02,1000000.0,AAPL_call_put_near,436.0,8.72,0.0078043999999999995,0.0078043999999999995,True,0.00011196342051026246,0.014346191957134753
orig+VIX,0.02,1000000.0,AAPL_put_atm,1139.5,22.79,0.00535565,0.00535565,True,2.703881889160028e-05,0.005048653084424912
orig+VIX,0.02,1000000.0,AAPL_put_call_near,165.5,3.31,0.00286315,0.00286315,True,-0.00016693626730345098,0.05830510706859612
orig+VIX,0.02,1000000.0,AAPL_put_put_near,963.0,19.26,0.0020223000000000003,0.0020223000000000003,True,4.668941305401649e-05,0.023087283318012405
orig+VIX,0.02,1000000.0,AMZN_call_atm,279.0,5.58,0.0297693,0.0297693,True,5.181993327002427e-05,0.0017407172244568825
orig+VIX,0.02,1000000.0,AMZN_call_call_near,194.5,3.89,0.0047847,0.0047847,True,-4.8617142146978676e-05,0.010160959338512065
orig+VIX,0.02,1000000.0,AMZN_call_put_near,51.0,1.02,0.026626080000000003,0.026626080000000003,True,0.0002947861285082565,0.01107133038390392
orig+VIX,0.02,1000000.0,AMZN_put_atm,148.5,2.97,0.013863960000000002,0.013863960000000002,True,-7.924699988145662e-05,0.00571604360380848
orig+VIX,0.02,1000000.0,AMZN_put_put_near,168.5,3.37,0.007164620000000001,0.007164620000000001,True,-1.7904335409992237e-05,0.002498993025448975
orig+VIX,0.02,1000000.0,AMZN_put_put_wing,58.0,1.16,0.0011669599999999999,0.0011669599999999999,True,0.0001600769940474756,0.13717436248669673
orig+VIX,0.02,1000000.0,GOOGL_call_atm,104.0,2.08,0.003411199999999999,0.003411199999999999,True,0.0001239444573361365,0.03633456183634397
orig+VIX,0.02,1000000.0,GOOGL_call_call_near,91.5,1.83,0.0010888500000000001,0.0010888500000000001,True,1.0547701635100156e-05,0.009687010731597698
orig+VIX,0.02,1000000.0,GOOGL_call_put_near,21.0,1.0,0.007361,0.007361,True,-0.0004936739808325352,0.06706615688527852
orig+VIX,0.02,1000000.0,GOOGL_put_atm,64.0,1.28,0.00505216,0.00505216,True,-0.00019247841659021374,0.0380982424527754
orig+VIX,0.02,1000000.0,GOOGL_put_put_near,42.0,1.0,0.0018600000000000003,0.0018600000000000003,True,-5.5372894132095225e-05,0.029770373189298503
orig+VIX,0.02,1000000.0,JPM_call_atm,331.5,6.63,0.00259896,0.00259896,True,0.00034851926091532205,0.1340995093865708
orig+VIX,0.02,1000000.0,JPM_call_call_near,163.0,3.2600000000000002,0.00019559999999999998,0.00019559999999999998,True,-5.520597764677948e-05,0.2822391495234125
orig+VIX,0.02,1000000.0,JPM_call_put_near,50.0,1.0,0.000735,0.000735,True,0.00048040386880443076,0.6536107058563684
orig+VIX,0.02,1000000.0,JPM_put_atm,194.0,3.88,0.0009699999999999998,0.0009699999999999998,True,0.00010691004974905513,0.11021654613304654
orig+VIX,0.02,1000000.0,JPM_put_put_near,113.0,2.2600000000000002,0.00022600000000000002,0.00022600000000000002,True,0.00010182181056729392,0.450538984811035
orig+VIX,0.02,1000000.0,META_call_atm,1445.0,28.900000000000002,0.01156,0.01156,True,-0.00020928218703713638,0.0181039954184374
orig+VIX,0.02,1000000.0,META_call_call_near,810.5,16.21,0.0013616400000000001,0.0013616400000000001,True,-5.244650755801311e-06,0.003851716133340171
orig+VIX,0.02,1000000.0,META_call_put_near,287.5,5.75,0.0069,0.0069,True,0.00020307121222372252,0.029430610467206162
orig+VIX,0.02,1000000.0,META_call_put_wing,47.0,1.0,0.00424,0.00424,True,-0.001415092847491684,0.33374831308766134
orig+VIX,0.02,1000000.0,META_put_atm,698.5,13.97,0.01567434,0.01567434,True,-0.00023616705071352446,0.015067112919173916
orig+VIX,0.02,1000000.0,META_put_call_near,71.0,1.42,0.00221236,0.00221236,True,0.00016495396443490137,0.07456018208379349
orig+VIX,0.02,1000000.0,META_put_put_near,425.0,8.5,0.0034,0.0034,True,-0.0004581377037761828,0.13474638346358317
