arm,config,decision_date,symbol,artifact_mark,observed_mid,coverage,quote_schema,absolute_error,relative_error,regime
R1,larger,2021-01-29,TSLA  210219P00850000,85.57,86.675,covered,cbbo-1m,1.105000000000004,0.012748774156331168,pre_2023_03_28
R1,larger,2021-01-29,XOM   210219P00046000,2.6,3.0999999999999996,covered,cbbo-1m,0.49999999999999956,0.16129032258064505,pre_2023_03_28
R1,larger,2021-02-26,AAPL  210319C00130000,1.2,1.42,covered,cbbo-1m,0.21999999999999997,0.15492957746478872,pre_2023_03_28
R1,larger,2021-02-26,ADBE  210319C00470000,10.7,10.524999999999999,covered,cbbo-1m,0.1750000000000007,0.01662707838479817,pre_2023_03_28
R1,larger,2021-02-26,AMD   210319C00082000,4.65,5.275,covered,cbbo-1m,0.625,0.11848341232227487,pre_2023_03_28
R1,larger,2021-02-26,AMD   210319C00085000,3.67,3.625,covered,cbbo-1m,0.04499999999999993,0.012413793103448256,pre_2023_03_28
R1,larger,2021-02-26,AMD   210319P00085000,3.88,3.7750000000000004,covered,cbbo-1m,0.10499999999999954,0.027814569536423715,pre_2023_03_28
R1,larger,2021-02-26,AVGO  210319C00500000,2.05,6.7,covered,cbbo-1m,4.65,0.6940298507462687,pre_2023_03_28
R1,larger,2021-02-26,NFLX  210319P00530000,13.79,14.7,covered,cbbo-1m,0.9100000000000001,0.06190476190476192,pre_2023_03_28
R1,larger,2021-02-26,NKE_call_put_near,6.75,,missing,cbbo-1m,,,pre_2023_03_28
R1,larger,2021-02-26,NVDA  210319C00480000,54.28,73.7,covered,cbbo-1m,19.42,0.26350067842605157,pre_2023_03_28
R1,larger,2021-02-26,TSLA  210319P00650000,33.25,33.3,covered,cbbo-1m,0.04999999999999716,0.0015015015015014163,pre_2023_03_28
R1,larger,2021-03-31,AAPL  210416C00120000,3.98,4.05,covered,cbbo-1m,0.06999999999999984,0.01728395061728391,pre_2023_03_28
R1,larger,2021-03-31,AAPL  210416C00130000,0.39,0.415,covered,cbbo-1m,0.024999999999999967,0.06024096385542161,pre_2023_03_28
R1,larger,2021-03-31,AAPL  210416P00120000,1.84,1.73,covered,cbbo-1m,0.1100000000000001,0.06358381502890179,pre_2023_03_28
R1,larger,2021-03-31,ADBE  210416C00480000,8.53,8.7,covered,cbbo-1m,0.16999999999999993,0.019540229885057464,pre_2023_03_28
R1,larger,2021-03-31,AMD   210416C00075000,4.45,4.375,covered,cbbo-1m,0.07500000000000018,0.017142857142857182,pre_2023_03_28
R1,larger,2021-03-31,AMD   210416C00080000,1.55,1.585,covered,cbbo-1m,0.03499999999999992,0.022082018927444744,pre_2023_03_28
R1,larger,2021-03-31,AMD   210416C00082000,1.07,0.98,covered,cbbo-1m,0.09000000000000008,0.09183673469387764,pre_2023_03_28
R1,larger,2021-03-31,AMD   210416P00075000,0.9,0.91,covered,cbbo-1m,0.010000000000000009,0.010989010989010999,pre_2023_03_28
R1,larger,2021-03-31,AMD   210416P00077000,1.42,1.5750000000000002,covered,cbbo-1m,0.15500000000000025,0.09841269841269856,pre_2023_03_28
R1,larger,2021-03-31,AVGO  210416C00470000,8.2,8.3,covered,cbbo-1m,0.10000000000000142,0.012048192771084508,pre_2023_03_28
R1,larger,2021-03-31,COST  210416C00360000,3.3,2.88,covered,cbbo-1m,0.41999999999999993,0.14583333333333331,pre_2023_03_28
R1,larger,2021-03-31,FB    210416C00315000,1.84,1.855,covered,cbbo-1m,0.014999999999999902,0.008086253369272184,pre_2023_03_28
R1,larger,2021-03-31,LLY   210416C00185000,5.2,5.2,covered,cbbo-1m,0.0,0.0,pre_2023_03_28
R1,larger,2021-03-31,LLY   210416P00187500,3.56,4.4,covered,cbbo-1m,0.8400000000000003,0.19090909090909097,pre_2023_03_28
R1,larger,2021-03-31,LRCX  210416C00600000,19.88,20.5,covered,cbbo-1m,0.620000000000001,0.030243902439024438,pre_2023_03_28
R1,larger,2021-03-31,MA    210416C00360000,6.08,5.625,covered,cbbo-1m,0.45500000000000007,0.0808888888888889,pre_2023_03_28
R1,larger,2021-03-31,MSFT  210416C00240000,2.8,2.96,covered,cbbo-1m,0.16000000000000014,0.054054054054054106,pre_2023_03_28
R1,larger,2021-03-31,PYPL  210416C00250000,4.6,4.475,covered,cbbo-1m,0.125,0.02793296089385475,pre_2023_03_28
R1,larger,2021-03-31,SBUX  210416C00110000,1.7,1.63,covered,cbbo-1m,0.07000000000000006,0.04294478527607366,pre_2023_03_28
R1,larger,2021-03-31,TSLA  210416P00630000,18.68,18.85,covered,cbbo-1m,0.1700000000000017,0.009018567639257385,pre_2023_03_28
R1,larger,2021-03-31,TSLA  210416P00650000,26.22,25.950000000000003,covered,cbbo-1m,0.269999999999996,0.010404624277456493,pre_2023_03_28
R1,larger,2021-03-31,XOM   210416P00056000,1.48,1.475,covered,cbbo-1m,0.004999999999999893,0.0033898305084745037,pre_2023_03_28
R1,larger,2021-04-30,AAPL  210521C00135000,1.45,1.43,covered,cbbo-1m,0.020000000000000018,0.013986013986014,pre_2023_03_28
R1,larger,2021-04-30,AAPL  210521P00130000,2.5,2.4850000000000003,covered,cbbo-1m,0.01499999999999968,0.006036217303822808,pre_2023_03_28
R1,larger,2021-04-30,ADBE  210521C00520000,7.48,6.324999999999999,covered,cbbo-1m,1.1550000000000011,0.1826086956521741,pre_2023_03_28
R1,larger,2021-04-30,AMD   210521C00083000,2.15,2.16,covered,cbbo-1m,0.010000000000000231,0.004629629629629736,pre_2023_03_28
R1,larger,2021-04-30,BA    210521P00232500,6.95,6.45,covered,cbbo-1m,0.5,0.07751937984496124,pre_2023_03_28
R1,larger,2021-04-30,FB    210521C00350000,1.06,1.065,covered,cbbo-1m,0.004999999999999893,0.004694835680751074,pre_2023_03_28
R1,larger,2021-04-30,GOOG  210521C02425000,38.6,38.6,covered,cbbo-1m,0.0,0.0,pre_2023_03_28
R1,larger,2021-04-30,LLY   210521C00182500,3.45,3.45,covered,cbbo-1m,0.0,0.0,pre_2023_03_28
R1,larger,2021-04-30,LLY   210521P00182500,3.7,3.8,covered,cbbo-1m,0.09999999999999964,0.02631578947368412,pre_2023_03_28
R1,larger,2021-04-30,MSFT  210521C00255000,3.25,3.175,covered,cbbo-1m,0.07500000000000018,0.023622047244094547,pre_2023_03_28
R1,larger,2021-04-30,PG    210521C00135000,1.22,1.22,covered,cbbo-1m,0.0,0.0,pre_2023_03_28
