config,benchmark,observations,monthly_log_growth_difference,log_growth_ci_lo,log_growth_ci_hi,expected_shortfall_difference,expected_shortfall_ci_lo,expected_shortfall_ci_hi,bootstrap_probability_log_growth_le_zero,bootstrap_probability_es_difference_le_zero
larger,matched_capped_naive,60,-0.01160139194529722,-0.06847696053677436,0.04438104071416598,0.3929603887011429,0.33329546929868054,0.4343139508115623,0.646,0.0
larger,stock_markowitz,60,0.0023264771480706373,-0.0037608823967812777,0.007485938320169485,-0.009964691751399662,-0.04447334623182461,0.0473091557141119,0.232,0.763
larger+VIX,matched_capped_naive,60,0.05673124571071358,-0.0009948911529576317,0.11535498197821459,0.4138283130239166,0.3695231789126214,0.4535648369666943,0.056,0.0
larger+VIX,stock_markowitz,60,0.014163111978198967,0.004833058582283424,0.022976452692455098,0.0033827632495883053,-0.040614079082069675,0.06651964436983886,0.005,0.516
orig,matched_capped_naive,60,0.024071792614029874,-0.0520308829422452,0.10717976979509238,0.5352652469733972,0.36606550692605005,0.6806029702938383,0.315,0.0
orig,stock_markowitz,60,-0.009934485161248908,-0.019849529045777706,-0.0012398005694143053,0.003991832583512878,-0.006854106515371888,0.019374622527933368,0.972,0.292
orig+VIX,matched_capped_naive,60,0.1569038630368287,0.06326807245398441,0.2555038926021152,0.6156860433187661,0.5035427683107023,0.7021276275971723,0.001,0.0
orig+VIX,stock_markowitz,60,0.003990569890814618,-0.013625347604208029,0.020987956443636845,0.02494008540358767,0.007949986605398238,0.04664935782527381,0.374,0.02
