source,trial_key,count_status
analysis/artifacts/breadth_solutions/p2_liquidity_results.csv,config=orig+VIX|strategy=Equal risk capped X=0.10|participation=0.1|aum=25000000.0|mode=relaxed,known_lower_bound
analysis/artifacts/breadth_solutions/p2_liquidity_results.csv,config=orig+VIX|strategy=Equal premium|participation=nan|aum=25000000.0|mode=naive,known_lower_bound
analysis/artifacts/breadth_solutions/p2_liquidity_results.csv,config=orig+VIX|strategy=Equal risk|participation=nan|aum=25000000.0|mode=naive,known_lower_bound
analysis/artifacts/breadth_solutions/p2_liquidity_results.csv,config=larger+VIX|strategy=GM X=inf|participation=inf|aum=1000000.0|mode=uncapped,known_lower_bound
analysis/artifacts/breadth_solutions/p2_liquidity_results.csv,config=larger+VIX|strategy=GM X=0.02|participation=0.02|aum=1000000.0|mode=hard,known_lower_bound
analysis/artifacts/breadth_solutions/p2_liquidity_results.csv,config=larger+VIX|strategy=GM X=0.02|participation=0.02|aum=1000000.0|mode=relaxed,known_lower_bound
analysis/artifacts/breadth_solutions/p2_liquidity_results.csv,config=larger+VIX|strategy=Equal premium capped X=0.02|participation=0.02|aum=1000000.0|mode=relaxed,known_lower_bound
analysis/artifacts/breadth_solutions/p2_liquidity_results.csv,config=larger+VIX|strategy=Equal risk capped X=0.02|participation=0.02|aum=1000000.0|mode=relaxed,known_lower_bound
analysis/artifacts/breadth_solutions/p2_liquidity_results.csv,config=larger+VIX|strategy=GM X=0.05|participation=0.05|aum=1000000.0|mode=hard,known_lower_bound
analysis/artifacts/breadth_solutions/p2_liquidity_results.csv,config=larger+VIX|strategy=Equal premium capped X=0.05|participation=0.05|aum=1000000.0|mode=hard,known_lower_bound
