config,strategy,display_strategy,basis,n_months,sharpe,sortino,ann_return,ann_vol,max_drawdown,terminal_wealth,defaulted
larger,larger E1 capped,E1 capped,gross,60,0.6656720133978011,1.476200636016454,0.28393821474687675,0.9764338823432845,-0.8797845134343973,3.4891579211750754,False
larger,larger E1 capped,E1 capped,full_cost_net,60,0.466414355571336,0.9578370097066917,0.05241708145554691,0.9771886947360289,-0.9192710956567374,1.2910392381720297,False
larger,larger Equal premium capped,Equal premium capped,gross,60,0.8128494265090782,2.051312885168684,0.4565282686253691,1.5317374837388742,-0.8120720146602574,6.555330458514565,False
larger,larger Equal premium capped,Equal premium capped,full_cost_net,60,0.6366691772261647,1.4891641774672522,0.09761526907910278,1.5320501209621333,-0.8904871969311258,1.5931281065655165,False
larger,larger Equal risk capped,Equal risk capped,gross,60,0.834073941434814,2.026742611393514,0.4964617661926052,1.4430153811914548,-0.8377733476492427,7.504609980850089,False
larger,larger Equal risk capped,Equal risk capped,full_cost_net,60,0.6512410079088246,1.472389070818153,0.13775337116428554,1.442750634728341,-0.8996383668774492,1.9065168807674433,False
larger,larger GM paper,GM paper,gross,60,0.003715458202120343,0.004324531353082915,-1.0,1.1977509453594333,-1.0,0.0,True
larger,larger GM paper,GM paper,full_cost_net,60,-0.681459841731004,-0.6740774175960734,-1.0,43.47722121376587,-1.0,0.0,True
larger+VIX,larger+VIX E1 capped,E1 capped,gross,60,1.5596131368278825,4.287952697426835,1.7550255177832188,0.8894647366010782,-0.5043447385565071,158.71871136384075,False
larger+VIX,larger+VIX E1 capped,E1 capped,full_cost_net,60,1.2171880333551826,2.924466206171215,1.0598355879419894,0.8913010285525695,-0.6961084982223729,37.08196896285918,False
larger+VIX,larger+VIX Equal premium capped,Equal premium capped,gross,60,0.4092454446226508,0.8934451891199913,-0.20172084471592755,1.485063992676479,-0.9564916661601912,0.32417083933223695,False
larger+VIX,larger+VIX Equal premium capped,Equal premium capped,full_cost_net,60,0.1996825781794347,0.40071539920311633,-0.43308634837138815,1.4848541115842353,-0.9830489099614149,0.0585577762606325,False
larger+VIX,larger+VIX Equal risk capped,Equal risk capped,gross,60,0.3770018079141745,0.7909918437346866,-0.1982528808847528,1.3741132050343974,-0.9391962521939096,0.3312737625332331,False
larger+VIX,larger+VIX Equal risk capped,Equal risk capped,full_cost_net,60,0.15512556550024176,0.2991369177901285,-0.42506203026242495,1.3737174680289796,-0.9716015602234696,0.06282101588706647,False
larger+VIX,larger+VIX GM paper,GM paper,gross,60,0.05724649117827529,0.06354486351509879,-1.0,1.1638308524976428,-1.0,0.0,True
larger+VIX,larger+VIX GM paper,GM paper,full_cost_net,60,-1.5226232418034127,-1.4040635223379505,-1.0,6.269064650424276,-1.0,0.0,True
orig,orig E1 capped,E1 capped,gross,60,0.6982999153537832,1.7813427334930214,0.35002153915974943,1.0684278416536468,-0.8274991046838683,4.484391161183371,False
orig,orig E1 capped,E1 capped,full_cost_net,60,0.5839820918835226,1.4024326537314806,0.1920372988745085,1.0674856661443755,-0.8672109594250597,2.4068511003108513,False
orig,orig Equal premium capped,Equal premium capped,gross,60,0.5626105023600078,1.1921230786392198,-0.11786653783991075,1.5790661446214052,-0.9594986063527988,0.5341601471761208,False
orig,orig Equal premium capped,Equal premium capped,full_cost_net,60,0.45262225827123476,0.9173165449241143,-0.27762133541491163,1.578052336020972,-0.9691162951193606,0.1967091461018419,False
orig,orig Equal risk capped,Equal risk capped,gross,60,0.5806324292424203,1.213953339146355,-0.08569174177528682,1.5457702923320664,-0.9554189971071055,0.6389446118375199,False
orig,orig Equal risk capped,Equal risk capped,full_cost_net,60,0.46886389131045036,0.9379433540858895,-0.24953354635330127,1.5447909070204136,-0.9659133581382932,0.23804355022824097,False
orig,orig GM paper,GM paper,gross,60,0.7130932436462655,1.583601709349164,0.28488677446229294,1.1376929712465802,-0.8635163549574103,3.502065740744721,False
orig,orig GM paper,GM paper,full_cost_net,60,-0.6553070422007264,-0.6496302987491263,-1.0,20.242683823265295,-1.0,0.0,True
orig+VIX,orig+VIX E1 capped,E1 capped,gross,60,1.2205982466193677,3.116246927018151,1.3333634747312728,1.1812790391403147,-0.6782875674356034,69.16907642178052,False
orig+VIX,orig+VIX E1 capped,E1 capped,full_cost_net,60,1.0073790451163143,2.3623687115327456,0.8192315403876818,1.1776699089330165,-0.7999424415188182,19.926906558328916,False
orig+VIX,orig+VIX Equal premium capped,Equal premium capped,gross,60,-0.09507592640797702,-0.1640231211999059,-0.7439729135730608,1.643146566376487,-0.9995466581187393,0.0011000934274685687,False
orig+VIX,orig+VIX Equal premium capped,Equal premium capped,full_cost_net,60,-0.2651641173311424,-0.4320765531080697,-0.8207698036963199,1.6421426426845014,-0.9999205302162844,0.0001849506671705716,False
orig+VIX,orig+VIX Equal risk capped,Equal risk capped,gross,60,-0.11326376480870695,-0.1871856561584572,-0.735454659587675,1.5652876749057092,-0.9994397725908495,0.0012956884347614286,False
orig+VIX,orig+VIX Equal risk capped,Equal risk capped,full_cost_net,60,-0.29349582658614765,-0.45775899644309714,-0.8153734664296224,1.5649381050742313,-0.9999031755590801,0.00021452137830806252,False
orig+VIX,orig+VIX GM paper,GM paper,gross,60,0.9791195452161852,2.1137540013357303,0.6396073589891713,0.8111616381832296,-0.6448202188937086,11.849480057401411,False
orig+VIX,orig+VIX GM paper,GM paper,full_cost_net,60,-1.3271959799016528,-1.338362007119874,-1.0,1.526521704478558,-1.0,0.0,True
