config,config_label,basis,e1_strategy,naive_strategy,net_sharpe,net_sharpe_ci_lo,net_sharpe_ci_hi,net_sortino,net_sortino_ci_lo,net_sortino_ci_hi,stock_sharpe,delta_sharpe_stock,jk_z_stock,jk_p_stock,boot_p_stock,n_obs_stock,naive_sharpe,delta_sharpe_naive,jk_z_naive,jk_p_naive,boot_p_naive,n_obs_naive,psr,dsr,dsr_trials,dsr_trials_sensitivity,dsr_sensitivity,n_obs,block_size,n_boot,seed,alpha
orig,orig,static,orig E1 capped,Equal risk capped,0.7776672701424105,0.1627158626839406,1.432899358717439,1.7831594051787367,0.30781421513836776,3.8428588334956664,0.9088833301008384,-0.13121605995842794,-0.284824363828869,0.7757787053724978,0.732,60,0.36478399712191284,0.41288327302049765,2.468763386451564,0.013558083443732223,0.004,60,0.9730170409582879,0.944864851857529,22,40,0.0010715001735343982,60,8,1000,20260625,0.1
orig,orig,rolling,orig E1 capped,Equal risk capped,0.5850917724326803,-0.30638900783967105,1.3908720994558879,1.4024711570279484,-0.540150541272183,4.237932149786545,0.9088833301008384,-0.32379155766815826,-0.6860687822686399,0.4926697355815711,0.348,60,0.4740235858904945,0.11106818654218568,0.49377310571904015,0.6214664288078724,0.696,60,,,22,40,,60,8,1000,20260625,0.1
orig+VIX,orig+VIX,static,orig+VIX E1 capped,Equal premium capped,1.3831478314520487,0.8949623810764845,1.9710870684565207,3.5507756028124744,2.01087564086533,5.886723392845635,0.9088833301008384,0.47426450135120995,0.8728663850322482,0.3827359104003736,0.31,60,-0.8900429076095173,2.2731907390615653,7.0052924170722815,2.4647051364049804e-12,0.0,60,0.9996195183328533,0.9971692020270281,22,38,0.0025590759437907873,60,8,1000,20260625,0.1
orig+VIX,orig+VIX,rolling,orig+VIX E1 capped,Equal premium capped,1.0330623778864179,0.403451189254325,1.7514027721302492,2.4494308841733217,0.7534526703234993,5.067300439933155,0.9088833301008384,0.12417904778557923,0.22552067075747526,0.8215742465763023,0.806,60,-0.26928022641889626,1.302342604305314,4.558079676773037,5.162345445672095e-06,0.0,60,,,22,38,,60,8,1000,20260625,0.1
larger,larger,static,larger E1 capped,Equal risk capped,0.5871547497312365,0.02895451388356595,1.1734647487904566,1.2981872968309784,0.05465900779831146,3.003095378945337,0.9088833301008384,-0.32172858036960195,-0.7789822027939454,0.43599019860661825,0.378,60,0.596214811970553,-0.009060062239316527,-0.041150055016357295,0.967176270239041,0.982,60,0.9253854640676968,0.7448742991736814,22,38,0.0006323182484710838,60,8,1000,20260625,0.1
larger,larger,rolling,larger E1 capped,Equal risk capped,0.48010853435588696,-0.31694302068835345,1.2539032839096238,0.9956992016798992,-0.4986611102352151,3.31515137022062,0.9088833301008384,-0.4287747957449514,-0.9627877532296638,0.33565404786866204,0.302,60,0.6630475207307399,-0.18293898637485298,-0.7592271124684844,0.44771671005268543,0.46,60,,,22,38,,60,8,1000,20260625,0.1
larger+VIX,larger+VIX,static,larger+VIX E1 capped,Equal risk capped,1.6282919496891226,1.1111054908343452,2.2445761002508546,4.376850879622032,2.5384269571552798,7.28924028530039,0.9088833301008384,0.719408619588284,1.3439293186298449,0.1789712441945711,0.194,60,0.29286717968107795,1.3354247700080444,4.518254409786582,6.2351538982643474e-06,0.0,60,0.9999505814643607,0.9959165206992987,22,38,0.051516091169481554,60,8,1000,20260625,0.1
larger+VIX,larger+VIX,rolling,larger+VIX E1 capped,Equal risk capped,1.2725494340774863,0.5245728896183277,2.115213838789936,3.129943237349455,1.0727211663498928,6.875448123676793,0.9088833301008384,0.3636661039766479,0.674382719347017,0.5000680262480637,0.52,60,0.15311855595981347,1.1194308781176727,3.2339921356633923,0.0012207281698341126,0.002,60,,,22,38,,60,8,1000,20260625,0.1
