path_id,strategy,basis,sharpe,sortino,max_drawdown,ann_return,terminal_wealth,defaulted,n_months,n_months_le_neg100,status
path_00,larger E1 minus Equal premium capped,full_cost_net,0.7207785778648781,2.38143690043962,-0.990271340562482,0.5054268367943364,81.2533505292162,False,129,0,complete
path_00,larger E1 minus Equal premium capped,gross,-0.4070922524508327,-0.4670755638482113,-0.999926411930345,-0.5830741008245912,8.234417755161096e-05,False,129,0,complete
path_00,larger E1 minus Equal risk capped,full_cost_net,0.9707243871799649,5.339722807542715,-0.8203182591519463,2.313888642124654,392312.8546190235,False,129,0,complete
path_00,larger E1 minus Equal risk capped,gross,-0.46230560939070414,-0.5267116662167354,-0.9996103347889332,-0.5153634667112499,0.0004151677458072647,False,129,0,complete
path_00,larger+VIX E1 minus Equal premium capped,full_cost_net,0.40560779795672575,0.5300611400738755,-1.0,-1.0,0.0,True,129,1,complete
path_00,larger+VIX E1 minus Equal premium capped,gross,-0.020171936639493848,-0.02145231684399079,-1.0,-1.0,0.0,True,129,1,complete
path_00,larger+VIX E1 minus Equal risk capped,full_cost_net,0.7180694128450383,1.1724200869548878,-1.0,-1.0,0.0,True,129,1,complete
path_00,larger+VIX E1 minus Equal risk capped,gross,-0.04087466135023706,-0.04301646749729639,-1.0,-1.0,0.0,True,129,1,complete
path_00,orig E1 minus Equal premium capped,full_cost_net,0.2746787807473115,0.3949466861882491,-0.9997174707916973,-0.2506431817990753,0.044967954136034716,False,129,0,complete
path_00,orig E1 minus Equal premium capped,gross,-0.47514947925331463,-0.5313673922583982,-0.9999279595714924,-0.5697877626985315,0.00011536914290660234,False,129,0,complete
path_00,orig E1 minus Equal risk capped,full_cost_net,0.24470048670599953,0.35410890422710944,-0.9996847870629342,-0.25402395423920376,0.04283437958552792,False,129,0,complete
path_00,orig E1 minus Equal risk capped,gross,-0.5243522260800249,-0.5825748745525001,-0.9999079669597932,-0.5658225812759994,0.0001273276570353987,False,129,0,complete
path_00,orig+VIX E1 minus Equal premium capped,full_cost_net,0.3308042901332507,0.35524377027238563,-1.0,-1.0,0.0,True,129,2,complete
