config,participation,aum,n_candidate_contracts,n_active_contracts,deployed_gross,top5_share,n_active_at_cap,at_cap_share,cap_budget
orig,0.05,1000000.0,49,47,0.4967579999999999,0.4207300134069306,3,0.06382978723404255,0.7385426749999999
orig+VIX,0.05,1000000.0,54,54,0.7234180000000001,0.32387361110727125,5,0.09259259259259259,1.0931024249999999
larger,0.05,1000000.0,262,243,0.5944669999999994,0.23296667434861837,19,0.07818930041152264,1.1602635999999986
larger+VIX,0.05,1000000.0,267,253,0.8360119999999995,0.2958593895781402,21,0.08300395256916997,1.5148233499999983
