config,config_label,verdict,deployable,e1_net_sharpe,e1_net_sortino,e1_gross_sharpe,e1_gross_sortino,rolling_net_sharpe,mc_resampled_net_p05,mc_refit_net_p05,best_naive_strategy,best_naive_net_sharpe,stock_markowitz_sharpe,edge_vs_best_naive,edge_vs_stock_markowitz,beats_best_naive,beats_stock_markowitz
orig,orig,diagnostic_capacity_infeasible,False,0.7776672701424103,1.7831594051787354,0.9745724766412076,2.4043445797564806,0.5850917724326802,0.199156096528141,0.570443857903392,Equal risk capped,0.3647839971219127,0.9088833301008382,0.41288327302049765,-0.1312160599584279,True,False
orig+VIX,orig+VIX,pass,True,1.3831478314520482,3.550775602812473,1.674837279228858,4.805851642651071,1.033062377886418,0.8729747074033762,1.17762396755954,Equal premium capped,-0.8900429076095175,0.9088833301008382,2.2731907390615658,0.47426450135121,True,True
larger,larger,mixed,True,0.5871547497312364,1.298187296830978,0.8468060222361325,2.085269237298705,0.4801085343558868,-0.0013743420164889,0.5366688308085992,Equal risk capped,0.596214811970553,0.9088833301008382,-0.009060062239316657,-0.32172858036960184,False,False
larger+VIX,larger+VIX,pass,True,1.6282919496891228,4.376850879622032,2.0096858991318056,6.256793049943173,1.2725494340774863,1.0958190511653805,1.3603367122089285,Equal risk capped,0.2928671796810777,0.9088833301008382,1.335424770008045,0.7194086195882846,True,True
