Return basis,Strategy,Requested method,Status,Simulation,Reason,N paths,Defaulted path share,Ann. return p05,Ann. return p50,Ann. return p95,Sortino p05,Sortino p50,Sortino p95,Max DD p05,Max DD p50,Max DD p95,Terminal wealth p05,Terminal wealth p50,Terminal wealth p95
Gross before costs,larger E1 capped,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,1000,0.0,-0.37167901769624745,0.10757858301796275,0.9377275469508435,-0.3911426324074644,0.8832542385108906,2.7350885826737574,-0.9642391364770324,-0.754293515543629,-0.464356621549775,0.0979282970084223,1.6667751817013672,27.31898814440769
Gross before costs,larger GM paper,circular_block_bootstrap,ok,circular_block_bootstrap,,1000,0.0,-0.3548748872556436,0.09040289835605719,0.7527710298926366,-0.2601917416789923,0.7576365742489991,2.429739093136914,-0.9512617669322563,-0.7658402662592412,-0.45995208122862563,0.11174420911728854,1.5414729792875477,16.54357274149931
Gross before costs,larger GM paper,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,1000,0.0,-0.3663098691872059,0.1749734329552428,0.9081890429648067,-0.22686174413788188,0.921427469073726,2.9026801687208215,-0.9682836647777031,-0.687573504670673,-0.3675855191827145,0.1021844499885475,2.239444457647413,25.299228164799967
Gross before costs,larger Equal premium capped,circular_block_bootstrap,ok,circular_block_bootstrap,,1000,0.0,-0.43387973584739126,0.14868870040141446,1.3512545342482931,0.35547057821596373,1.6727359328818028,3.2055269558827275,-0.9848745756820485,-0.8668535704213023,-0.6841856959073167,0.05814939549779896,1.9999160634355753,71.8618255662543
Gross before costs,larger Equal premium capped,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,1000,0.0,-0.7688787716090274,-0.3089169896750235,0.7956348196366234,-0.6504234930995733,0.5505409193013302,2.2922894355842884,-0.999800046313247,-0.9734713696927606,-0.780824100371229,0.0006595153557821235,0.15763614282036115,18.673461473145352
Gross before costs,larger Equal risk capped,circular_block_bootstrap,ok,circular_block_bootstrap,,1000,0.0,-0.32091699049371253,0.39354281009900727,1.811114674388852,0.6046012546066122,1.9767064040691396,3.6823058986775963,-0.9718525993604302,-0.818777126677994,-0.6158111830264098,0.1444163447498803,5.255370251772845,175.55132372269003
Gross before costs,larger Equal risk capped,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,1000,0.0,-0.6794332962875287,-0.10019281852158851,1.2575274641943228,-0.3796410856252052,0.9001693975318638,2.7627041898705444,-0.9990442424795181,-0.9461013462750367,-0.7021467304366046,0.003385267179700444,0.5898754502676861,58.63903287180633
Gross before costs,larger+VIX E1 capped,circular_block_bootstrap,ok,circular_block_bootstrap,,1000,0.0,1.4328782589608715,2.8499881767212245,5.367378703945989,3.69662342807905,6.042335929292083,10.238250737228332,-0.5156251736672061,-0.3615755422989222,-0.29748001121712997,85.23197329591225,845.8574214138972,10466.546424914219
Gross before costs,larger+VIX E1 capped,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,1000,0.0,0.9969832604189803,2.5494242846190955,5.075468192024116,3.0106088641358557,6.365347987046356,12.856533917924333,-0.702150282345185,-0.4000722515401391,-0.21236576228889179,31.75938786875626,563.365668005579,8277.573512938752
Gross before costs,larger+VIX GM paper,circular_block_bootstrap,ok,circular_block_bootstrap,,1000,0.0,-0.1062918772220567,0.3679973713827899,1.0062654061017196,0.20365615293115885,1.4895966946408887,3.447206345421355,-0.8323462499792862,-0.6055267676850267,-0.4134286996981533,0.5701379397453997,4.791001771257752,32.50452097363471
Gross before costs,larger+VIX GM paper,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,1000,0.0,-0.20994633432129356,0.27240938447150775,0.8840327657886253,-0.07548741304534173,1.2052333914969509,3.484125139571667,-0.9070019655915905,-0.5650651221448555,-0.29234471139115625,0.3078103094001196,3.335295552555154,23.737900307398487
Gross before costs,larger+VIX Equal premium capped,circular_block_bootstrap,ok,circular_block_bootstrap,,1000,0.0,-0.660041490776493,-0.33402352443229244,0.3019681682090281,-0.40470479100350354,0.6733152061128058,1.8845196506506692,-0.9978571213239835,-0.9608144413307232,-0.7838630760445526,0.004540842350816064,0.1310070401198365,3.741121738508064
Gross before costs,larger+VIX Equal premium capped,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,1000,0.0,-0.8840255837373684,-0.6411687205250112,-0.05550668694491362,-1.238550711619963,-0.2787605075160063,1.0406950591074053,-0.9999892552404023,-0.9973679984475073,-0.9088021968790652,2.0980275222729968e-05,0.005949131558511771,0.7516138942472154
Gross before costs,larger+VIX Equal risk capped,circular_block_bootstrap,ok,circular_block_bootstrap,,1000,0.0,-0.5289691848814919,-0.044257185370976226,0.8875253500501377,-0.024670004934512407,1.2026750411990277,2.613227081472822,-0.9917292981888989,-0.8960132455057652,-0.6884941816943407,0.02318797635084666,0.797453205895047,23.959494608258687
Gross before costs,larger+VIX Equal risk capped,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,1000,0.0,-0.817723292369741,-0.46308475349654177,0.36547953103321734,-0.9354465942655522,0.14284933991504312,1.6039786550459865,-0.9999084246995184,-0.9876822618072013,-0.8112844143829694,0.0002012130234308438,0.044619909789158946,4.747120797064702
Full-cost net,orig E1 capped,circular_block_bootstrap,ok,circular_block_bootstrap,,1000,0.0,-0.1830361828779413,0.3498030132187625,1.2810855903601797,0.26564984586079615,1.617626489178766,3.5859220151210436,-0.8999376368473315,-0.6794622583317081,-0.43234622619777663,0.3639268614517474,4.480767885458522,61.76009155857997
Full-cost net,orig E1 capped,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,1000,0.0,-0.27216404097626423,0.2090415919237376,1.0953094471372102,-0.15221860018572397,1.1698161258606685,3.059256605063855,-0.936956756056432,-0.7130466773193976,-0.46306444976756733,0.20426196758421858,2.583495385236792,40.38749400001364
Full-cost net,orig GM paper,circular_block_bootstrap,ok,circular_block_bootstrap,,1000,0.997,-1.0,-1.0,-1.0,-1.9216448089971057,-1.4309063870402021,-1.108306718369268,-1.0,-1.0,-1.0,0.0,0.0,0.0
Full-cost net,orig GM paper,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,1000,1.0,-1.0,-1.0,-1.0,-1.0184603802502745,0.07043353316915417,1.7758326084811242,-1.0,-1.0,-1.0,0.0,0.0,0.0
Full-cost net,orig Equal premium capped,circular_block_bootstrap,ok,circular_block_bootstrap,,1000,0.0,-0.5630476249535277,-0.20200478177673453,0.4511553369338736,-0.23811970552707237,0.6631387532688392,1.7764528096860548,-0.9918824836216639,-0.9174395846908395,-0.6935199595509688,0.015928355115498536,0.3235947524873215,6.435318139776156
Full-cost net,orig Equal premium capped,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,1000,0.0,-0.6199187521254358,-0.23080641334476248,0.6195843778459699,-0.7027323590737724,0.3677129984621218,1.916155039295794,-0.9966824227406997,-0.9399380067522,-0.7174562068838733,0.007932205822418232,0.269265510944965,11.14340522861227
Full-cost net,orig Equal risk capped,circular_block_bootstrap,ok,circular_block_bootstrap,,1000,0.0,-0.5635357627406863,-0.21857589915732922,0.41520687156392483,-0.28774174091296206,0.6124971466201763,1.7273782809452614,-0.9915617209040892,-0.9182836437437438,-0.6877670624382292,0.01583991493193635,0.29138065951920544,5.676754055602007
Full-cost net,orig Equal risk capped,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,1000,0.0,-0.6160374604221277,-0.2402839013589309,0.5830350764832012,-0.7343835904996804,0.3219332824724614,1.868424036203255,-0.9961864743289379,-0.9373877333324163,-0.7213288118700075,0.008345513421193902,0.2530818199018857,9.941521450165965
Full-cost net,orig+VIX E1 capped,circular_block_bootstrap,ok,circular_block_bootstrap,,1000,0.0,0.4331732917415998,1.2956187666756986,2.846933315370975,1.7492679584040878,3.2421068409373843,5.541704948931144,-0.7237711881931868,-0.5346742952909789,-0.42901482763089593,6.046382968495952,63.75300207234694,842.5086596321764
Full-cost net,orig+VIX E1 capped,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,1000,0.0,0.4058632982576002,1.448478771834738,3.4563766941891427,1.647279539432009,3.8658408159789555,7.554076359155205,-0.8038836173491656,-0.5156795282231923,-0.3063124973576922,5.491819346918407,88.00049234756554,1757.60493687215
Full-cost net,orig+VIX GM paper,circular_block_bootstrap,ok,circular_block_bootstrap,,1000,0.997,-1.0,-1.0,-1.0,-1.6508262564525706,-1.208734317111626,-0.8994661114123834,-1.0,-1.0,-1.0,0.0,0.0,0.0
Full-cost net,orig+VIX GM paper,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,1000,1.0,-1.0,-1.0,-1.0,-0.9850312517228285,-0.05519672637147472,1.4568337387538366,-1.0,-1.0,-1.0,0.0,0.0,0.0
Full-cost net,orig+VIX Equal premium capped,circular_block_bootstrap,ok,circular_block_bootstrap,,1000,0.0,-0.9690900671940558,-0.9325007297048322,-0.8523160253406887,-1.6979175574425163,-1.1787356744188053,-0.5615903525721802,-0.9999999707789181,-0.9999986874283577,-0.999940902217787,2.822262707185669e-08,1.4011860114222658e-06,7.025378272292285e-05
Full-cost net,orig+VIX Equal premium capped,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,1000,0.002,-0.9865491445633562,-0.9517993813846921,-0.8565430146129902,-2.1473169912435517,-1.5513856912419235,-0.6883887643161819,-0.9999999995463351,-0.9999997832493104,-0.9999597653507212,4.4039562171857704e-10,2.6017359866805076e-07,6.0758705719382594e-05
Full-cost net,orig+VIX Equal risk capped,circular_block_bootstrap,ok,circular_block_bootstrap,,1000,0.0,-0.9667725840265503,-0.9296899265500964,-0.8513674841997367,-1.7804837279779429,-1.2934680254064026,-0.6872470037328631,-0.9999999477763597,-0.9999982662287467,-0.9999311051670573,4.0503117625785066e-08,1.718259001702348e-06,7.253859964701295e-05
Full-cost net,orig+VIX Equal risk capped,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,1000,0.0,-0.9820775382679701,-0.9446679608013551,-0.8530166263788806,-2.239989300732651,-1.6624812812138767,-0.826364155528208,-0.9999999973992052,-0.9999995057968162,-0.9999519327960296,1.8494954499267576e-09,5.186728240019371e-07,6.860294770771712e-05
Full-cost net,larger E1 capped,circular_block_bootstrap,ok,circular_block_bootstrap,,1000,0.0,-0.2686912167416458,0.17545470852051315,0.9131949296972346,-0.06882648965148641,1.1997272498341587,2.8956846930068676,-0.9103164390442839,-0.7035784514376788,-0.4720028498982435,0.20917223043618083,2.2440348762907956,25.632803516156024
Full-cost net,larger E1 capped,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,1000,0.0,-0.5002401794447411,-0.11549900751368486,0.5616808311937312,-0.7958816266935884,0.31716042495207897,1.900661379536692,-0.9871507074200303,-0.8516683097217412,-0.5449369675778277,0.031175076408115586,0.5413675027586293,9.288854250846834
Full-cost net,larger GM paper,circular_block_bootstrap,ok,circular_block_bootstrap,,1000,1.0,-1.0,-1.0,-1.0,-2.371701327167972,-1.7817856871908362,-1.5818054391342242,-1.0,-1.0,-1.0,0.0,0.0,0.0
Full-cost net,larger GM paper,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,1000,1.0,-1.0,-1.0,-1.0,-1.5525577337587528,-0.6047947588823197,0.7531062172854064,-1.0,-1.0,-1.0,0.0,0.0,0.0
