path_id,return_date,strategy,basis,ret
path_00,2021-03-31,larger+VIX Equal risk capped,full_cost_net,-0.3129263072385282
path_00,2021-03-31,larger+VIX Equal risk capped,gross,-0.28454725431270084
path_00,2021-03-31,larger+VIX GM paper,full_cost_net,-0.5355941414384033
path_00,2021-03-31,larger+VIX GM paper,gross,-0.13895023615219265
path_00,2021-03-31,orig E1 capped,full_cost_net,-0.29259001650207905
path_00,2021-03-31,orig E1 capped,gross,-0.2806242709749869
path_00,2021-03-31,orig Equal premium capped,full_cost_net,-0.1898911658838598
path_00,2021-03-31,orig Equal premium capped,gross,-0.17147070189374136
path_00,2021-03-31,orig Equal risk capped,full_cost_net,-0.1898911658838598
path_00,2021-03-31,orig Equal risk capped,gross,-0.17147070189374136
path_00,2021-03-31,orig GM paper,full_cost_net,-0.2974359071213745
path_00,2021-03-31,orig GM paper,gross,-0.23554517758738214
path_00,2021-03-31,orig+VIX E1 capped,full_cost_net,-0.2622339089678632
path_00,2021-03-31,orig+VIX E1 capped,gross,-0.23776423897221194
path_00,2021-03-31,orig+VIX Equal premium capped,full_cost_net,-0.3037466777704566
path_00,2021-03-31,orig+VIX Equal premium capped,gross,-0.2749897643007355
path_00,2021-03-31,orig+VIX Equal risk capped,full_cost_net,-0.31859210799907134
path_00,2021-03-31,orig+VIX Equal risk capped,gross,-0.29048987351297517
path_00,2021-03-31,orig+VIX GM paper,full_cost_net,-0.32099210988555643
path_00,2021-03-31,orig+VIX GM paper,gross,-0.2571540396718099
path_00,2021-04-30,larger E1 capped,full_cost_net,0.3059621746706294
path_00,2021-04-30,larger E1 capped,gross,0.32655476212596546
path_00,2021-04-30,larger Equal premium capped,full_cost_net,0.35434666928510855
path_00,2021-04-30,larger Equal premium capped,gross,0.3915597500049601
path_00,2021-04-30,larger Equal risk capped,full_cost_net,0.29328775161777704
path_00,2021-04-30,larger Equal risk capped,gross,0.3294528487728614
path_00,2021-04-30,larger GM paper,full_cost_net,-30.237643349167808
path_00,2021-04-30,larger GM paper,gross,0.24191570054714534
path_00,2021-04-30,larger+VIX E1 capped,full_cost_net,0.3506756697490763
path_00,2021-04-30,larger+VIX E1 capped,gross,0.38153347725162345
path_00,2021-04-30,larger+VIX Equal premium capped,full_cost_net,0.28047419611933627
path_00,2021-04-30,larger+VIX Equal premium capped,gross,0.3183539946709145
path_00,2021-04-30,larger+VIX Equal risk capped,full_cost_net,0.24489942163240408
path_00,2021-04-30,larger+VIX Equal risk capped,gross,0.2792182760141928
path_00,2021-04-30,larger+VIX GM paper,full_cost_net,-22.660996311294443
path_00,2021-04-30,larger+VIX GM paper,gross,0.16945847000133657
path_00,2021-04-30,orig E1 capped,full_cost_net,0.6810333131339597
path_00,2021-04-30,orig E1 capped,gross,0.6927897090113655
path_00,2021-04-30,orig Equal premium capped,full_cost_net,0.8667688070751234
path_00,2021-04-30,orig Equal premium capped,gross,0.8833756137161524
path_00,2021-04-30,orig Equal risk capped,full_cost_net,0.8667688070751234
path_00,2021-04-30,orig Equal risk capped,gross,0.8833756137161524
path_00,2021-04-30,orig GM paper,full_cost_net,0.6908645102491184
path_00,2021-04-30,orig GM paper,gross,0.8954721671773982
path_00,2021-04-30,orig+VIX E1 capped,full_cost_net,0.8886088403088473
