config,fold_id,scheme,strategy,display_strategy,basis,status,solver_status,mode,capacity_infeasible,sum_of_caps,deployed_gross,sharpe,sortino,ann_return,ann_vol,max_drawdown,terminal_wealth,defaulted
orig,kfold_03,kfold,orig GM paper,GM paper,full_cost_net,ok,optimal,uncapped,False,,0.9392440000000001,-1.081251335182326,-1.2309534268500741,-0.6707923656784831,0.7314466662654059,-0.3637355727445505,0.47677476997719165,False
orig,kfold_03,kfold,orig Equal premium capped,Equal premium capped,gross,ok,reference,relaxed,True,0.80793315,0.7353520000000001,2.1098319166263866,8.375369562620978,10.173250890303182,1.7746025709122328,-0.31667155526585866,4.9978862459701805,False
orig,kfold_03,kfold,orig Equal premium capped,Equal premium capped,full_cost_net,ok,reference,relaxed,True,0.80793315,0.7353520000000001,1.990420408082784,7.367544243802159,8.244397685668053,1.7700614983703127,-0.3380222497328196,4.404727847993967,False
orig,kfold_03,kfold,orig Equal risk capped,Equal risk capped,gross,ok,reference,relaxed,True,0.80793315,0.7353520000000001,2.1098319166263866,8.375369562620978,10.173250890303182,1.7746025709122328,-0.31667155526585866,4.9978862459701805,False
orig,kfold_03,kfold,orig Equal risk capped,Equal risk capped,full_cost_net,ok,reference,relaxed,True,0.80793315,0.7353520000000001,1.990420408082784,7.367544243802159,8.244397685668053,1.7700614983703127,-0.3380222497328196,4.404727847993967,False
orig,kfold_04,kfold,orig E1 capped,E1 capped,gross,ok,optimal,hard,True,0.7819349,0.5219070000000001,0.15390691279493782,0.34223560270462206,-0.20685550628005134,1.0514262892787367,-0.4965546903371306,0.8568435707173776,False
orig,kfold_04,kfold,orig E1 capped,E1 capped,full_cost_net,ok,optimal,hard,True,0.7819349,0.5219070000000001,0.025918019929343766,0.05452448748770831,-0.3118254551181905,1.0508894951857826,-0.5240110141707396,0.7794693981881925,False
orig,kfold_04,kfold,orig GM paper,GM paper,gross,ok,optimal,uncapped,False,,0.871052,1.0034852087451882,2.8774417028192256,1.0427999807015693,1.2868703628813742,-0.2997834938663808,1.6099679482777727,False
orig,kfold_04,kfold,orig GM paper,GM paper,full_cost_net,ok,optimal,uncapped,False,,0.871052,-0.20242963422264165,-0.358369241673031,-0.5524008334921753,1.1948466928935475,-0.39015323567619253,0.585139630008864,False
orig,kfold_04,kfold,orig Equal premium capped,Equal premium capped,gross,ok,reference,relaxed,True,0.7819349,0.71903,-0.21574899212537055,-0.4479689568383189,-0.6234798549612783,1.3869080068207755,-0.6243068810778312,0.5214253542578337,False
orig,kfold_04,kfold,orig Equal premium capped,Equal premium capped,full_cost_net,ok,reference,relaxed,True,0.7819349,0.71903,-0.35852435415066025,-0.6980933682811437,-0.699909211421365,1.386763515522641,-0.656594976348089,0.4482308835109885,False
orig,kfold_04,kfold,orig Equal risk capped,Equal risk capped,gross,ok,reference,relaxed,True,0.7819349,0.71903,-0.21574899212537055,-0.4479689568383189,-0.6234798549612783,1.3869080068207755,-0.6243068810778312,0.5214253542578337,False
orig,kfold_04,kfold,orig Equal risk capped,Equal risk capped,full_cost_net,ok,reference,relaxed,True,0.7819349,0.71903,-0.35852435415066025,-0.6980933682811437,-0.699909211421365,1.386763515522641,-0.656594976348089,0.4482308835109885,False
orig,kfold_05,kfold,orig E1 capped,E1 capped,gross,ok,optimal,hard,True,0.7859053,0.506862,-1.2421494578144852,-1.7362661574410938,-0.7259814614111786,0.7943892606904462,-0.5084848288662116,0.42187775913718456,False
orig,kfold_05,kfold,orig E1 capped,E1 capped,full_cost_net,ok,optimal,hard,True,0.7859053,0.506862,-1.4038209267239712,-1.8613449300983924,-0.7638577543639116,0.7955334811608473,-0.5324077433581185,0.3820461192959502,False
orig,kfold_05,kfold,orig GM paper,GM paper,gross,ok,optimal,uncapped,False,,0.7267399999999999,-0.666200031820568,-1.0769871528030108,-0.5385798584825191,0.7750880105317294,-0.5459789441703045,0.5971237777911607,False
orig,kfold_05,kfold,orig GM paper,GM paper,full_cost_net,ok,optimal,uncapped,False,,0.7267399999999999,-1.6870404372016228,-1.9351660788895582,-0.8599814508800301,0.8814791298582667,-0.7527855107673409,0.26964376475075985,False
orig,kfold_05,kfold,orig Equal premium capped,Equal premium capped,gross,ok,reference,relaxed,True,0.7859053,0.7216100000000001,-1.074196824411872,-1.4052586740535207,-0.8521122635384608,1.1394751587195733,-0.5849125959993804,0.27965426117075565,False
orig,kfold_05,kfold,orig Equal premium capped,Equal premium capped,full_cost_net,ok,reference,relaxed,True,0.7859053,0.7216100000000001,-1.4286770358503385,-1.7072995451598707,-0.9170078791602312,1.1698600328171076,-0.7089898753495283,0.19026456331052816,False
orig,kfold_05,kfold,orig Equal risk capped,Equal risk capped,gross,ok,reference,relaxed,True,0.7859053,0.7216100000000001,-1.074196824411872,-1.4052586740535207,-0.8521122635384608,1.1394751587195733,-0.5849125959993804,0.27965426117075565,False
orig,kfold_05,kfold,orig Equal risk capped,Equal risk capped,full_cost_net,ok,reference,relaxed,True,0.7859053,0.7216100000000001,-1.4286770358503385,-1.7072995451598707,-0.9170078791602312,1.1698600328171076,-0.7089898753495283,0.19026456331052816,False
orig,kfold_06,kfold,orig E1 capped,E1 capped,gross,ok,optimal,hard,True,0.7661705000000001,0.5228840000000001,-0.08484466920573089,-0.13379224437390028,-0.10263225908804052,0.4088693612297862,-0.2782990957753725,0.930351299983619,False
orig,kfold_06,kfold,orig E1 capped,E1 capped,full_cost_net,ok,optimal,hard,True,0.7661705000000001,0.5228840000000001,-0.44113344147980427,-0.6334863433727201,-0.22449200159954463,0.40517877767231697,-0.31140332075215105,0.8440940797467857,False
orig,kfold_06,kfold,orig GM paper,GM paper,gross,ok,optimal,uncapped,False,,0.864487,-0.5727029812996727,-0.7081534067285786,-0.30745280413824994,0.45940998217475076,-0.2433057795739958,0.7827677361623937,False
orig,kfold_06,kfold,orig GM paper,GM paper,full_cost_net,ok,optimal,uncapped,False,,0.864487,-3.3764908468512256,-2.4993594512226993,-0.9909012285215086,0.9455531549329849,-0.8602560526031121,0.04358347338485944,False
orig,kfold_06,kfold,orig Equal premium capped,Equal premium capped,gross,ok,reference,relaxed,True,0.7661705000000001,0.7004980000000001,-1.7419888541207833,-1.8217702153109872,-0.6291413623299026,0.4852746631499267,-0.44387416355489895,0.5161852602991962,False
orig,kfold_06,kfold,orig Equal premium capped,Equal premium capped,full_cost_net,ok,reference,relaxed,True,0.7661705000000001,0.7004980000000001,-2.161791475952515,-2.0695735413142144,-0.7035194020085314,0.48476149401061885,-0.4758508466968321,0.44462872703839473,False
orig,kfold_06,kfold,orig Equal risk capped,Equal risk capped,gross,ok,reference,relaxed,True,0.7661705000000001,0.7004980000000001,-1.7419888541207833,-1.8217702153109872,-0.6291413623299026,0.4852746631499267,-0.44387416355489895,0.5161852602991962,False
orig,kfold_06,kfold,orig Equal risk capped,Equal risk capped,full_cost_net,ok,reference,relaxed,True,0.7661705000000001,0.7004980000000001,-2.161791475952515,-2.0695735413142144,-0.7035194020085314,0.48476149401061885,-0.4758508466968321,0.44462872703839473,False
orig,kfold_07,kfold,orig E1 capped,E1 capped,gross,ok,optimal,hard,True,0.7690333250000001,0.51647,1.5990985019943924,2.9650313561923283,1.499357740675578,0.7585745595768919,-0.28343201750160785,1.8417002553331034,False
orig,kfold_07,kfold,orig E1 capped,E1 capped,full_cost_net,ok,optimal,hard,True,0.7690333250000001,0.51647,1.4005684326460743,2.488945614680352,1.1648718203124941,0.7568386017667422,-0.2930724881596031,1.6734835906314174,False
orig,kfold_07,kfold,orig GM paper,GM paper,gross,ok,optimal,uncapped,False,,0.884863,2.756453045006345,11.226377610133188,4.581324603667,0.7485756653127514,-0.10908781621085217,3.146479120764741,False
orig,kfold_07,kfold,orig GM paper,GM paper,full_cost_net,ok,optimal,uncapped,False,,0.884863,-0.6619531524968084,-0.7402279311745816,-1.0,1.5923460702509558,-1.0,0.0,True
orig,kfold_07,kfold,orig Equal premium capped,Equal premium capped,gross,ok,reference,relaxed,True,0.7690333250000001,0.699802,1.5503990288329674,2.98202836937112,2.1901690566085867,1.244781413645633,-0.42519983117059224,2.1670842652357645,False
orig,kfold_07,kfold,orig Equal premium capped,Equal premium capped,full_cost_net,ok,reference,relaxed,True,0.7690333250000001,0.699802,1.3838191206029116,2.555658915160796,1.6099446084607396,1.2415122720496063,-0.4683498205016834,1.8956327077613264,False
orig,kfold_07,kfold,orig Equal risk capped,Equal risk capped,gross,ok,reference,relaxed,True,0.7690333250000001,0.699802,1.5503990288329674,2.98202836937112,2.1901690566085867,1.244781413645633,-0.42519983117059224,2.1670842652357645,False
orig,kfold_07,kfold,orig Equal risk capped,Equal risk capped,full_cost_net,ok,reference,relaxed,True,0.7690333250000001,0.699802,1.3838191206029116,2.555658915160796,1.6099446084607396,1.2415122720496063,-0.4683498205016834,1.8956327077613264,False
orig,kfold_08,kfold,orig E1 capped,E1 capped,gross,ok,optimal,hard,True,0.7655393500000001,0.5206710000000001,1.6213091046755537,6.835768445243107,2.7115613321003718,1.0980959813350122,-0.21038522897473977,2.397200875646681,False
orig,kfold_08,kfold,orig E1 capped,E1 capped,full_cost_net,ok,optimal,hard,True,0.7655393500000001,0.5206710000000001,1.4551264340700691,5.748859047758964,2.1352438332823103,1.0969838390545903,-0.22024059865919954,2.1421385073167927,False
orig,kfold_08,kfold,orig GM paper,GM paper,gross,ok,optimal,uncapped,False,,0.9388,2.01677909028348,10.201962213692623,3.6776147588060066,0.9835303997326436,-0.1308706451294679,2.796938824225749,False
orig,kfold_08,kfold,orig GM paper,GM paper,full_cost_net,ok,optimal,uncapped,False,,0.9388,-0.9531787355322154,-1.1594050027049305,-0.9295605050374495,1.3886618258140162,-0.8497933348844786,0.17056011846800037,False
orig,kfold_08,kfold,orig Equal premium capped,Equal premium capped,gross,ok,reference,relaxed,True,0.7655393500000001,0.707509,1.6744321898777228,8.393591535983342,6.635891211402871,2.0004746950501704,-0.2988824872790826,3.877690609284845,False
orig,kfold_08,kfold,orig Equal premium capped,Equal premium capped,full_cost_net,ok,reference,relaxed,True,0.7655393500000001,0.707509,1.5435919067401571,7.111492047929432,5.036000010850573,1.9975256220702777,-0.3127429752616486,3.315121789251923,False
orig,kfold_08,kfold,orig Equal risk capped,Equal risk capped,gross,ok,reference,relaxed,True,0.7655393500000001,0.707509,1.6744321898777228,8.393591535983342,6.635891211402871,2.0004746950501704,-0.2988824872790826,3.877690609284845,False
orig,kfold_08,kfold,orig Equal risk capped,Equal risk capped,full_cost_net,ok,reference,relaxed,True,0.7655393500000001,0.707509,1.5435919067401571,7.111492047929432,5.036000010850573,1.9975256220702777,-0.3127429752616486,3.315121789251923,False
orig,kfold_09,kfold,orig E1 capped,E1 capped,gross,ok,optimal,hard,True,0.773508725,0.5079310000000001,1.9114847219964672,6.7950992547813645,3.2037709453506356,0.985737652449257,-0.31921220126313776,2.6047099125708466,False
orig,kfold_09,kfold,orig E1 capped,E1 capped,full_cost_net,ok,optimal,hard,True,0.773508725,0.5079310000000001,1.758664278860849,5.758704165172652,2.6527312065591877,0.9828769553503875,-0.3479698932963048,2.371802249609835,False
orig,kfold_09,kfold,orig GM paper,GM paper,gross,ok,optimal,uncapped,False,,0.8390529999999999,2.098940401809801,6.245433822440569,2.3351145479274242,0.6918342221354159,-0.21450653038117673,2.232238031986777,False
orig,kfold_09,kfold,orig GM paper,GM paper,full_cost_net,ok,optimal,uncapped,False,,0.8390529999999999,1.1904108027228446,2.5041744251611706,0.8088546021593568,0.6645049043456194,-0.3125137923808108,1.4845760139335533,False
orig,kfold_09,kfold,orig Equal premium capped,Equal premium capped,gross,ok,reference,relaxed,True,0.773508725,0.698933,1.685663500068134,4.594623235667619,3.075665267847328,1.2144615899225593,-0.39219031696484496,2.551520168834419,False
orig,kfold_09,kfold,orig Equal premium capped,Equal premium capped,full_cost_net,ok,reference,relaxed,True,0.773508725,0.698933,1.4722137506131001,3.7008914443909244,2.2074785807253696,1.2210750113342301,-0.44406010589376943,2.17491610868129,False
orig,kfold_09,kfold,orig Equal risk capped,Equal risk capped,gross,ok,reference,relaxed,True,0.773508725,0.698933,1.685663500068134,4.594623235667619,3.075665267847328,1.2144615899225593,-0.39219031696484496,2.551520168834419,False
