config,fold_id,scheme,strategy,display_strategy,basis,status,solver_status,mode,capacity_infeasible,sum_of_caps,deployed_gross,sharpe,sortino,ann_return,ann_vol,max_drawdown,terminal_wealth,defaulted
orig,kfold_00,kfold,orig E1 capped,E1 capped,gross,ok,optimal,hard,True,0.779423675,0.514136,0.006978269324395061,0.016390693990279922,-0.45962703293019613,1.3931827664165832,-0.42219648463258896,0.7737886220134534,False
orig,kfold_00,kfold,orig E1 capped,E1 capped,full_cost_net,ok,optimal,hard,True,0.779423675,0.514136,-0.08756486673906504,-0.19508658128337525,-0.5326759354302562,1.392418410834258,-0.4398353809770815,0.7283512902288191,False
orig,kfold_00,kfold,orig GM paper,GM paper,gross,ok,optimal,uncapped,False,,0.8669119999999999,0.5755626079656364,1.7524050431428848,0.13705188596953,1.7219074813754178,-0.26674325305038904,1.05497406806617,False
orig,kfold_00,kfold,orig GM paper,GM paper,full_cost_net,ok,optimal,uncapped,False,,0.8669119999999999,0.21582056571107525,0.5180732000355097,-0.3985272717794679,1.6674465828939726,-0.31120861308073633,0.8091082731545283,False
orig,kfold_00,kfold,orig Equal premium capped,Equal premium capped,gross,ok,reference,relaxed,True,0.779423675,0.715965,-0.09332846143455605,-0.20848667261523046,-0.6950870655330892,1.7873839846559827,-0.48908404517386594,0.609639740909187,False
orig,kfold_00,kfold,orig Equal premium capped,Equal premium capped,full_cost_net,ok,reference,relaxed,True,0.779423675,0.715965,-0.2023488193124278,-0.4265658824599741,-0.7582146011604658,1.7869849429295317,-0.5147569583659636,0.553472264924421,False
orig,kfold_00,kfold,orig Equal risk capped,Equal risk capped,gross,ok,reference,relaxed,True,0.779423675,0.715965,-0.09332846143455605,-0.20848667261523046,-0.6950870655330892,1.7873839846559827,-0.48908404517386594,0.609639740909187,False
orig,kfold_00,kfold,orig Equal risk capped,Equal risk capped,full_cost_net,ok,reference,relaxed,True,0.779423675,0.715965,-0.2023488193124278,-0.4265658824599741,-0.7582146011604658,1.7869849429295317,-0.5147569583659636,0.553472264924421,False
orig,kfold_01,kfold,orig E1 capped,E1 capped,gross,ok,optimal,hard,True,0.7843612249999999,0.5115480000000001,0.29417450754210267,0.6355918543682391,-0.052149092075514436,0.9882069830683399,-0.396242126427655,0.9779312988325908,False
orig,kfold_01,kfold,orig E1 capped,E1 capped,full_cost_net,ok,optimal,hard,True,0.7843612249999999,0.5115480000000001,0.1503300649463677,0.30680301524274034,-0.18304611204340837,0.9914878296306351,-0.4221231591459781,0.9192119111740461,False
orig,kfold_01,kfold,orig GM paper,GM paper,gross,ok,optimal,uncapped,False,,0.859834,1.5515877865139753,5.08059854592157,1.4582930227395026,0.7205301116340238,-0.18934930779276316,1.4546684520087245,False
orig,kfold_01,kfold,orig GM paper,GM paper,full_cost_net,ok,optimal,uncapped,False,,0.859834,0.12419732116535882,0.22192478220058134,-0.13792524302401532,0.8029065385949675,-0.359412966683342,0.9400343426949319,False
orig,kfold_01,kfold,orig Equal premium capped,Equal premium capped,gross,ok,reference,relaxed,True,0.7843612249999999,0.7237930000000001,-0.43846667399268546,-0.708086084207244,-0.7322070594641084,1.3324049100369066,-0.6523525738796354,0.5775411966565402,False
orig,kfold_01,kfold,orig Equal premium capped,Equal premium capped,full_cost_net,ok,reference,relaxed,True,0.7843612249999999,0.7237930000000001,-0.8532740261070305,-1.2195493582669281,-0.8782703562346138,1.3984905906713647,-0.7428368525314659,0.41582935661025777,False
orig,kfold_01,kfold,orig Equal risk capped,Equal risk capped,gross,ok,reference,relaxed,True,0.7843612249999999,0.7237930000000001,-0.43846667399268546,-0.708086084207244,-0.7322070594641084,1.3324049100369066,-0.6523525738796354,0.5775411966565402,False
orig,kfold_01,kfold,orig Equal risk capped,Equal risk capped,full_cost_net,ok,reference,relaxed,True,0.7843612249999999,0.7237930000000001,-0.8532740261070305,-1.2195493582669281,-0.8782703562346138,1.3984905906713647,-0.7428368525314659,0.41582935661025777,False
orig,kfold_02,kfold,orig E1 capped,E1 capped,gross,ok,optimal,hard,True,0.786901175,0.513788,-4.465028301489289,-2.846003875279577,-0.8229366301005541,0.34873397463629,-0.4023512535674695,0.486094046806538,False
orig,kfold_02,kfold,orig E1 capped,E1 capped,full_cost_net,ok,optimal,hard,True,0.786901175,0.513788,-4.8464519848674446,-2.9186273197744854,-0.8476053035465818,0.34783096445093337,-0.4311086187084442,0.4566366571706001,False
