config,arm,gross_sharpe,net_sharpe,net_sortino,deployed_gross,n_active_contracts,net_delta_nav,gamma_nav,vega_nav,theta_nav,solver_status
orig,Full E1,0.9745724766412075,0.7776672701424103,1.7831594051787354,0.496758,47,2.1608486226705015,58.01004836910535,0.010975549218105493,-0.0011377034680358333,optimal
orig,No carry,0.9689104225955522,0.7739349348247139,1.77069016632205,0.49603200000000003,48,,,,,optimal
orig,No delta,0.591060372909974,0.370166212417388,0.6676522098729188,0.6118429999999999,49,,,,,optimal
orig,No vol/VRP,0.9698064507817405,0.772137503365291,1.761218047873857,0.497355,48,,,,,optimal
orig,No skew/tail,0.9697495026060224,0.7722813728309725,1.7623207678031807,0.49768,48,,,,,optimal
orig,No relative value,1.0181095761005339,0.8218470141351435,1.8926106405250112,0.5003000000000001,47,,,,,optimal
orig+VIX,Full E1,1.674837279228858,1.3831478314520482,3.550775602812473,0.7234180000000001,54,1.577974352733705,129.8607744614854,-0.21511341782823487,0.23092831922061446,optimal
orig+VIX,No carry,0.7171605958486418,0.46329981157682093,0.9224408006350591,0.610226,53,,,,,optimal
orig+VIX,No delta,1.7945311842481382,1.4788905689340306,4.002150761905039,0.7292410000000001,53,,,,,optimal
orig+VIX,No vol/VRP,1.6692598493617765,1.3824926055331206,3.579933947597198,0.7125570000000001,54,,,,,optimal
orig+VIX,No skew/tail,1.6631576637963654,1.3719581760881283,3.4998002429129014,0.72254,54,,,,,optimal
orig+VIX,No relative value,1.6459144928876024,1.3549597490308538,3.4123511921748735,0.72327,54,,,,,optimal
larger,Full E1,0.8468060222361325,0.5871547497312364,1.298187296830978,0.5944670000000001,243,2.272459999039067,60.66452042147867,0.010629315659305473,-0.0009804627239369981,optimal
larger,No carry,0.8253970934284833,0.5741873666124184,1.2674149963748391,0.58236,241,,,,,optimal
larger,No delta,1.0387044580078073,0.6720874983368048,1.3748612123975563,0.705672,248,,,,,optimal
larger,No vol/VRP,0.8466075915440507,0.5874169190010232,1.2997762519560967,0.594779,243,,,,,optimal
larger,No skew/tail,0.8457580758976686,0.5861449267109631,1.295997650008718,0.5942620000000001,243,,,,,optimal
larger,No relative value,0.7712299516914293,0.5043647091389102,1.0866831270690667,0.557714,238,,,,,optimal
larger+VIX,Full E1,2.0096858991318056,1.6282919496891228,4.376850879622032,0.836012,253,3.0465087798128,87.04041402225218,-0.24251981045895998,0.2433723538472218,optimal
larger+VIX,No carry,0.7574727529027766,0.483125521403603,1.0173568894779639,0.6232059999999999,246,,,,,optimal
larger+VIX,No delta,2.1150581352429114,1.6841737910906474,4.233435136972726,0.857205,251,,,,,optimal
larger+VIX,No vol/VRP,1.9831320524366782,1.5998620223550584,4.212806775095825,0.8443960000000001,252,,,,,optimal
larger+VIX,No skew/tail,2.0102530845019726,1.6289166463874993,4.3831528942920155,0.8350770000000001,253,,,,,optimal
larger+VIX,No relative value,1.953913833822698,1.5703647609245763,4.118979222367156,0.841937,254,,,,,optimal
