config,asset_id,weight,cap_bound,utilization,underlying,mark
orig,AAPL_call_atm,0.00324,0.02781675,0.11647658335355496,AAPL,2.7
orig,AAPL_call_call_near,-0.002562,0.0116205,0.2204724409448819,AAPL,1.22
orig,AAPL_call_put_near,0.018795,0.019511,0.9633027522935779,AAPL,8.95
orig,AAPL_put_atm,0.01316,0.013389125000000002,0.9828872312417726,AAPL,2.35
orig,AAPL_put_call_near,0.00692,0.007157875,0.9667673716012084,AAPL,8.65
orig,AAPL_put_put_near,0.00504,0.005055750000000001,0.996884735202492,AAPL,1.05
orig,AMZN_call_atm,0.005335,0.07442325,0.07168458781362008,AMZN,53.35
orig,AMZN_call_call_near,0.01107,0.011961750000000002,0.9254498714652954,AMZN,12.3
orig,AMZN_call_put_near,0.052208000000000004,0.0665652,0.7843137254901961,AMZN,261.04
orig,AMZN_put_atm,0.004668,0.0346599,0.13468013468013468,AMZN,46.68
orig,AMZN_put_put_near,-0.004252,0.017911550000000002,0.23738872403560826,AMZN,21.26
orig,AMZN_put_put_wing,0.0,0.0029174000000000005,0.0,AMZN,10.06
orig,GOOGL_call_atm,0.006559999999999999,0.008528,0.769230769230769,GOOGL,16.4
orig,GOOGL_call_call_near,-0.00238,0.002722125,0.8743169398907104,GOOGL,5.95
orig,GOOGL_call_put_near,0.007361,0.007729050000000001,0.9523809523809523,GOOGL,73.61
orig,GOOGL_put_atm,0.011841,0.0126304,0.9375000000000001,GOOGL,39.47
orig,GOOGL_put_put_near,0.0037200000000000006,0.003906,0.9523809523809526,GOOGL,18.6
orig,JPM_call_atm,0.006272,0.006497399999999999,0.9653092006033184,JPM,3.92
orig,JPM_call_call_near,-0.00048,0.000489,0.98159509202454,JPM,0.6
orig,JPM_call_put_near,0.00147,0.0018375,0.8,JPM,7.35
orig,JPM_put_atm,0.00225,0.0024250000000000005,0.9278350515463915,JPM,2.5
orig,JPM_put_put_near,0.0005,0.000565,0.8849557522123894,JPM,1.0
orig,META_call_atm,0.0288,0.0289,0.9965397923875433,META,4.0
orig,META_call_call_near,-0.001512,0.0034041,0.44417026526835285,META,0.84
orig,META_call_put_near,0.0168,0.01725,0.9739130434782607,META,12.0
orig,META_call_put_wing,0.00848,0.009964,0.8510638297872339,META,42.4
orig,META_put_atm,0.038148,0.03918585000000001,0.9735146743020757,META,11.22
orig,META_put_call_near,0.004674,0.005530900000000001,0.8450704225352111,META,15.58
orig,META_put_put_near,0.0084,0.0085,0.9882352941176469,META,4.0
orig,MSFT_call_atm,0.01105,0.013292500000000002,0.8312958435207823,MSFT,3.25
orig,MSFT_call_call_near,0.003059,0.0032159750000000003,0.9511889862327909,MSFT,1.61
orig,MSFT_call_put_near,0.004625,0.005365000000000001,0.8620689655172412,MSFT,9.25
orig,MSFT_put_atm,-0.00189,0.006189750000000001,0.30534351145038163,MSFT,3.15
orig,MSFT_put_put_near,0.002626,0.0027977,0.9386281588447652,MSFT,2.02
orig,NVDA_call_atm,0.0149,0.016092000000000002,0.9259259259259258,NVDA,14.9
orig,NVDA_call_call_near,0.00572,0.006032000000000001,0.9482758620689654,NVDA,5.2
orig,NVDA_call_put_near,0.021855,0.021855,1.0,NVDA,43.71
orig,NVDA_call_put_wing,0.005428,0.008684800000000001,0.6249999999999999,NVDA,54.28
orig,NVDA_put_atm,0.004602,0.0116584,0.3947368421052632,NVDA,15.34
orig,NVDA_put_call_near,0.006640000000000001,0.007885000000000001,0.8421052631578947,NVDA,33.2
orig,NVDA_put_put_near,-0.004886,0.0049558000000000015,0.9859154929577462,NVDA,6.98
orig,NVDA_put_put_wing,-0.00089,0.0009167000000000001,0.9708737864077668,NVDA,1.78
orig,TSLA_call_atm,0.047125,0.04984375,0.9454545454545454,TSLA,36.25
orig,TSLA_call_call_near,0.011775,0.026258250000000004,0.44843049327354256,TSLA,23.55
orig,TSLA_call_put_near,0.013744,0.018382600000000002,0.747663551401869,TSLA,68.72
orig,TSLA_put_atm,0.04272,0.0447492,0.954653937947494,TSLA,42.72
orig,TSLA_put_call_near,0.0,0.0199925,0.0,TSLA,72.7
orig,TSLA_put_put_near,0.01375,0.014656250000000004,0.9381663113006394,TSLA,12.5
orig,TSLA_put_put_wing,0.002575,0.0026651250000000004,0.9661835748792269,TSLA,5.15
orig+VIX,AAPL_call_atm,0.0216,0.02781675,0.7765105556903664,AAPL,2.7
orig+VIX,AAPL_call_call_near,0.001342,0.0116205,0.11548556430446194,AAPL,1.22
orig+VIX,AAPL_call_put_near,0.018795,0.019511,0.9633027522935779,AAPL,8.95
orig+VIX,AAPL_put_atm,0.01316,0.013389125000000002,0.9828872312417726,AAPL,2.35
orig+VIX,AAPL_put_call_near,0.00692,0.007157875,0.9667673716012084,AAPL,8.65
orig+VIX,AAPL_put_put_near,0.00504,0.005055750000000001,0.996884735202492,AAPL,1.05
orig+VIX,AMZN_call_atm,0.005335,0.07442325,0.07168458781362008,AMZN,53.35
orig+VIX,AMZN_call_call_near,0.01107,0.011961750000000002,0.9254498714652954,AMZN,12.3
