config,fold_id,scheme,test_groups,test_start,test_end,n_train,n_test,n_purged,n_embargoed,status,expected_splits_per_config
orig,kfold_00,kfold,0,2018-01-31,2018-09-28,118,8,2,1,ok,78
orig,kfold_01,kfold,1,2018-10-31,2019-06-28,118,8,2,1,ok,78
orig,kfold_02,kfold,2,2019-07-31,2020-02-28,118,8,2,1,ok,78
orig,kfold_03,kfold,3,2020-03-31,2020-10-30,118,8,2,1,ok,78
orig,kfold_04,kfold,4,2020-11-30,2021-07-30,118,8,2,1,ok,78
orig,kfold_05,kfold,5,2021-08-31,2022-04-29,118,8,2,1,ok,78
orig,kfold_06,kfold,6,2022-05-31,2022-12-30,118,8,2,1,ok,78
orig,kfold_07,kfold,7,2023-01-31,2023-08-31,118,8,2,1,ok,78
orig,kfold_08,kfold,8,2023-09-29,2024-05-31,118,8,2,1,ok,78
orig,kfold_09,kfold,9,2024-06-28,2025-01-31,118,8,2,1,ok,78
orig,kfold_10,kfold,10,2025-02-28,2025-09-30,119,7,2,1,ok,78
orig,kfold_11,kfold,11,2025-10-31,2026-04-30,121,7,1,0,ok,78
orig,cpcv_00_01,cpcv,0_1,2018-01-31,2019-06-28,110,16,2,1,ok,78
orig,cpcv_00_02,cpcv,0_2,2018-01-31,2020-02-28,107,16,4,2,ok,78
orig,cpcv_00_03,cpcv,0_3,2018-01-31,2020-10-30,107,16,4,2,ok,78
orig,cpcv_00_04,cpcv,0_4,2018-01-31,2021-07-30,107,16,4,2,ok,78
orig,cpcv_00_05,cpcv,0_5,2018-01-31,2022-04-29,107,16,4,2,ok,78
orig,cpcv_00_06,cpcv,0_6,2018-01-31,2022-12-30,107,16,4,2,ok,78
orig,cpcv_00_07,cpcv,0_7,2018-01-31,2023-08-31,107,16,4,2,ok,78
orig,cpcv_00_08,cpcv,0_8,2018-01-31,2024-05-31,107,16,4,2,ok,78
orig,cpcv_00_09,cpcv,0_9,2018-01-31,2025-01-31,107,16,4,2,ok,78
orig,cpcv_00_10,cpcv,0_10,2018-01-31,2025-09-30,108,15,4,2,ok,78
orig,cpcv_00_11,cpcv,0_11,2018-01-31,2026-04-30,110,15,3,1,ok,78
orig,cpcv_01_02,cpcv,1_2,2018-10-31,2020-02-28,110,16,2,1,ok,78
