path_id,strategy,basis,sharpe,sortino,max_drawdown,ann_return,terminal_wealth,defaulted,n_months,n_months_le_neg100,status
path_00,larger E1 capped,full_cost_net,0.83775319117301,1.9141093066686328,-0.7780815624856168,0.4861193582914989,22.271728086648345,False,94,0,complete
path_00,larger E1 capped,gross,1.2981468142780368,3.6582476740644645,-0.6712023969291883,1.1570009149842617,412.2502361202114,False,94,0,complete
path_00,larger Equal premium capped,full_cost_net,0.4628969881724662,0.8828636172215412,-0.9954989338498162,-0.2044279286459948,0.16672074488243818,False,94,0,complete
path_00,larger Equal premium capped,gross,1.126954277530688,2.923613983355395,-0.7830586657501033,1.199243019160079,479.8883863744578,False,94,0,complete
path_00,larger Equal risk capped,full_cost_net,0.34570399943148666,0.6316434997682955,-0.9959858198456268,-0.2555864072836106,0.09905551059181102,False,94,0,complete
path_00,larger Equal risk capped,gross,1.1395365431701985,2.887343938137248,-0.7406682879950673,1.1985196087604404,478.65326305134033,False,94,0,complete
path_00,larger GM paper,full_cost_net,-1.4103350560583738,-1.31223480618472,-1.0,-1.0,0.0,True,94,53,complete
path_00,larger GM paper,gross,0.8342571140787534,1.2033840396547828,-1.0,-1.0,0.0,True,94,1,complete
path_00,larger Stock Markowitz,full_cost_net,0.5522020382057774,1.0599009562417165,-0.07339041024580983,0.030501024201011306,1.2653558698762961,False,94,0,complete
path_00,larger Stock Markowitz,gross,0.5522020382057774,1.0599009562417165,-0.07339041024580983,0.030501024201011306,1.2653558698762961,False,94,0,complete
path_00,larger+VIX E1 capped,full_cost_net,0.5591808613805365,0.7020026786648685,-1.0,-1.0,0.0,True,94,1,complete
path_00,larger+VIX E1 capped,gross,1.0017053494092465,1.3114367175772925,-1.0,-1.0,0.0,True,94,1,complete
path_00,larger+VIX Equal premium capped,full_cost_net,0.29638959415043453,0.5611306510552979,-0.9984658774251536,-0.3697723464205278,0.02687798672233811,False,94,0,complete
path_00,larger+VIX Equal premium capped,gross,0.9339506989713012,2.3615584169809734,-0.923960376624148,0.7186533437758993,69.55178028738182,False,94,0,complete
path_00,larger+VIX Equal risk capped,full_cost_net,0.3014113580274786,0.5568534931952565,-0.9970637030780911,-0.3008045228869505,0.060630215815675154,False,94,0,complete
path_00,larger+VIX Equal risk capped,gross,1.0073842946823954,2.5012462101125754,-0.8311947747375136,0.866846139238362,132.94850356844728,False,94,0,complete
path_00,larger+VIX GM paper,full_cost_net,-1.6033610384318664,-1.46148614509098,-1.0,-1.0,0.0,True,94,49,complete
path_00,larger+VIX GM paper,gross,1.1140818067863045,1.8635189607578688,-0.7910072959602277,0.5714666888773143,34.492439096280535,False,94,0,complete
path_00,larger+VIX Stock Markowitz,full_cost_net,0.5522020382057774,1.0599009562417165,-0.07339041024580983,0.030501024201011306,1.2653558698762961,False,94,0,complete
path_00,larger+VIX Stock Markowitz,gross,0.5522020382057774,1.0599009562417165,-0.07339041024580983,0.030501024201011306,1.2653558698762961,False,94,0,complete
path_00,orig E1 capped,full_cost_net,0.9078382000592642,2.185594420404273,-0.8308246268604439,0.6315323076113135,46.273549256082326,False,94,0,complete
path_00,orig E1 capped,gross,1.0554104591769702,2.7155378243783104,-0.7691830782505557,0.9226508071222259,167.4505510445213,False,94,0,complete
path_00,orig Equal premium capped,full_cost_net,0.8129112306008046,1.994509526907368,-0.9805148263003228,0.3312875689910344,9.407257559504405,False,94,0,complete
path_00,orig Equal premium capped,gross,0.9885000005177124,2.653542276809693,-0.9593094668590101,0.8220353957887725,109.90775613198616,False,94,0,complete
path_00,orig Equal risk capped,full_cost_net,0.8009499673055558,1.9572525504361855,-0.9805148263003228,0.29981094680331943,7.79940531241373,False,94,0,complete
path_00,orig Equal risk capped,gross,0.9757858401347858,2.606700966219186,-0.9593094668590101,0.7799518140141193,91.52321260185077,False,94,0,complete
path_00,orig GM paper,full_cost_net,-1.2228732685230976,-1.2411693718045729,-1.0,-1.0,0.0,True,94,5,complete
path_00,orig GM paper,gross,1.1467499653169544,2.4658242168920044,-0.9403888874271515,0.8317613659129617,114.5881419330635,False,94,0,complete
path_00,orig+VIX E1 capped,full_cost_net,0.7566043319303718,1.1399908901814226,-1.0,-1.0,0.0,True,94,1,complete
path_00,orig+VIX E1 capped,gross,0.9812528446351143,1.5342856429400273,-1.0,-1.0,0.0,True,94,1,complete
path_00,orig+VIX Equal premium capped,full_cost_net,0.26160043745399303,0.6340933164959971,-0.9999995853841067,-0.7169898443490194,5.0790500396245646e-05,False,94,0,complete
path_00,orig+VIX Equal premium capped,gross,0.44039721266191284,1.159129170505494,-0.9999935535974079,-0.5198045347510263,0.0031947834544377514,False,94,0,complete
path_00,orig+VIX Equal risk capped,full_cost_net,0.30234350810085703,0.6997732735331345,-0.9999995117710435,-0.6836319273517825,0.00012157447845606909,False,94,0,complete
path_00,orig+VIX Equal risk capped,gross,0.4913629122212195,1.2342448330727027,-0.9999924846789661,-0.4665099984368051,0.007286001031992898,False,94,0,complete
path_00,orig+VIX GM paper,full_cost_net,-1.0581147037530896,-1.1746491992073458,-1.0,-1.0,0.0,True,94,1,complete
path_00,orig+VIX GM paper,gross,1.2079475040103402,2.421170732562566,-0.9591387394349293,0.6449748346065818,49.345496575466356,False,94,0,complete
path_01,larger E1 capped,full_cost_net,0.801849943307422,1.8115648349213747,-0.7677807922471073,0.4401814200589753,17.41545248211325,False,94,0,complete
path_01,larger E1 capped,gross,1.303527720086555,3.709220763227825,-0.6244831342090663,1.143554808828319,392.5433653175681,False,94,0,complete
path_01,larger Equal premium capped,full_cost_net,0.43142868365985537,0.8030033335197441,-0.9977129996603981,-0.27318746472118904,0.0821250291508735,False,94,0,complete
path_01,larger Equal premium capped,gross,1.1233903999358454,2.899362686905865,-0.7950477042712514,1.1883942125705445,461.65428146667716,False,94,0,complete
path_01,larger Equal risk capped,full_cost_net,0.3278060527215474,0.59145225613695,-0.9955121966257676,-0.2743913851869997,0.0810654324258792,False,94,0,complete
path_01,larger Equal risk capped,gross,1.1290900524063603,2.8463003327799115,-0.7370397277168281,1.1711194294095377,433.8661406779391,False,94,0,complete
path_01,larger GM paper,full_cost_net,-1.2831296528434935,-1.2089069967225443,-1.0,-1.0,0.0,True,94,68,complete
path_01,larger GM paper,gross,0.8032190610644309,1.1185986795776108,-1.0,-1.0,0.0,True,94,2,complete
path_01,larger Stock Markowitz,full_cost_net,0.7010372296186937,1.1594294257072193,-0.06400853100748338,0.0288847292563148,1.2498924692931217,False,94,0,complete
path_01,larger Stock Markowitz,gross,0.7010372296186937,1.1594294257072193,-0.06400853100748338,0.0288847292563148,1.2498924692931217,False,94,0,complete
path_01,larger+VIX E1 capped,full_cost_net,0.5302918397614708,0.6565960981298627,-1.0,-1.0,0.0,True,94,1,complete
path_01,larger+VIX E1 capped,gross,0.9682316483792716,1.2448809544699098,-1.0,-1.0,0.0,True,94,1,complete
path_01,larger+VIX Equal premium capped,full_cost_net,0.2678295837727862,0.4952065001083101,-0.9991868617491385,-0.4198596391217737,0.014049983019585576,False,94,0,complete
path_01,larger+VIX Equal premium capped,gross,0.9338560779910635,2.3514643958209596,-0.9314231796008102,0.714916313944649,68.37588582147471,False,94,0,complete
path_01,larger+VIX Equal risk capped,full_cost_net,0.26287455627641565,0.47795391839335477,-0.9974502930008018,-0.3377617149377423,0.03962280597916412,False,94,0,complete
path_01,larger+VIX Equal risk capped,gross,0.9802852721346786,2.416080118089395,-0.8564761462358494,0.8055100533588628,102.33698929170536,False,94,0,complete
path_01,larger+VIX GM paper,full_cost_net,-1.817894371476618,-1.6164686732743838,-1.0,-1.0,0.0,True,94,54,complete
path_01,larger+VIX GM paper,gross,1.0655961335883344,1.6212223431705135,-0.8217340443856518,0.479464412089724,21.502325355701863,False,94,0,complete
path_01,larger+VIX Stock Markowitz,full_cost_net,0.7010372296186937,1.1594294257072193,-0.06400853100748338,0.0288847292563148,1.2498924692931217,False,94,0,complete
path_01,larger+VIX Stock Markowitz,gross,0.7010372296186937,1.1594294257072193,-0.06400853100748338,0.0288847292563148,1.2498924692931217,False,94,0,complete
path_01,orig E1 capped,full_cost_net,0.8591311831621844,2.0178933730069986,-0.8546969543925518,0.5481222458970993,30.676640864880525,False,94,0,complete
path_01,orig E1 capped,gross,1.0114828950467858,2.5333552855101606,-0.7978180347518808,0.8196209840301845,108.77205559465082,False,94,0,complete
path_01,orig Equal premium capped,full_cost_net,0.8035600821858815,1.9513975060654571,-0.9825777498008841,0.30158374307203406,7.883121834358231,False,94,0,complete
path_01,orig Equal premium capped,gross,0.9822373485225143,2.611104640940837,-0.9618084626468404,0.7935463219212948,97.14385829481269,False,94,0,complete
path_01,orig Equal risk capped,full_cost_net,0.7933678814990717,1.9204225530954622,-0.9825777498008841,0.2750957047951126,6.710452378679925,False,94,0,complete
path_01,orig Equal risk capped,gross,0.9713561298725634,2.571974473957514,-0.9618084626468404,0.7579472202458633,83.02566251138559,False,94,0,complete
path_01,orig GM paper,full_cost_net,-1.179813237048703,-1.2300395592675215,-1.0,-1.0,0.0,True,94,3,complete
path_01,orig GM paper,gross,1.1634587237560847,2.632723247400799,-0.8708507382678063,0.9642975524092923,198.05705851033247,False,94,0,complete
path_01,orig+VIX E1 capped,full_cost_net,0.73673265525902,1.0925593112326095,-1.0,-1.0,0.0,True,94,1,complete
path_01,orig+VIX E1 capped,gross,0.9598576637505977,1.4730640609946744,-1.0,-1.0,0.0,True,94,1,complete
path_01,orig+VIX Equal premium capped,full_cost_net,0.23829822315018345,0.5804588916117087,-0.9999997481269189,-0.7356676824154058,2.9751604990075798e-05,False,94,0,complete
path_01,orig+VIX Equal premium capped,gross,0.41689479628117726,1.10280236038822,-0.9999957592150657,-0.5473017420511495,0.0020129629536988895,False,94,0,complete
path_01,orig+VIX Equal risk capped,full_cost_net,0.28390748604899363,0.6635021700616006,-0.9999996699213531,-0.6994044648743825,8.144475415573893e-05,False,94,0,complete
path_01,orig+VIX Equal risk capped,gross,0.47338913802512816,1.200816839587063,-0.9999945145590885,-0.48748548698780225,0.005321470376086482,False,94,0,complete
path_01,orig+VIX GM paper,full_cost_net,-1.0808954658173415,-1.2045177239939147,-1.0,-1.0,0.0,True,94,1,complete
