orig E1 capped,orig GM paper,orig Equal premium capped,orig Equal risk capped,orig+VIX E1 capped,orig+VIX GM paper,orig+VIX Equal premium capped,orig+VIX Equal risk capped,larger E1 capped,larger GM paper,larger Equal premium capped,larger Equal risk capped,larger+VIX E1 capped,larger+VIX GM paper,larger+VIX Equal premium capped,larger+VIX Equal risk capped
0.055670956451416,0.12429891387939462,-0.007155971038818494,0.008849028961181525,0.1789540167541503,0.21784889981079103,-0.2483759710388185,-0.23150197103881848,-0.027558088077906176,0.0950608201398611,0.019824033463648277,-0.007809992079564634,0.1712779499040376,0.13045884150435516,-0.0923499737385002,-0.09096499183542403
-0.1567728654897428,0.3193546271665386,-0.29953242351868625,-0.2889055241046237,-0.22339255024325405,0.14671449789407642,-0.3825837089034934,-0.3258165087081809,-0.07796856030236032,-0.193581671369793,-0.15593624426753033,-0.11727553277637762,-0.06300131254877271,-0.19067202219849633,-0.1053618597118682,-0.05234360080524228
-0.2152649254653931,-0.30000987191229184,-0.35271253175256934,-0.3367075317525693,-0.22538984066795803,-0.3327393867421776,-0.4740813888954265,-0.4011743888954265,-0.2647414763367605,-0.06849294847609314,-0.37462927100606813,-0.35078777317958443,-0.22944735463515592,-0.10010692433485222,-0.3723071799752542,-0.31064038125148075
0.40195701031964626,-0.18606558363580158,0.8070821357816388,0.7392282164627462,0.6067009065352663,0.04677142864705994,0.6751240551005315,0.5094107433564485,0.38648517743437266,-0.0609693755631661,0.633246088593775,0.5740712584601374,0.42240356614233315,-0.06419425284867258,0.5129544402196035,0.462347005090284
-0.04837762205423654,-0.20011637649829184,-0.03457266772232978,-0.01856766772232979,0.0054667835581760915,-0.13694699238352087,0.030319715611003578,0.03308954237868034,-0.20374411317529673,0.025656149453479618,-0.16812670992257694,-0.10254584713319667,-0.06579580328002461,0.028806910249342246,-0.1733271810960546,-0.1201282464159768
-0.10030262232752837,-0.06793300090784041,0.0036702117177770666,-0.018708865974116057,0.07171333385765402,0.11579649268859783,-0.19825276322190888,-0.28539387432755414,-0.09867450817890475,0.013264728130207855,-0.09480780319867979,-0.09007003254132101,0.0962401532654898,0.059344300867375896,-0.17326249382215578,-0.15795638626157035
-0.15319220698920138,-0.046591298475931145,-0.2850621992297715,-0.26905719922977145,-0.09218252952602718,-0.028351744782547143,-0.5381856992297714,-0.5274424492297713,-0.052934180748547666,0.1632622995226103,-0.2257769722695474,-0.24645233442190156,0.05110902853477445,0.16486808790830904,-0.26423842315390567,-0.2803915056710191
-0.12074435652804487,-0.05706232260595422,-0.31295251691837966,-0.2969475169183796,-0.11762306813789178,0.047399267848950884,-0.47298274130862356,-0.46284624374764793,-0.13408240849376768,0.0015502025662311875,-0.4278071037908664,-0.37814938354601224,-0.07680621911097424,0.060722184225586326,-0.4287841959042781,-0.40428448236954817
0.04799551938978594,0.2048690079578327,-0.05430733273222199,-0.06535452481695583,-0.10568066206069796,-0.07230725407890787,-0.02554001915216106,0.010022830895740714,0.08518097255913194,0.07871653735574252,-0.10006898627013593,-0.055412851591257015,-0.13865020275945644,-0.016505047619972475,-0.04233174627351542,-0.005828106339709215
0.3619868699194806,0.7910875620042357,0.5327170739243097,0.46598366418674947,0.4078442676668932,0.669342939324612,0.44514823366186973,0.3054886764170865,0.6146961598871243,0.09890815256846246,0.8414817751024768,0.8125582727107274,0.5974598438411556,0.06300518799066257,0.7229188191931648,0.7477490990926583
-0.17141065614172224,-0.28199320533834193,-0.23958355109410392,-0.22357855109410388,-0.07781702794428826,-0.29211134728560917,-0.43035943481503414,-0.3875048185359643,-0.2371295247684828,-0.2612191568450477,-0.27063368346377087,-0.2511826597609727,-0.11539639299496199,-0.2621065536800205,-0.3055139049851864,-0.24728468419821947
0.05207489606553184,-0.39229676035374866,0.5019746685646347,0.5179796685646346,0.4788919796141965,-0.04011845955030839,0.4791210471360631,0.4836975552993285,-0.03994018796987743,-0.47677640936398025,0.9391181529357131,0.8241546043096107,0.3658162675584015,-0.26134719378639176,0.8802726228590263,0.705654609237599
0.26521773663234344,-0.45783505313082024,0.1282136950718893,0.13562488063539307,0.31740177398462277,-0.07703289051420947,-0.1319153349360589,-0.15314393528788342,0.12130865108068237,-0.06265539263574407,-0.056449703117060324,0.10748447966761226,0.2680708865440897,-0.018376326437666967,-0.16586038454943547,-0.03273635416809614
-0.171669642313472,7.17962352152074e-05,-0.30083054972073264,-0.30970166787523346,-0.1606465041842352,0.12472323850608313,-0.49628363156623173,-0.5493765072600671,-0.09874998617262142,0.14447774881627645,-0.42903386178915176,-0.4178118299372565,-0.02045279924151294,0.1874694026141736,-0.46694398454444747,-0.44257890451514714
-0.05074408164436536,-0.29188234144670033,-0.02472921336549877,-0.008724213365498834,0.1111012733452045,-0.3755055272784761,-0.22891335290038253,-0.19296449243526623,-0.10684364895677895,-0.21349943323746912,-0.08131336645423315,-0.019450809990202614,0.009729054071901055,-0.1492758870472632,-0.14078471753269206,-0.06262144484296972
0.13126052904697422,0.2682565252674398,0.1765435239487058,0.1925485239487058,0.3041163546276098,0.250902426589375,0.13798570576688762,0.1510680304422123,0.17117819374359156,0.04445471353931135,0.30041877886500273,0.38414016190070294,0.34453115288615976,0.036122242842153,0.25875480146508817,0.31867134639154915
-0.11914019420055137,-0.02650189071748288,-0.13442535817640122,-0.14448565319418852,-0.12159416341311158,-0.061516562823795674,-0.23334335741794754,-0.23078075648460852,-0.0614720475749673,0.02509018223176903,-0.22986793196964447,-0.25751035965917524,-0.14799150132598812,-0.037143076351957086,-0.25591675602940916,-0.24786524317843828
