Strategy,basis,Method,Realized Sharpe,P05 Sharpe,P50 Sharpe,P95 Sharpe,P50 Max Drawdown,P Sharpe Less Than 0,P Default
larger E1 capped,full_cost_net_overlay,joint_garch_block,0.5512580807877274,-288.00756095161086,-94.97531276173021,-67.47946620153026,-0.9999998486957933,1.0,0.0
larger E1 capped,gross,joint_garch_block,0.8102477675285302,-606.7626539359486,-606.7626539359485,-606.7626539359483,-0.999999354054877,1.0,0.0
larger Equal premium capped,full_cost_net_overlay,joint_garch_block,0.47513087577371504,-513.6172617320581,-275.3058941532604,-186.76730190561304,-1.0,1.0,0.0
larger Equal premium capped,gross,joint_garch_block,0.6895406396928403,-2594.6479833779454,-2594.6479833779376,-2594.6479833779304,-1.0,1.0,0.0
larger Equal risk capped,full_cost_net_overlay,joint_garch_block,0.5500093125635136,-312.5927361619774,-89.26336110645428,-61.83979001044814,-1.0,1.0,0.0
larger Equal risk capped,gross,joint_garch_block,0.8151652010784312,-1948.132416219504,-1948.1324162195028,-1948.132416219502,-1.0,1.0,0.0
larger GM paper,full_cost_net_overlay,joint_garch_block,-1.9905397937377387,-3.7188692217290984,-2.278167878442982,-1.9577593551359749,-1.0,1.0,1.0
larger GM paper,gross,joint_garch_block,0.4562219234084395,-167.34196776048523,-167.34196776048523,-167.34196776048523,-0.9996843596835725,1.0,0.0
larger+VIX E1 capped,full_cost_net_overlay,joint_garch_block,1.498568085467288,-13.613581535176857,-13.016480609820645,-12.151283230467202,-0.9999999965808439,1.0,0.0
larger+VIX E1 capped,gross,joint_garch_block,1.91472662651322,-11.94749091817701,-11.94749091817701,-11.947490918177008,-0.9999999461841382,1.0,0.0
larger+VIX Equal premium capped,full_cost_net_overlay,joint_garch_block,0.07315945121517858,-50.30878071621075,-48.266456798197225,-46.46563838060419,-1.0,1.0,0.0
larger+VIX Equal premium capped,gross,joint_garch_block,0.3170703814082353,-46.69342823302628,-46.693428233026275,-46.693428233026275,-1.0,1.0,0.0
larger+VIX Equal risk capped,full_cost_net_overlay,joint_garch_block,0.2663982516059365,-55.33188003399975,-50.48334696510618,-46.00587162151733,-1.0,1.0,0.0
larger+VIX Equal risk capped,gross,joint_garch_block,0.5318138872348496,-51.748098821514226,-51.74809882151422,-51.74809882151422,-1.0,1.0,0.0
larger+VIX GM paper,full_cost_net_overlay,joint_garch_block,-1.8365427983378941,-5.044736838934388,-2.216372385391227,-1.9371293414633473,-1.0,1.0,1.0
larger+VIX GM paper,gross,joint_garch_block,0.7646532722533435,-23.263484611807247,-23.263484611807247,-23.26348461180724,-0.9997661347725121,1.0,0.0
orig E1 capped,full_cost_net_overlay,joint_garch_block,0.7197911142808208,-3.5964549870045133,0.5564970584503217,1.7868773836557927,-0.9998491739103843,0.384,0.237
orig E1 capped,gross,joint_garch_block,0.961297249207214,-3.291718435870133,0.6372439359649782,1.8500953601010712,-0.9995791652967065,0.366,0.237
orig Equal premium capped,full_cost_net_overlay,joint_garch_block,0.34997817375459306,-3.846864415133194,0.7095547754297677,1.8812408190648924,-0.9985254165853148,0.379,0.0
orig Equal premium capped,gross,joint_garch_block,0.5339601177891414,-3.6148556494420383,0.7620400765596005,1.9120343893073106,-0.9966435247167582,0.365,0.0
orig Equal risk capped,full_cost_net_overlay,joint_garch_block,0.32699152626591693,-3.943798902664146,0.6994953237698454,1.8739260990953561,-0.9987383519026116,0.387,0.0
orig Equal risk capped,gross,joint_garch_block,0.550219061257353,-3.6977092269214884,0.7463219845789016,1.9103120130947966,-0.9967293798584425,0.366,0.0
orig GM paper,full_cost_net_overlay,joint_garch_block,-1.4425864873430645,-3.015088980441702,-1.717224702683394,-0.7647516350488984,-1.0,0.979,1.0
orig GM paper,gross,joint_garch_block,0.842119975714547,-2.667804405369303,-0.5412949237616549,1.0952788772870623,-0.9999972886762845,0.713,0.449
orig+VIX E1 capped,full_cost_net_overlay,joint_garch_block,1.2870041142043245,-3.14246957554196,0.2913265860045223,1.830327241994021,-1.0,0.443,0.721
orig+VIX E1 capped,gross,joint_garch_block,1.6133127081844079,-2.899359767122652,0.39731187375289123,1.8536143008120045,-1.0,0.428,0.712
orig+VIX Equal premium capped,full_cost_net_overlay,joint_garch_block,-0.8528990866914381,-2.055396013501287,0.9315284441277537,2.064764180666048,-0.9999286127833518,0.257,0.019
orig+VIX Equal premium capped,gross,joint_garch_block,-0.578003225870255,-1.8143098077231838,0.9852104187151838,2.143541655513177,-0.9995880664727964,0.236,0.0
orig+VIX Equal risk capped,full_cost_net_overlay,joint_garch_block,-0.9770721749758123,-2.066570117928697,0.9569767965344329,2.1531992087005993,-0.9999108241823438,0.258,0.013
orig+VIX Equal risk capped,gross,joint_garch_block,-0.673402063175249,-1.822549880365574,1.009085823874579,2.2050342627025716,-0.9994484093284731,0.226,0.0
orig+VIX GM paper,full_cost_net_overlay,joint_garch_block,-1.195691461497669,-3.454088267738065,-1.6592217081952438,-0.5763745364472922,-1.0,0.98,1.0
orig+VIX GM paper,gross,joint_garch_block,1.37438921243636,-3.7521498935695745,-0.9187222295592312,0.8092998349607857,-1.0,0.812,0.681
