scope,config,Basis,N splits,N strategies,PBO,Median lambda,Rank correlation IS OOS
all_configs,all,full_cost_net,78,18,0.38461538461538464,0.21130909366720713,0.5462453443419185
within_config,larger,full_cost_net,78,5,0.46153846153846156,0.0,0.5641025641025639
within_config,larger+VIX,full_cost_net,78,5,0.38461538461538464,0.6931471805599452,0.5961538461538459
within_config,orig,full_cost_net,78,4,0.23076923076923078,1.3862943611198908,0.7222222222222223
within_config,orig+VIX,full_cost_net,78,4,0.1794871794871795,1.3862943611198908,0.6632478632478632
all_configs,all,gross,78,18,0.7051282051282052,-0.8979415932059585,0.12811511900724698
within_config,larger,gross,78,5,0.7307692307692307,-1.6094379124341005,-0.18589743589743582
within_config,larger+VIX,gross,78,5,0.6666666666666666,-1.6094379124341005,-0.10128205128205127
within_config,orig,gross,78,4,0.3333333333333333,1.3862943611198908,0.3091168091168091
within_config,orig+VIX,gross,78,4,0.21794871794871795,0.4054651081081642,0.5447293447293448
