config,fold_id,seconds,status
orig+VIX,cpcv_02_09,8.049501332920045,ok
orig+VIX,cpcv_02_10,8.027239124989137,ok
orig+VIX,cpcv_02_11,8.18555475003086,ok
orig+VIX,cpcv_03_04,8.229175665881485,ok
orig+VIX,cpcv_03_05,8.034931916976348,ok
orig+VIX,cpcv_03_06,8.073557625059038,ok
orig+VIX,cpcv_03_07,7.992009458132088,ok
orig+VIX,cpcv_03_08,8.059403166174889,ok
orig+VIX,cpcv_03_09,8.071678000036627,ok
orig+VIX,cpcv_03_10,7.99202391714789,ok
orig+VIX,cpcv_03_11,8.147242540959269,ok
orig+VIX,cpcv_04_05,8.153015166986734,ok
orig+VIX,cpcv_04_06,8.032005541957915,ok
orig+VIX,cpcv_04_07,8.031204875092953,ok
orig+VIX,cpcv_04_08,8.095704999985173,ok
orig+VIX,cpcv_04_09,8.138958000112325,ok
orig+VIX,cpcv_04_10,8.008620917098597,ok
orig+VIX,cpcv_04_11,8.123733208980411,ok
orig+VIX,cpcv_05_06,8.112440290860832,ok
orig+VIX,cpcv_05_07,8.078902291832492,ok
orig+VIX,cpcv_05_08,8.058882290963084,ok
orig+VIX,cpcv_05_09,8.032865958055481,ok
orig+VIX,cpcv_05_10,8.09382704203017,ok
orig+VIX,cpcv_05_11,8.127766333054751,ok
orig+VIX,cpcv_06_07,8.208294625161216,ok
orig+VIX,cpcv_06_08,8.06662029097788,ok
orig+VIX,cpcv_06_09,8.062347042141482,ok
orig+VIX,cpcv_06_10,8.052260958123952,ok
orig+VIX,cpcv_06_11,8.116622957866639,ok
orig+VIX,cpcv_07_08,8.16090066707693,ok
orig+VIX,cpcv_07_09,7.977383041987196,ok
orig+VIX,cpcv_07_10,8.045219917083159,ok
orig+VIX,cpcv_07_11,8.139813125133514,ok
orig+VIX,cpcv_08_09,8.142339708050713,ok
orig+VIX,cpcv_08_10,8.041102665942162,ok
orig+VIX,cpcv_08_11,8.063007208984345,ok
orig+VIX,cpcv_09_10,8.226150082889944,ok
orig+VIX,cpcv_09_11,8.114093790994957,ok
orig+VIX,cpcv_10_11,8.223176875151694,ok
larger,kfold_00,25.164205708075315,ok
larger,kfold_01,25.08247883315198,ok
larger,kfold_02,24.9210398751311,ok
larger,kfold_03,24.95612133294344,ok
larger,kfold_04,24.896190542029217,ok
larger,kfold_05,24.910296916030347,ok
larger,kfold_06,24.96740987501107,ok
larger,kfold_07,24.996433874825016,ok
larger,kfold_08,24.812251708004624,ok
larger,kfold_09,24.97736162506044,ok
larger,kfold_10,24.775227250065655,ok
larger,kfold_11,25.097088375128806,ok
larger,cpcv_00_01,25.03259658301249,ok
larger,cpcv_00_02,24.493370540905744,ok
larger,cpcv_00_03,24.56480612489395,ok
larger,cpcv_00_04,24.577654750086367,ok
larger,cpcv_00_05,24.617021417012438,ok
larger,cpcv_00_06,24.478271375177428,ok
larger,cpcv_00_07,24.564472458092496,ok
larger,cpcv_00_08,24.63414162490517,ok
larger,cpcv_00_09,25.04694079211913,ok
larger,cpcv_00_10,24.550816000206396,ok
larger,cpcv_00_11,24.786663541104645,ok
larger,cpcv_01_02,24.89927220903337,ok
larger,cpcv_01_03,24.457778291078284,ok
larger,cpcv_01_04,24.57480658381246,ok
larger,cpcv_01_05,24.703172083944082,ok
larger,cpcv_01_06,24.443200583104044,ok
larger,cpcv_01_07,24.509771457873285,ok
larger,cpcv_01_08,24.432500750059262,ok
