Universe Family,Basis,Strategy,Realized Value,Path P05 Sharpe,Path P25 Sharpe,Path P50 Sharpe,Path P75 Sharpe,Path P95 Sharpe,Path P50 Max Drawdown,P Sharpe Less Than 0,P Max Drawdown Less Than -0.5,P Default
resampled,full_cost_net,larger E1 capped,0.5871547497312364,-0.0013743420164889556,0.3728420219774833,0.589472056134462,0.8045714081277187,1.176232095149248,-0.6692878271964255,0.051,0.895,0.0
resampled,full_cost_net,larger Equal premium capped,0.4908949861970088,-0.027044974316092943,0.303528486408639,0.4878940999557715,0.6893728120145348,0.9364454198766547,-0.9184942214408278,0.06,1.0,0.0
resampled,full_cost_net,larger Equal risk capped,0.596214811970553,0.06957885241278715,0.3969938070793325,0.5832342199566793,0.8037913394971968,1.0578345645686502,-0.8707285944198061,0.034,0.996,0.0
resampled,full_cost_net,larger GM paper,-1.992023613183772,-3.235695484223926,-2.248432204222236,-2.061748492813515,-1.9201783602341045,-1.7640121492515317,-1.0,1.0,1.0,1.0
resampled,full_cost_net,larger+VIX E1 capped,1.6282919496891228,1.0958190511653803,1.3884720273139362,1.636411548431088,1.8705379401973614,2.268154054881279,-0.39890640419652973,0.0,0.168,0.0
resampled,full_cost_net,larger+VIX Equal premium capped,0.07178896512184892,-0.49365920134000296,-0.14499278147350997,0.07185203697245268,0.2705083959981692,0.5198168596523061,-0.9884920650712816,0.408,1.0,0.0
resampled,full_cost_net,larger+VIX Equal risk capped,0.2928671796810777,-0.28621411643802336,0.05583089575814909,0.29410969057102265,0.5076873957833704,0.7762009508547415,-0.9508364879418756,0.201,0.999,0.0
resampled,full_cost_net,larger+VIX GM paper,-1.8393623493925906,-4.043467698731296,-2.0924622803951825,-1.9112455455213855,-1.8157570331272044,-1.6877129122699668,-1.0,1.0,1.0,1.0
resampled,full_cost_net,orig E1 capped,0.7776672701424103,0.199156096528141,0.5324497116591701,0.7783270134752307,1.0269157027832052,1.3901216606896258,-0.6264281477246758,0.015,0.803,0.0
resampled,full_cost_net,orig Equal premium capped,0.35065614993740657,-0.14002812594919886,0.1492900951197338,0.34323463947624006,0.5550178196645414,0.8172885824520807,-0.9036017328577519,0.115,0.999,0.0
resampled,full_cost_net,orig Equal risk capped,0.36478399712191273,-0.12359916310675383,0.16106754042753968,0.35647874899164445,0.5677925852674888,0.8367724782503952,-0.8828648544591584,0.116,0.999,0.0
resampled,full_cost_net,orig GM paper,-1.446633542092687,-2.2495174655935024,-1.7625077038937809,-1.5511858633926034,-1.3555356761576576,-1.1572507520918038,-1.0,1.0,1.0,0.997
resampled,full_cost_net,orig+VIX E1 capped,1.3831478314520482,0.8729747074033762,1.1578962779470254,1.3766899933872319,1.6209431161087027,1.9861191426206948,-0.4828558610838035,0.0,0.437,0.0
resampled,full_cost_net,orig+VIX Equal premium capped,-0.8900429076095175,-1.569549382547133,-1.156149148204633,-0.9192662790125502,-0.6913159410008647,-0.38720124032693176,-0.9999967335397542,0.999,1.0,0.0
resampled,full_cost_net,orig+VIX Equal risk capped,-1.0162531026696042,-1.7033660370585573,-1.2910931681014235,-1.0375884639775785,-0.8020423080856525,-0.4937719009455813,-0.9999963317262746,1.0,1.0,0.0
resampled,full_cost_net,orig+VIX GM paper,-1.1950670759427482,-1.8163435246779576,-1.4284060737351838,-1.2650829312567424,-1.0976549516968244,-0.9099956088500359,-1.0,1.0,1.0,0.997
resampled,gross,larger E1 capped,0.8468060222361325,0.2819494820828468,0.6343194337532815,0.8445946385009702,1.0752303214895542,1.449335512671921,-0.5757701896105916,0.009,0.694,0.0
resampled,gross,larger Equal premium capped,0.695609655903283,0.20275177673498176,0.5249906510034941,0.6949273794640375,0.8933085315398517,1.1395939923084792,-0.843780385490227,0.019,0.995,0.0
resampled,gross,larger Equal risk capped,0.8277659908882173,0.31161271708312765,0.6440675995800866,0.8194568370626056,1.032516474239364,1.3062796016564462,-0.7858289821054782,0.007,0.981,0.0
resampled,gross,larger GM paper,0.420143563818128,-0.2420949894337322,0.15042010824596075,0.45344197500902084,0.7341304276473877,1.2089759573048715,-0.764902934652129,0.154,0.925,0.0
