strategy,basis,paths,ok_paths,p05_sharpe,p50_sharpe,p95_sharpe,error_paths
larger E1 capped,full_cost_net,200,200,0.5366688308085992,0.7194332287371908,0.8830183342752211,0
larger E1 capped,gross,200,200,0.7325836182054065,0.9057630354631208,1.0873390027108858,0
larger Equal premium capped,full_cost_net,200,200,0.48934202294647905,0.48934202294647905,0.48934202294647905,0
larger Equal premium capped,gross,200,200,0.6957774907646852,0.6957774907646852,0.6957774907646852,0
larger Equal risk capped,full_cost_net,200,200,0.5609959485521809,0.5931061502342125,0.6216820573236463,0
larger Equal risk capped,gross,200,200,0.7965092592343562,0.8251079572126269,0.8481039421177318,0
larger GM paper,full_cost_net,200,200,-3.785622512218434,-2.345763274297288,-1.449873732765328,0
larger GM paper,gross,200,200,-0.12180317959952702,0.3460168891863615,0.8708545745136977,0
larger Stock Markowitz,full_cost_net,200,200,-0.6351971022209075,0.1168179539772213,0.9285311527177743,0
larger Stock Markowitz,gross,200,200,-0.6351971022209075,0.1168179539772213,0.9285311527177743,0
larger+VIX E1 capped,full_cost_net,200,200,1.3603367122089283,1.6441095408397541,2.0998739007457847,0
larger+VIX E1 capped,gross,200,200,1.6834104624683046,2.0090764530034066,2.552447224229898,0
larger+VIX Equal premium capped,full_cost_net,200,200,0.070649659543759,0.070649659543759,0.070649659543759,0
larger+VIX Equal premium capped,gross,200,200,0.3098122210948063,0.3098122210948063,0.3098122210948063,0
larger+VIX Equal risk capped,full_cost_net,200,200,-0.03062996147192034,0.27371683391092083,0.3551568852191215,0
larger+VIX Equal risk capped,gross,200,200,0.24496833465927526,0.5242582122841867,0.6021185020127082,0
larger+VIX GM paper,full_cost_net,200,200,-3.813523253639359,-2.527437222429457,-1.4629105732841379,0
larger+VIX GM paper,gross,200,200,0.23217815614616827,0.768476068206938,1.5528612253741905,0
larger+VIX Stock Markowitz,full_cost_net,200,200,-0.6351971022209075,0.1168179539772213,0.9285311527177743,0
larger+VIX Stock Markowitz,gross,200,200,-0.6351971022209075,0.1168179539772213,0.9285311527177743,0
orig E1 capped,full_cost_net,200,200,0.570443857903392,0.817666503164991,0.9123517100437155,0
orig E1 capped,gross,200,200,0.7226448729680309,0.9923681991603174,1.0911257039129567,0
orig Equal premium capped,full_cost_net,200,200,0.3603984406628363,0.3603984406628363,0.3603984406628363,0
orig Equal premium capped,gross,200,200,0.5401552947517212,0.5401552947517212,0.5401552947517212,0
orig Equal risk capped,full_cost_net,200,200,0.36988745662925243,0.36988745662925243,0.36988745662925243,0
orig Equal risk capped,gross,200,200,0.5538304016019553,0.5538304016019553,0.5538304016019553,0
orig GM paper,full_cost_net,200,200,-1.7614136958908932,-1.3884173270882803,-1.1511512317414714,0
orig GM paper,gross,200,200,0.4286865104881895,0.8086429018418289,1.075695249187173,0
orig+VIX E1 capped,full_cost_net,200,200,1.1776239675595401,1.374583207483529,1.6336215307654094,0
orig+VIX E1 capped,gross,200,200,1.4655008636520694,1.6613230542998378,1.956707839880884,0
orig+VIX Equal premium capped,full_cost_net,200,200,-0.9077030912464754,-0.9077030912464754,-0.9077030912464754,0
orig+VIX Equal premium capped,gross,200,200,-0.65584655751789,-0.65584655751789,-0.65584655751789,0
orig+VIX Equal risk capped,full_cost_net,200,200,-1.2117962829105622,-1.044642169398019,-0.9648555051381217,0
orig+VIX Equal risk capped,gross,200,200,-0.9191322467774274,-0.7648021238202058,-0.6942338607231161,0
orig+VIX GM paper,full_cost_net,200,200,-1.4783840260195642,-1.223084855071137,-0.8462492965401505,0
orig+VIX GM paper,gross,200,200,0.9835039751841385,1.3488173073733742,2.0800956831744783,0
