config,return_date,strategy,display_strategy,train_start,train_end,status,solver_status,capacity_infeasible,deployed_gross,gross_ret,net_ret
orig,2021-04-30,orig E1 capped,E1 capped,2018-02-28,2021-03-31,ok,optimal,True,0.5283024376628713,0.5810084290808023,0.5708513622456893
orig,2021-04-30,orig GM paper,GM paper,2018-02-28,2021-03-31,ok,optimal,False,0.9999999411644449,0.3088928177927368,0.14297195979159344
orig,2021-04-30,orig Equal premium capped,Equal premium capped,2018-02-28,2021-03-31,ok,reference,True,0.6367263374999999,0.6451168402279263,0.6334660324243514
orig,2021-04-30,orig Equal risk capped,Equal risk capped,2018-02-28,2021-03-31,ok,reference,True,0.6367263374999999,0.5999934233712221,0.5884364995043504
orig,2021-11-30,orig E1 capped,E1 capped,2018-09-28,2021-10-29,ok,optimal,False,0.6819454129449511,0.07756420019604202,0.0646671116925938
orig,2021-11-30,orig GM paper,GM paper,2018-09-28,2021-10-29,ok,optimal,False,0.9999998313472976,0.41267478998727836,0.3871590599590186
orig,2021-11-30,orig Equal premium capped,Equal premium capped,2018-09-28,2021-10-29,ok,reference,False,1.0,0.4658042775248,0.44843741145804744
orig,2021-11-30,orig Equal risk capped,Equal risk capped,2018-09-28,2021-10-29,ok,reference,False,0.9999999999999999,0.4736042736890435,0.45634324961052003
orig,2022-06-30,orig E1 capped,E1 capped,2019-04-30,2022-05-31,ok,optimal,False,0.6958911527544447,-0.0679495532889876,-0.08305412040642401
orig,2022-06-30,orig GM paper,GM paper,2019-04-30,2022-05-31,ok,optimal,False,0.9999991420848162,0.16527492578922812,-0.09467308813583866
orig,2022-06-30,orig Equal premium capped,Equal premium capped,2019-04-30,2022-05-31,ok,reference,False,1.0,0.07303155354303748,0.050132101948453
orig,2022-06-30,orig Equal risk capped,Equal risk capped,2019-04-30,2022-05-31,ok,reference,False,0.9999999999999999,0.02155967949662585,0.0011285643503040482
orig,2022-12-30,orig E1 capped,E1 capped,2019-10-31,2022-11-30,ok,infeasible,True,0.0,0.0,0.0
orig,2022-12-30,orig GM paper,GM paper,2019-10-31,2022-11-30,ok,optimal,False,0.9999998565106136,0.06663766408494226,-0.10289346207508324
orig,2022-12-30,orig Equal premium capped,Equal premium capped,2019-10-31,2022-11-30,ok,reference,True,0.36136940749999996,0.003855791253356944,-0.003755331792735906
orig,2022-12-30,orig Equal risk capped,Equal risk capped,2019-10-31,2022-11-30,ok,reference,True,0.3613694075,0.00385579125335693,-0.003646348529378931
orig,2023-06-30,orig E1 capped,E1 capped,2020-04-30,2023-05-31,ok,optimal,True,0.5133522951377512,0.47511682107227937,0.46527191439890075
orig,2023-06-30,orig GM paper,GM paper,2020-04-30,2023-05-31,ok,optimal,False,0.9999969478416171,0.48603555479512417,0.4100541167914225
orig,2023-06-30,orig Equal premium capped,Equal premium capped,2020-04-30,2023-05-31,ok,reference,True,0.5349140775,0.42172846007788223,0.4112056756515118
