method,basis,path_id,strategy,sharpe,sortino,max_drawdown,ann_return,terminal_wealth,defaulted,weight_coverage
joint_garch_block,gross,0,orig E1 capped,0.6997187796932257,4.101848759277881,-0.9956381774240941,0.004030568646914201,1.0203159541767577,False,1.0
joint_garch_block,gross,1,orig E1 capped,-0.08440842332384903,-0.16518104495545152,-0.9957221838103348,-0.5328147896209241,0.02225591374974648,False,1.0
joint_garch_block,gross,2,orig E1 capped,0.7265143793790062,19.197396582471306,-0.7530078962983351,6.345497905098029,21384.84939675511,False,1.0
joint_garch_block,gross,3,orig E1 capped,0.42814822682867115,1.0706454367343212,-0.8919364762789929,-0.1914307660575031,0.345609810619312,False,1.0
joint_garch_block,gross,4,orig E1 capped,0.636263541054876,2.1483365696852035,-0.9360193098572853,0.17370200787442514,2.2273539562101217,False,1.0
joint_garch_block,gross,5,orig E1 capped,1.3995734502504695,4.329026015569855,-0.8184493831798328,2.3864535147638204,445.3747509515407,False,1.0
joint_garch_block,gross,6,orig E1 capped,1.6714065739248072,28.21086363534464,-1.0,-1.0,0.0,True,1.0
joint_garch_block,gross,7,orig E1 capped,0.8523374295875024,2.768554372439663,-0.8487776096451494,0.776513721578826,17.69468482205938,False,1.0
joint_garch_block,gross,8,orig E1 capped,0.8242211920448652,2.6805741500865374,-0.9680952832651015,0.6313209505646058,11.553061060182063,False,1.0
joint_garch_block,gross,9,orig E1 capped,-1.093441209117878,-1.4740587795479219,-0.9999961523258046,-0.8662301264498592,4.2834290991587275e-05,False,1.0
joint_garch_block,gross,10,orig E1 capped,0.43901385441867763,0.8555141341605101,-0.9260665833337803,-0.09406505589326997,0.6102180628002768,False,1.0
joint_garch_block,gross,11,orig E1 capped,-3.0555066645734232,-2.5779296575730255,-0.9999999766083679,-0.964459429072699,5.670508430031494e-08,False,1.0
joint_garch_block,gross,12,orig E1 capped,0.9797365673925632,4.437543008405044,-0.9950850754067782,1.4525772609849597,88.73878680872531,False,1.0
joint_garch_block,gross,13,orig E1 capped,-1.289022329356896,-1.6770184180874974,-0.9998769009128925,-0.8183254346087596,0.00019791132649416387,False,1.0
