config,with_vix,n_underlyings,n_contracts,strategy,gross_sharpe,net_sharpe_noimpact,mean_capacity_cost
orig+VIX,True,9,54,Greek Markowitz,1.3743892124363595,0.6984981127210727,0.0
orig+VIX,True,9,54,Delta neutral,1.4135374941035348,0.6670975699527599,0.0
orig+VIX,True,9,54,Equal premium,-0.029556763365263826,-0.2744921847070167,0.0
orig+VIX,True,9,54,Equal risk,0.08183086586465663,-0.20450213015091373,0.0
larger+VIX,True,57,267,Greek Markowitz,0.7646532722533432,-0.8039053482893895,0.0
larger+VIX,True,57,267,Delta neutral,0.8323717368915384,-0.7578560327849015,0.0
larger+VIX,True,57,267,Equal premium,0.48513564180639357,-0.18018768936159946,0.0
larger+VIX,True,57,267,Equal risk,0.5755618640569028,-0.31668636358052205,0.0
orig,False,8,49,Greek Markowitz,0.8421199757145471,0.5782028760768797,0.0
orig,False,8,49,Delta neutral,0.7813226406905281,0.49975724766494595,0.0
orig,False,8,49,Equal premium,0.26720609586855976,0.11521754097438976,0.0
orig,False,8,49,Equal risk,0.3398774829634941,0.14927911191754312,0.0
larger,False,56,262,Greek Markowitz,0.4562219234084396,-0.9229018754411253,0.0
larger,False,56,262,Delta neutral,0.4320373246287587,-0.9715972622687176,0.0
larger,False,56,262,Equal premium,0.5573332492175173,-0.08851661519093129,0.0
larger,False,56,262,Equal risk,0.6378869106679349,-0.23749439093728003,0.0
