config,Section,Item,Value,Notes,Cost overlay
orig,State Dimension,spot:AAPL,mu=0.019431; omega=0.00113634; alpha=0.0777105; beta=0.748476,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,State Dimension,spot:AMZN,mu=0.0316915; omega=0.00203097; alpha=0; beta=0.704828,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,State Dimension,spot:GOOGL,mu=0.0182634; omega=0.00348159; alpha=0.143728; beta=2.13318e-14,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,State Dimension,spot:JPM,mu=0.0162303; omega=0.00362136; alpha=0.211243; beta=0,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,State Dimension,spot:META,mu=0.0213947; omega=0.00167887; alpha=0.315841; beta=0.392632,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,State Dimension,spot:MSFT,mu=0.0262454; omega=0.000436407; alpha=0.140304; beta=0.728673,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,State Dimension,spot:NVDA,mu=0.049128; omega=0.00330517; alpha=0.0538818; beta=0.712314,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,State Dimension,spot:TSLA,mu=0.0189024; omega=0.000354872; alpha=0.0604221; beta=0.939578,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,State Dimension,iv:AAPL,mu=0.0081573; omega=0.0225031; alpha=0.213579; beta=0.606376,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,State Dimension,iv:AMZN,mu=0.000709312; omega=0.0592597; alpha=0.042638; beta=0.453598,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,State Dimension,iv:GOOGL,mu=-0.00220899; omega=0.0485703; alpha=0.00707529; beta=0.485269,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,State Dimension,iv:JPM,mu=-0.00210938; omega=0.0415749; alpha=0.0733827; beta=0.415499,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
