orig E1 capped,orig GM paper,orig Equal premium capped,orig Equal risk capped
0.061111300440163024,0.12787166305910863,0.0014638199312754282,0.008410847854003827
-0.17047441401685015,0.3199897637728675,-0.3077604184584135,-0.30211417361390036
-0.22810663376388532,-0.30147533030745366,-0.35939758850636605,-0.35340914943071666
0.43154109128525103,-0.17826537064650616,0.7991962248412459,0.7702580485644664
-0.06468433168439908,-0.19761095345621404,-0.021044030815848075,-0.021044030815848186
-0.10578077758160959,-0.06046281626619762,-0.013402997340018277,-0.026141868447592892
-0.17683806068572883,-0.05728020843181316,-0.29239913195037104,-0.2869005509349316
-0.12602444992469733,-0.06101860855345598,-0.31984296837501436,-0.3065780292061119
0.047215329442335974,0.20010704907935334,-0.06156204462939317,-0.06606791454034852
0.39144075782450155,0.8024254537854332,0.5294419922577233,0.49407013512554687
-0.18143625164065688,-0.2660547025379877,-0.2359475427935081,-0.23310573389658762
0.055152431945715175,-0.40967927815504035,0.5482035525499487,0.5482035525499487
0.2571123067261477,-0.45167505017830883,0.11815970480687511,0.1248543616748395
-0.1817438040287282,-0.004521951712724959,-0.3156695515035734,-0.32345811780249506
-0.06211715523245989,-0.28592746035347116,-0.008386200601207955,-0.00838620060120801
0.13143061479435597,0.28555706222594857,0.18344122516724787,0.19707738266724786
-0.12022605253266655,-0.02375389369653716,-0.15194544394099174,-0.15083814476845883
-0.2590779600860236,-0.2322442986907688,-0.3250306123893026,-0.323691797685945
-0.05077503048749851,-0.06805896877330894,-0.11116198458853732,-0.10516038696155902
-0.06308434082712086,0.014139298219825847,-0.114211525171251,-0.11698913686440822
0.13846019484906133,0.11045539237472371,0.09059147157569399,0.0905914715756939
0.08668796256929864,-0.0918613605133322,0.07604070341784278,0.07604070341784272
0.3191083521442132,0.27162630961807943,0.3554653728486965,0.34858784110729163
0.09324185703181351,0.355209015438407,0.04742246305834903,0.04888119577630655
0.2131693684143111,0.7192435409872582,0.24041412558785377,0.24231522077595902
-0.06057514280350555,-0.09591609893950614,-0.1827308052078942,-0.1769889278715971
0.17666197201666556,0.3556897960361477,0.26247847907476357,0.24850422326482943
0.398286361085606,0.5080145525673111,0.40838775339245814,0.4110378211745581
-0.25487486881913024,0.06137530340586273,-0.4376832088290563,-0.4279425737586948
0.48128459887547714,-0.2593451782801725,0.3986442140094284,0.4122803715094283
-0.112008929778289,0.07620558471356355,-0.22177872408716898,-0.20832111519083135
-0.12431469644498713,-0.3127227879931883,-0.2646414238024212,-0.2566664340618726
0.580196362631793,0.6438013090699068,0.9997194589099532,0.9631660177341919
-0.09457415635857981,0.08566554739561104,-0.20267268837130775,-0.183363335374614
0.3443384443658841,0.3645894331893579,0.2097675489942713,0.22387388237610598
0.2879856770145046,0.190579357679783,0.2168250319171387,0.215189396985352
0.2803379007485451,-0.12132812187482439,0.14399172672842772,0.15143268860268072
0.002493070224609449,0.07802779558297422,0.0945755020278153,0.10028214098818874
0.20249683102379795,0.3398064146679629,0.31358422503039535,0.3020280897576439
0.10126188378978325,0.1663365328634267,0.14106394778089515,0.14598031437748693
-0.14962778127055892,-0.15361521614303428,-0.2446734317546588,-0.24467343175465892
0.13606974257921764,0.15451125576336686,0.10482207992926623,0.08913114408891298
-0.025110892383419035,0.2588935985419003,-0.18765174278248212,-0.17302296822035199
0.42877981978824403,0.4625617919112479,0.4772762804382804,0.47861516910477275
0.2983138050849216,0.3754529101148346,0.5866522710239526,0.5778172774453332
0.014185160345733368,0.10586367888803992,-0.13570592235206286,-0.1333132550496644
-0.030479987759498228,-0.16407746719523014,-0.021711127618563614,-0.021711127618563725
-0.012845475412455287,-0.10787697877128181,-0.055984099874514956,-0.05598409987451504
0.7042681468821697,0.998301282982069,0.7280724236981599,0.7217211014449855
-0.08027949859726627,0.04479334051186193,-0.2587085032465206,-0.24277402404970166
-0.038329332144900266,0.16366744997990923,-0.21332282497700067,-0.20001677989094255
-0.1619761190259552,0.008843619309971656,-0.16626116117966216,-0.15954288086264465
0.4787098565315228,0.46064098137410675,0.5553702273537525,0.572432696107791
-0.3188177614623306,-0.2305521856685872,-0.457703571326634,-0.4522765439560414
-0.1079749108106563,-0.1265793479360864,-0.02564537691704913,-0.025645376917049198
-0.15991540981117766,0.00906807578886204,-0.30760627004791524,-0.3036182928726999
-0.007046087808366108,-0.22049201331342344,-0.1091077647910648,-0.10722592347891188
-0.16544277184580322,-0.28334715325588977,-0.13062419688319038,-0.13062419688319044
-0.11154443211500602,-0.21936575890284393,-0.24700800212623664,-0.24136219648304474
0.8848579707507404,0.383053195581976,1.2348664326294811,1.1867336192581917
