config,fold_id,scheme,strategy,display_strategy,basis,status,solver_status,mode,capacity_infeasible,sum_of_caps,deployed_gross,sharpe,sortino,ann_return,ann_vol,max_drawdown,terminal_wealth,defaulted
orig,kfold_00,kfold,orig E1 capped,E1 capped,gross,ok,optimal,hard,True,0.8556262,0.557582922740749,1.0859841750486219,2.8729633845785423,0.9684427930880903,1.044724846659482,-0.5245103907817712,11.322439938496661,False
orig,kfold_00,kfold,orig E1 capped,E1 capped,full_cost_net,ok,optimal,hard,True,0.8556262,0.557582922740749,-0.5144440995664205,-0.5187188712023617,-1.0,7.012090269711011,-1.0,0.0,True
orig,kfold_00,kfold,orig GM paper,GM paper,gross,ok,optimal,uncapped,False,,0.999995793453988,1.0271079295855234,2.5232382496758867,0.7206005974047232,0.8011358342523528,-0.49124098851473996,6.990693293712912,False
orig,kfold_00,kfold,orig GM paper,GM paper,full_cost_net,ok,optimal,uncapped,False,,0.999995793453988,-1.9894402807512563,-1.74074163957065,-1.0,20.076237272005258,-1.0,0.0,True
orig,kfold_00,kfold,orig Equal premium capped,Equal premium capped,gross,ok,reference,relaxed,True,0.8556262,0.8128448899999999,0.6447908993567337,1.4397295997741715,0.08425946342243362,1.5265053527851575,-0.7992664805491849,1.3362694610770856,False
orig,kfold_00,kfold,orig Equal premium capped,Equal premium capped,full_cost_net,ok,reference,relaxed,True,0.8556262,0.8128448899999999,-0.7987009276531651,-0.7967494632393842,-1.0,7.268093735392168,-1.0,0.0,True
orig,kfold_00,kfold,orig Equal risk capped,Equal risk capped,gross,ok,reference,relaxed,True,0.8556262,0.81284489,0.6955835939913391,1.5709727174894788,0.15106153179037562,1.5637958376030159,-0.7829095858621233,1.6555276382910844,False
orig,kfold_00,kfold,orig Equal risk capped,Equal risk capped,full_cost_net,ok,reference,relaxed,True,0.8556262,0.81284489,-0.7788038933714816,-0.778579243152775,-1.0,7.278537087757265,-1.0,0.0,True
orig,kfold_01,kfold,orig E1 capped,E1 capped,gross,ok,optimal,hard,True,0.8482452500000001,0.5531990029782134,0.7365961551220728,1.692159637497382,0.3654208867093558,1.0721579187125196,-0.7529598543120898,3.052847487344576,False
orig,kfold_01,kfold,orig E1 capped,E1 capped,full_cost_net,ok,optimal,hard,True,0.8482452500000001,0.5531990029782134,0.5545617620158532,1.1781568644687754,0.12068196154581323,1.060425171585074,-0.8128515902196085,1.5042217618633837,False
