Strategy,Return basis,path_id,method,n_source_obs,status,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,defaulted,block_length
orig Equal premium capped,Gross before costs,0,circular_block_bootstrap,60,ok,60,1.8687552392841322,1.338517198919047,1.3455775991098742,3.636327170827576,-0.5677479887249754,0.2667973735352208,0.3537043929303478,194.29761972139914,False,6
orig Equal premium capped,Gross before costs,1,circular_block_bootstrap,60,ok,60,-0.4348147342796759,1.3158984456866964,0.13358700061292564,0.2446641969073782,-0.9750340313578005,0.4376832088290563,0.44569135382808744,0.05767055842601374,False,6
orig Equal premium capped,Gross before costs,2,circular_block_bootstrap,60,ok,60,-0.4416069233184715,1.2624176081466827,0.07334626578630592,0.13487100224332063,-0.9506631927214253,0.36331186952250055,0.45103011716077474,0.054287535319578,False,6
orig Equal premium capped,Gross before costs,3,circular_block_bootstrap,60,ok,60,0.16889856538458647,1.1202469648259727,0.6151810577369065,1.2790006006111203,-0.8858053829144621,0.31613760454785983,0.3740371365749083,2.18214762632443,False,6
orig Equal premium capped,Gross before costs,4,circular_block_bootstrap,60,ok,60,0.05425865527687779,1.1767912503401716,0.5649293064774912,1.097428989081536,-0.7780139285406418,0.33066324221129023,0.45103011716077474,1.3023744748246586,False,6
orig Equal premium capped,Gross before costs,5,circular_block_bootstrap,60,ok,60,0.4981685315937938,1.4990730043901523,0.8207943248463956,2.21483736759804,-0.7993255670899366,0.3081558751106715,0.34482157617210185,7.547504024661758,False,6
orig Equal premium capped,Gross before costs,6,circular_block_bootstrap,60,ok,60,0.4107486951526824,1.212617313333769,0.8012510191304929,1.7277684344983215,-0.9217717764466818,0.3218206993815819,0.39216624944645534,5.587895635465947,False,6
orig Equal premium capped,Gross before costs,7,circular_block_bootstrap,60,ok,60,-0.06365404044909306,0.8101040154232869,0.30053868612050316,0.49699642878594286,-0.7993839041115464,0.3250306123893026,0.3250306123893026,0.7197500504094151,False,6
orig Equal premium capped,Gross before costs,8,circular_block_bootstrap,60,ok,60,0.39980453024936513,0.954051112447984,0.7765203834978572,1.5459677364085542,-0.8253955960523065,0.31613760454785983,0.3692549320350797,5.374486465322569,False,6
orig Equal premium capped,Gross before costs,9,circular_block_bootstrap,60,ok,60,-0.6225481637136547,1.1554432083490105,-0.3359214817779191,-0.5690034233560801,-0.9933527714340364,0.35939758850636605,0.4085505799165,0.007661392508374072,False,6
orig Equal premium capped,Gross before costs,10,circular_block_bootstrap,60,ok,60,-0.39820438906584055,1.2829965228478803,0.14823672450403705,0.27648078955916133,-0.9561301096673147,0.4386842269539352,0.457703571326634,0.07893054107076675,False,6
orig Equal premium capped,Gross before costs,11,circular_block_bootstrap,60,ok,60,0.026066464362229924,1.312870397338709,0.4900919239319185,1.2235140702802472,-0.8841149461961825,0.30800943412069814,0.32191025876072615,1.1373063591677948,False,6
orig Equal premium capped,Gross before costs,12,circular_block_bootstrap,60,ok,60,-0.44216939797482224,0.9177980605717367,-0.1661162413561468,-0.24390965907427553,-0.9910547963182569,0.4386842269539352,0.457703571326634,0.05401466385269771,False,6
orig Equal premium capped,Gross before costs,13,circular_block_bootstrap,60,ok,60,0.22265007473449838,1.2100207479629683,0.659593234639254,1.481787401051962,-0.7816252311159007,0.3156695515035734,0.32764491497213183,2.7321899763580135,False,6
orig Equal premium capped,Gross before costs,14,circular_block_bootstrap,60,ok,60,-0.026668760498699817,1.2403330477207557,0.48575774991831183,0.9920179536000507,-0.8040650135731694,0.32674896119515573,0.38549279528059616,0.8735812667695094,False,6
orig Equal premium capped,Gross before costs,15,circular_block_bootstrap,60,ok,60,-0.2964276303817154,1.2941821239492022,0.2420908915301083,0.497264733123569,-0.9538654401655214,0.3201023505757288,0.4068057975149976,0.17240262674682105,False,6
orig Equal premium capped,Gross before costs,16,circular_block_bootstrap,60,ok,60,-0.3355535583996706,1.0833735950230063,0.09248830310901267,0.1639985278707892,-0.944715028443851,0.3201023505757288,0.34794192980067823,0.12950898498498187,False,6
orig Equal premium capped,Gross before costs,17,circular_block_bootstrap,60,ok,60,0.9457336434227286,1.2111273859451244,1.087914986886921,2.4264496814190335,-0.5637795067993396,0.31587822234714547,0.398403128677709,27.887972496408572,False,6
orig Equal premium capped,Gross before costs,18,circular_block_bootstrap,60,ok,60,-0.2053252001867415,1.4044505314865445,0.4070076238581542,0.8331345948734044,-0.9445337330052451,0.4376832088290563,0.44569135382808744,0.31691821847721713,False,6
orig Equal premium capped,Gross before costs,19,circular_block_bootstrap,60,ok,60,0.026032514774938287,1.1906856263842753,0.5135628007852546,1.0412082451013864,-0.9191240169550323,0.35939758850636605,0.4085505799165,1.1371182206412755,False,6
