fold_id,scheme,strategy,basis,is_sharpe,oos_sharpe,status
kfold_06,kfold,Equal risk,gross,0.6514512119407111,-1.4930965253593609,ok
kfold_06,kfold,VIX hedge sleeve,gross,-0.31840037961661266,-5.817308555635695,ok
kfold_07,kfold,Equity-option Greek Markowitz,gross,1.9895069467877937,-0.7269202013809899,ok
kfold_07,kfold,Greek Markowitz + VIX,gross,1.4842106921884093,-0.04501603795860449,ok
kfold_07,kfold,Beta/delta-neutral + VIX,gross,1.299832462347022,1.1303414072582654,ok
kfold_07,kfold,Equal premium,gross,0.32077308200426446,-0.15638569416302295,ok
kfold_07,kfold,Equal risk,gross,0.6525278079053661,-0.3607500785995585,ok
kfold_07,kfold,VIX hedge sleeve,gross,-0.3340649841421922,-4.696155328595746,ok
kfold_08,kfold,Equity-option Greek Markowitz,gross,1.7243724377337655,1.5273344775048452,ok
kfold_08,kfold,Greek Markowitz + VIX,gross,1.2413003536101834,1.2505896481539724,ok
kfold_08,kfold,Beta/delta-neutral + VIX,gross,1.187676742884544,1.6032544953735743,ok
kfold_08,kfold,Equal premium,gross,0.24096025535749066,0.9648671520519131,ok
kfold_08,kfold,Equal risk,gross,0.4570614659039181,1.1876224757177716,ok
kfold_08,kfold,VIX hedge sleeve,gross,-0.3039484185023677,-20.27825619918045,ok
kfold_09,kfold,Equity-option Greek Markowitz,gross,1.6200297138987971,2.487356239438947,ok
kfold_09,kfold,Greek Markowitz + VIX,gross,1.052872134244847,3.7777711557791047,ok
kfold_09,kfold,Beta/delta-neutral + VIX,gross,1.0526340766309723,2.8589687490748705,ok
kfold_09,kfold,Equal premium,gross,0.2009976040035494,0.6481801473599087,ok
kfold_09,kfold,Equal risk,gross,0.368728680712919,1.2966468592391691,ok
kfold_09,kfold,VIX hedge sleeve,gross,-0.3361026634234372,-19.890325644024923,ok
kfold_10,kfold,Equity-option Greek Markowitz,gross,1.5978734238497405,1.5290283288049724,ok
kfold_10,kfold,Greek Markowitz + VIX,gross,1.1500100364854762,1.998990369032506,ok
kfold_10,kfold,Beta/delta-neutral + VIX,gross,1.0963227982827901,2.2882608193492886,ok
kfold_10,kfold,Equal premium,gross,0.3151366051245014,-0.120661380387779,ok
kfold_10,kfold,Equal risk,gross,0.5289166432344686,0.02557462172945866,ok
kfold_10,kfold,VIX hedge sleeve,gross,-0.3366518806894758,-4.357936208441055,ok
kfold_11,kfold,Equity-option Greek Markowitz,gross,1.8484337222872516,-0.19345384266839025,ok
kfold_11,kfold,Greek Markowitz + VIX,gross,1.7234430454439247,0.3411203109223504,ok
kfold_11,kfold,Beta/delta-neutral + VIX,gross,1.4774116983879153,0.67314609697801,ok
kfold_11,kfold,Equal premium,gross,0.3461903378230406,-0.5613398224208995,ok
kfold_11,kfold,Equal risk,gross,0.47415490342517247,-0.6246907086223044,ok
kfold_11,kfold,VIX hedge sleeve,gross,-0.34685083194817257,-5.396063819869177,ok
cpcv_00_01,cpcv,Equity-option Greek Markowitz,gross,1.8346524801045287,0.17778573086771174,ok
cpcv_00_01,cpcv,Greek Markowitz + VIX,gross,1.5743502625046395,-1.6431724035040038,ok
cpcv_00_01,cpcv,Beta/delta-neutral + VIX,gross,1.3652712376659915,-1.1856232907358604,ok
cpcv_00_01,cpcv,Equal premium,gross,0.22511230840122495,0.22174351029834535,ok
cpcv_00_01,cpcv,Equal risk,gross,0.40976610825297033,0.32949897684364576,ok
cpcv_00_01,cpcv,VIX hedge sleeve,gross,-0.32571085875545763,-2.0141190042854182,ok
cpcv_00_02,cpcv,Equity-option Greek Markowitz,gross,1.6658104987521922,1.6763425116373984,ok
cpcv_00_02,cpcv,Greek Markowitz + VIX,gross,1.1977692936989155,0.7819900382395526,ok
cpcv_00_02,cpcv,Beta/delta-neutral + VIX,gross,1.086695457246924,0.504094037025384,ok
cpcv_00_02,cpcv,Equal premium,gross,0.287502049773675,-0.3766628610214268,ok
cpcv_00_02,cpcv,Equal risk,gross,0.4644302709501029,0.16022942153149364,ok
cpcv_00_02,cpcv,VIX hedge sleeve,gross,-0.3473699359695286,-3.827754064718735,ok
cpcv_00_03,cpcv,Equity-option Greek Markowitz,gross,2.2054915821787047,-0.8279513616294916,ok
cpcv_00_03,cpcv,Greek Markowitz + VIX,gross,1.4111119960291676,-0.6724852234280425,ok
cpcv_00_03,cpcv,Beta/delta-neutral + VIX,gross,1.3387376814308916,-0.8050752999589589,ok
cpcv_00_03,cpcv,Equal premium,gross,0.11136708205163101,0.15317351120847986,ok
cpcv_00_03,cpcv,Equal risk,gross,0.35670731748700896,0.46211853780024675,ok
cpcv_00_03,cpcv,VIX hedge sleeve,gross,-0.4402398302502753,-0.989169403754538,ok
cpcv_00_04,cpcv,Equity-option Greek Markowitz,gross,1.8424457019798128,0.11177082281586306,ok
cpcv_00_04,cpcv,Greek Markowitz + VIX,gross,1.381974434122308,-0.3839332909539934,ok
cpcv_00_04,cpcv,Beta/delta-neutral + VIX,gross,1.2143062798408353,-0.1449049893491619,ok
cpcv_00_04,cpcv,Equal premium,gross,0.10528326684856336,0.05468928594686121,ok
cpcv_00_04,cpcv,Equal risk,gross,0.37281508213377806,0.3326266830740647,ok
cpcv_00_04,cpcv,VIX hedge sleeve,gross,-0.32074384876523737,-1.8791768488954608,ok
cpcv_00_05,cpcv,Equity-option Greek Markowitz,gross,1.848531234477049,1.8650743448463258,ok
cpcv_00_05,cpcv,Greek Markowitz + VIX,gross,1.5977618607506716,0.32953335181901694,ok
cpcv_00_05,cpcv,Beta/delta-neutral + VIX,gross,1.634340184853715,0.20863098891477255,ok
cpcv_00_05,cpcv,Equal premium,gross,-0.04097036472511428,1.154925431775819,ok
cpcv_00_05,cpcv,Equal risk,gross,0.10999275244897685,1.3681784007348718,ok
cpcv_00_05,cpcv,VIX hedge sleeve,gross,-2.2411093706847884,0.318873463598574,ok
cpcv_00_06,cpcv,Equity-option Greek Markowitz,gross,1.9254894398091227,0.6723479538232929,ok
cpcv_00_06,cpcv,Greek Markowitz + VIX,gross,1.2449911128274975,0.4187176590177481,ok
cpcv_00_06,cpcv,Beta/delta-neutral + VIX,gross,1.1402672655803177,0.31800762163491986,ok
cpcv_00_06,cpcv,Equal premium,gross,0.31012942296283813,-0.6928860333649672,ok
cpcv_00_06,cpcv,Equal risk,gross,0.6322313007895021,-0.6382757279115511,ok
cpcv_00_06,cpcv,VIX hedge sleeve,gross,-0.27400191609387187,-6.330150040619492,ok
cpcv_00_07,cpcv,Equity-option Greek Markowitz,gross,2.256957993849526,-0.5326473861559706,ok
cpcv_00_07,cpcv,Greek Markowitz + VIX,gross,1.4317447695387386,-0.04121676436481295,ok
cpcv_00_07,cpcv,Beta/delta-neutral + VIX,gross,1.128993610286573,0.5217601128765733,ok
cpcv_00_07,cpcv,Equal premium,gross,0.2884320772826192,-0.14531393959931052,ok
cpcv_00_07,cpcv,Equal risk,gross,0.6435554850909486,-0.0895659158827671,ok
cpcv_00_07,cpcv,VIX hedge sleeve,gross,-0.29073827828201226,-5.637078127158921,ok
cpcv_00_08,cpcv,Equity-option Greek Markowitz,gross,1.953110991907969,0.24002540292003852,ok
cpcv_00_08,cpcv,Greek Markowitz + VIX,gross,1.2993593239267147,0.17773371312928746,ok
cpcv_00_08,cpcv,Beta/delta-neutral + VIX,gross,1.126738766160178,0.34428960335443115,ok
cpcv_00_08,cpcv,Equal premium,gross,0.19646941915960345,0.35473174077119657,ok
cpcv_00_08,cpcv,Equal risk,gross,0.4228079623726217,0.6332886612010562,ok
cpcv_00_08,cpcv,VIX hedge sleeve,gross,-0.2585951634653419,-9.522823384314666,ok
cpcv_00_09,cpcv,Equity-option Greek Markowitz,gross,1.8548534097304383,1.189708676895625,ok
cpcv_00_09,cpcv,Greek Markowitz + VIX,gross,1.0762626855321924,1.059585327044492,ok
cpcv_00_09,cpcv,Beta/delta-neutral + VIX,gross,0.9851622711229718,0.8051273046143046,ok
cpcv_00_09,cpcv,Equal premium,gross,0.1495420668007261,0.2535533072761958,ok
cpcv_00_09,cpcv,Equal risk,gross,0.32655343403848786,0.6669588812209436,ok
cpcv_00_09,cpcv,VIX hedge sleeve,gross,-0.29303718461304457,-9.258161628997044,ok
cpcv_00_10,cpcv,Equity-option Greek Markowitz,gross,1.7919173216242208,0.5408452251032819,ok
cpcv_00_10,cpcv,Greek Markowitz + VIX,gross,1.155962310389294,0.4264869591485167,ok
cpcv_00_10,cpcv,Beta/delta-neutral + VIX,gross,1.0085798251634814,0.3323611589800496,ok
cpcv_00_10,cpcv,Equal premium,gross,0.282748779756344,-0.12634906308269195,ok
cpcv_00_10,cpcv,Equal risk,gross,0.49685124719313245,0.08957052713724975,ok
cpcv_00_10,cpcv,VIX hedge sleeve,gross,-0.29361747410255307,-5.454074288634071,ok
cpcv_00_11,cpcv,Equity-option Greek Markowitz,gross,1.9931631597770174,0.24200753465002459,ok
cpcv_00_11,cpcv,Greek Markowitz + VIX,gross,1.57817020320059,0.25076966709137416,ok
cpcv_00_11,cpcv,Beta/delta-neutral + VIX,gross,1.3471362194783043,0.41802743949413024,ok
cpcv_00_11,cpcv,Equal premium,gross,0.3186188776286603,-0.37259797284607876,ok
cpcv_00_11,cpcv,Equal risk,gross,0.4186429823383899,-0.44625395094667347,ok
cpcv_00_11,cpcv,VIX hedge sleeve,gross,-0.30474894677256753,-6.1351278101084,ok
cpcv_01_02,cpcv,Equity-option Greek Markowitz,gross,1.5516907697401974,1.3296873104785147,ok
cpcv_01_02,cpcv,Greek Markowitz + VIX,gross,1.462339637630313,-0.352580728034069,ok
cpcv_01_02,cpcv,Beta/delta-neutral + VIX,gross,1.3653705032238406,-0.3361720031706298,ok
cpcv_01_02,cpcv,Equal premium,gross,0.31885473596050357,0.0947294475260641,ok
cpcv_01_02,cpcv,Equal risk,gross,0.5008747642981528,0.2528701673326255,ok
cpcv_01_02,cpcv,VIX hedge sleeve,gross,-0.3991377730996575,-1.064485086490743,ok
cpcv_01_03,cpcv,Equity-option Greek Markowitz,gross,1.913474175279182,-0.10399615091987113,ok
cpcv_01_03,cpcv,Greek Markowitz + VIX,gross,1.6064629083893236,-1.0763774035787057,ok
cpcv_01_03,cpcv,Beta/delta-neutral + VIX,gross,1.6087240386905157,-1.649855721981999,ok
cpcv_01_03,cpcv,Equal premium,gross,0.12387371782188786,0.4199069313742941,ok
cpcv_01_03,cpcv,Equal risk,gross,0.3715423451245236,0.5126261241315159,ok
cpcv_01_03,cpcv,VIX hedge sleeve,gross,-0.4689115166401011,-0.19489878074712147,ok
cpcv_01_04,cpcv,Equity-option Greek Markowitz,gross,1.6114007819934641,0.29410348708442313,ok
cpcv_01_04,cpcv,Greek Markowitz + VIX,gross,1.6287583683603253,-1.8257995213812348,ok
