snap_date,Equity-option Greek Markowitz,Greek Markowitz + VIX,Beta/delta-neutral + VIX,Cost-aware Sortino + VIX,Equal premium,Equal risk,VIX hedge sleeve,Delta-matched equities,Underlying Markowitz
2021-01-29,0.05339553326503181,0.12992019201038418,0.1505022346705296,-5.504711736334178,-0.2733279663373759,-0.09467869356104514,-1.1896909151020014,0.1009655757065002,0.016536412081203312
2021-02-26,0.23311458399154134,0.0796634130694191,0.009577160896404147,-0.0703774309132184,-0.27059244902839846,-0.16919472537981572,-1.1579346759945173,0.03388425856026585,-0.02135359572424806
2021-03-31,-0.5456648003114453,-0.5220191574470124,-0.500160219659038,-1.2774873424460094,-0.5036394719046388,-0.3329316374323825,-1.1592251171924108,0.005929591497516443,-0.002216310783409705
2021-04-30,-1.5344917815377637,-1.3838307023643082,-0.8687239158210012,-3.112118662825189,1.097201074834918,0.27941495096158636,-1.1829352117789176,0.27820447747415966,0.051782279280063834
2021-06-30,-0.7119148340438011,-0.3312335726838009,-0.4381774455690061,-33.64181418850886,-1.0493053907696976,-0.19921798543883495,0.40313022647982033,0.2810360736608283,0.07267412232724883
2021-07-30,-0.1536025332541089,0.018641900684645676,-0.03783987380868496,-2.1732087688660986,-0.4189033286813751,-0.24941647600302164,-1.0044069326068412,0.008115112841523055,-0.007788996654510962
2021-08-31,-0.1333316985110737,-0.08757415918573955,-0.1700639941835867,-0.6663397942217943,-0.42421158214078986,-0.3232651533825158,-1.2387290923703662,0.26219748470637866,0.048209042490499815
2021-09-30,-0.38408011164977535,-0.2033390521484917,-0.2290577083304699,-6.850628539919443,-0.7281092681645303,-0.45316984595545773,-2.0416845414697757,-0.0931361603959332,-0.02643036276158759
2021-10-29,0.15228154443576758,-0.13491768041954047,-0.09061518923247641,-5.317034525460433,-0.3225633726543035,-0.10620386002471205,-1.1639606281598178,0.6003603113616511,0.12799295351717066
2021-11-30,0.6571199610377358,0.5938761658715415,0.5966420488419677,-53.75688185747675,-0.29217780728791654,0.17665871632368862,-1.2928727983385897,0.21526577369931268,0.059955003335338174
2021-12-31,-0.3508423457177357,-0.3672962909483918,-0.3382448639741189,-1.2678750453561618,-0.45577100285420963,-0.3028084521459539,-1.1588498177642286,-0.13497107526663427,-0.03759404383828427
2022-01-31,-0.5849727551658279,-0.2900897927957437,0.006311408515287276,-0.15159317831598504,1.4647637257313575,1.0228938448983333,-0.6141923252018062,-0.34407108731226865,-0.07323315218759721
2022-02-28,-2.260616011144107,-1.2909071694370546,-0.9015460527604688,-1.1565953180388746,-0.23399680415349072,-0.01996870712183621,-1.1366691517083796,-0.08644425749364006,-0.01780483976461531
2022-04-29,-1.6291607415446259,-1.5625639848020099,-0.6982079735567004,-0.4711857285463571,-0.7056427723073329,-0.6369512177740142,-0.908974473068008,-0.4540048150966957,-0.07073521117728576
2022-05-31,-2.2626323622611193,-2.51571491977815,-1.2695871310309992,-9.392954023450642,-0.1431152316739096,-0.20930768904294877,-1.165496484392274,-0.04496408365889149,-0.02517719412521042
2022-06-30,-0.1280952605779036,0.172594959633602,0.4303667884221857,-0.11621414122551244,0.40466659658975945,0.3404324514625291,-0.08638447499394669,-0.41020975165705365,-0.06879241413215381
2022-07-29,-0.5091355586099787,-0.5608378177425933,-0.3257265195586851,-3.1646838449070858,-0.60601285117832,-0.4144705862330659,-1.3809626093761145,0.5910706022007024,0.11840602486336085
2022-08-31,-0.6850330293355065,-0.30889236141946375,-0.558066992333762,-2.609833745241409,-0.5834923104929061,-0.4836928029067312,0.0,-0.26707081261557386,-0.05823248163653405
2022-09-30,-2.3232218907627837,-1.6371195035569814,-1.0073739147735172,-0.5522568306688116,-0.391715833156712,-0.368640523409886,-1.315584162606585,-0.3700192669057595,-0.06879711942758121
2022-10-31,-1.46457053377639,-1.094789178800275,-0.6907877781010074,-1.2033861500798215,-0.25269137366121697,-0.2987834120607477,-1.1740787541649174,0.07015383844276257,-0.0377000019533728
