Strategy,Return basis,path_id,method,n_source_obs,status,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,block_length
Greek Markowitz + VIX,Gross before costs,0,circular_block_bootstrap,60,ok,60,4.3176657007432855,0.8630223364044418,2.4422331467384204,8.257328988218122,-0.3663275396469575,0.16864114242820405,0.2202279009852136,4252.116530083666,6
Greek Markowitz + VIX,Gross before costs,1,circular_block_bootstrap,60,ok,60,0.590351815926424,0.87959930810401,0.901661222261244,2.28590950584812,-0.5903496235332208,0.1991249629666375,0.28870335019592197,10.173398243712349,6
Greek Markowitz + VIX,Gross before costs,2,circular_block_bootstrap,60,ok,60,0.5751476382697989,0.9050863153890988,0.8945465258356647,2.0889023268525,-0.7049550504265178,0.28870335019592197,0.3113427014520999,9.696306427676276,6
Greek Markowitz + VIX,Gross before costs,3,circular_block_bootstrap,60,ok,60,1.3994908594488802,0.8951683068001136,1.4255042433773804,3.1006499953614597,-0.6853634350336639,0.33581545208035646,0.3706500401498496,79.54181551979418,6
Greek Markowitz + VIX,Gross before costs,4,circular_block_bootstrap,60,ok,60,1.92308444384815,0.9319296838835127,1.605385662760108,4.2481258628044385,-0.5518983709964469,0.20226611850032603,0.3160189135138978,213.4060898650105,6
Greek Markowitz + VIX,Gross before costs,5,circular_block_bootstrap,60,ok,60,1.8895619137141981,0.9613201878790838,1.5622183910307015,4.116536022216041,-0.5323525165311637,0.20226611850032603,0.3188891518708259,201.44663717920355,6
Greek Markowitz + VIX,Gross before costs,6,circular_block_bootstrap,60,ok,60,1.950102898597132,0.9993868491261018,1.5550689914356473,4.237358188895346,-0.8340299949118966,0.20226611850032603,0.3188891518708259,223.45281051356207,6
Greek Markowitz + VIX,Gross before costs,7,circular_block_bootstrap,60,ok,60,2.1139238422021145,0.8306214611911564,1.8203696313797488,4.159372344644158,-0.4659621756893282,0.18956080001134984,0.3706500401498496,292.7790071577567,6
Greek Markowitz + VIX,Gross before costs,8,circular_block_bootstrap,60,ok,60,2.6400610025255746,0.9047774066442372,1.8965514713799503,5.3066588637580905,-0.4026531798790809,0.18074881355421746,0.25425904722446613,639.0624639235585,6
Greek Markowitz + VIX,Gross before costs,9,circular_block_bootstrap,60,ok,60,-0.17937599954513128,0.7345208854767793,0.06426442297806965,0.10929850442760793,-0.8601381296585182,0.29096728532153976,0.34620471518880175,0.3721526126516336,6
Greek Markowitz + VIX,Gross before costs,10,circular_block_bootstrap,60,ok,60,0.35517143697466214,0.8228907557597046,0.7259452327704322,1.6617922749237066,-0.6997500853696491,0.1944103110072015,0.23847024329286354,4.570578760874528,6
Greek Markowitz + VIX,Gross before costs,11,circular_block_bootstrap,60,ok,60,0.525072088006018,0.8134707613815132,0.8851049864166596,1.92362637048477,-0.5831603739867681,0.1944103110072015,0.23031955273756027,8.249960387573466,6
Greek Markowitz + VIX,Gross before costs,12,circular_block_bootstrap,60,ok,60,0.3748879392078803,0.8066927133476909,0.759130371457137,1.5813176086471687,-0.7437214556010565,0.1944103110072015,0.26490620266426074,4.912884015317236,6
Greek Markowitz + VIX,Gross before costs,13,circular_block_bootstrap,60,ok,60,1.5075045978717,0.9795053793548839,1.3852820000134252,3.6466255922284203,-0.6078235699724599,0.28870335019592197,0.3205096983124929,99.13081806926347,6
Greek Markowitz + VIX,Gross before costs,14,circular_block_bootstrap,60,ok,60,0.9241128044416007,0.8984220745458421,1.1627377018375193,2.4008045466422785,-0.5556850387035764,0.33581545208035646,0.3706500401498496,26.37258183099069,6
Greek Markowitz + VIX,Gross before costs,15,circular_block_bootstrap,60,ok,60,0.15160381987671423,0.8428993676802303,0.5396818338951568,1.0758874905525577,-0.8162525890184699,0.28870335019592197,0.3296766951728858,2.0254218175654746,6
Greek Markowitz + VIX,Gross before costs,16,circular_block_bootstrap,60,ok,60,0.7223128877470841,0.8261487305293184,1.0462499791474558,2.1939369839149903,-0.551898370996447,0.33398205270827785,0.3523160464290638,15.155150611112784,6
Greek Markowitz + VIX,Gross before costs,17,circular_block_bootstrap,60,ok,60,2.592536908496817,0.9789076147552417,1.7993490518267337,4.928281329209964,-0.5794109298705117,0.28870335019592197,0.3296766951728858,598.4201285700761,6
Greek Markowitz + VIX,Gross before costs,18,circular_block_bootstrap,60,ok,60,0.9883082724407564,0.8163718028246408,1.215664033297021,3.0337543901759907,-0.656432799911875,0.17527089968156306,0.2409342249075603,31.075533772640576,6
Greek Markowitz + VIX,Gross before costs,19,circular_block_bootstrap,60,ok,60,1.1565978734314926,0.893584751517897,1.2784659838138133,3.05231487824674,-0.615557010998296,0.19457563498265878,0.288560298644301,46.64937861029309,6
