return_date,strategy,scenario,asset_id,reject_reason,foregone_gross_return_nav
2021-01-29,Equity-option Greek Markowitz,mid_repaired,AMZN_put_put_wing,missing_cost_input,0.0
2021-01-29,Equity-option Greek Markowitz,mid_repaired,GOOGL_call_put_near,missing_cost_input,0.0
2021-01-29,Equity-option Greek Markowitz,mid_repaired,JPM_call_put_near,capacity_exceeded_no_fill,0.15192439864461485
2021-01-29,Equity-option Greek Markowitz,mid_repaired,META_call_put_wing,deep_itm_low_extrinsic_short_option,0.047761698879330954
2021-02-26,Equity-option Greek Markowitz,mid_repaired,GOOGL_call_put_near,missing_cost_input,0.0
2021-02-26,Equity-option Greek Markowitz,mid_repaired,JPM_put_atm,capacity_exceeded_no_fill,-0.0696959661652781
2021-02-26,Equity-option Greek Markowitz,mid_repaired,META_call_put_wing,capacity_exceeded_no_fill,-0.008352248514270638
2021-02-26,Equity-option Greek Markowitz,mid_repaired,NVDA_call_put_wing,missing_cost_input,0.0
2021-03-31,Equity-option Greek Markowitz,mid_repaired,GOOGL_call_put_near,missing_cost_input,0.0
2021-03-31,Equity-option Greek Markowitz,mid_repaired,JPM_call_put_near,capacity_exceeded_no_fill,0.04169823002926117
2021-03-31,Equity-option Greek Markowitz,mid_repaired,META_call_put_wing,capacity_exceeded_no_fill,-0.07441611270937928
2021-03-31,Equity-option Greek Markowitz,mid_repaired,META_put_call_near,capacity_exceeded_no_fill,-0.06588883865708997
2021-03-31,Equity-option Greek Markowitz,mid_repaired,NVDA_call_put_wing,missing_cost_input,0.0
2021-04-30,Equity-option Greek Markowitz,mid_repaired,GOOGL_call_put_near,deep_itm_low_extrinsic_short_option,-0.03488868969377123
2021-04-30,Equity-option Greek Markowitz,mid_repaired,JPM_call_put_near,capacity_exceeded_no_fill,-0.0012936166213228465
2021-04-30,Equity-option Greek Markowitz,mid_repaired,JPM_put_atm,capacity_exceeded_no_fill,-0.0696959661652781
2021-04-30,Equity-option Greek Markowitz,mid_repaired,META_call_put_wing,missing_cost_input,0.0
2021-04-30,Equity-option Greek Markowitz,mid_repaired,MSFT_call_put_near,missing_cost_input,0.0
2021-04-30,Equity-option Greek Markowitz,mid_repaired,NVDA_call_put_near,missing_cost_input,0.0
2021-04-30,Equity-option Greek Markowitz,mid_repaired,NVDA_call_put_wing,missing_cost_input,0.0
2021-06-30,Equity-option Greek Markowitz,mid_repaired,GOOGL_call_put_near,missing_cost_input,0.0
2021-06-30,Equity-option Greek Markowitz,mid_repaired,JPM_call_put_near,missing_cost_input,0.0
2021-06-30,Equity-option Greek Markowitz,mid_repaired,JPM_put_atm,capacity_exceeded_no_fill,-0.0696959661652781
2021-06-30,Equity-option Greek Markowitz,mid_repaired,META_call_put_wing,missing_cost_input,0.0
2021-06-30,Equity-option Greek Markowitz,mid_repaired,MSFT_call_put_near,capacity_exceeded_no_fill,-0.030866152864598945
2021-06-30,Equity-option Greek Markowitz,mid_repaired,NVDA_call_put_wing,missing_cost_input,0.0
2021-07-30,Equity-option Greek Markowitz,mid_repaired,AAPL_call_call_near,missing_cost_input,0.0
2021-07-30,Equity-option Greek Markowitz,mid_repaired,GOOGL_call_put_near,missing_cost_input,0.0
2021-07-30,Equity-option Greek Markowitz,mid_repaired,GOOGL_put_put_near,missing_cost_input,0.0
2021-07-30,Equity-option Greek Markowitz,mid_repaired,JPM_call_put_near,capacity_exceeded_no_fill,-0.06672331723405354
2021-07-30,Equity-option Greek Markowitz,mid_repaired,META_call_put_wing,missing_cost_input,0.0
2021-07-30,Equity-option Greek Markowitz,mid_repaired,MSFT_call_call_near,capacity_exceeded_no_fill,-0.0019918425749805707
2021-08-31,Equity-option Greek Markowitz,mid_repaired,JPM_call_put_near,missing_cost_input,0.0
2021-08-31,Equity-option Greek Markowitz,mid_repaired,META_call_put_wing,capacity_exceeded_no_fill,-0.00971648096676311
2021-09-30,Equity-option Greek Markowitz,mid_repaired,GOOGL_call_put_near,missing_cost_input,0.0
2021-09-30,Equity-option Greek Markowitz,mid_repaired,JPM_call_put_near,capacity_exceeded_no_fill,-0.017416175461304834
2021-09-30,Equity-option Greek Markowitz,mid_repaired,JPM_put_atm,capacity_exceeded_no_fill,-0.009808872842334627
2021-09-30,Equity-option Greek Markowitz,mid_repaired,META_call_put_wing,deep_itm_low_extrinsic_short_option,0.024343836782958487
2021-09-30,Equity-option Greek Markowitz,mid_repaired,META_put_call_near,capacity_exceeded_no_fill,0.03638485462525581
2021-09-30,Equity-option Greek Markowitz,mid_repaired,MSFT_call_call_near,capacity_exceeded_no_fill,0.016681681565462295
2021-09-30,Equity-option Greek Markowitz,mid_repaired,NVDA_call_put_near,capacity_exceeded_no_fill,-0.08810304786549791
2021-09-30,Equity-option Greek Markowitz,mid_repaired,TSLA_put_call_near,deep_itm_low_extrinsic_short_option,0.0022582538378256778
2021-10-29,Equity-option Greek Markowitz,mid_repaired,AAPL_put_call_near,missing_cost_input,0.0
2021-10-29,Equity-option Greek Markowitz,mid_repaired,GOOGL_call_put_near,missing_cost_input,0.0
2021-10-29,Equity-option Greek Markowitz,mid_repaired,META_call_put_near,missing_cost_input,0.0
2021-10-29,Equity-option Greek Markowitz,mid_repaired,META_call_put_wing,missing_cost_input,0.0
2021-11-30,Equity-option Greek Markowitz,mid_repaired,GOOGL_call_put_near,deep_itm_low_extrinsic_short_option,-0.001464594517756942
2021-11-30,Equity-option Greek Markowitz,mid_repaired,JPM_call_put_near,missing_cost_input,0.0
