fold_id,scheme,strategy,basis,sharpe,sortino,max_drawdown,ann_return,ann_vol,defaulted,n_test_months,status
kfold_00,kfold,Equity-option Greek Markowitz,gross,-0.4541586339821839,-0.6012256883150454,-0.19612173698489155,-0.1761758048221751,0.3196883997485457,False,11,ok
kfold_00,kfold,Greek Markowitz + VIX,gross,-0.7799809289749505,-1.001761258543348,-0.5558337867395614,-0.5103012908747733,0.6408974211809003,False,11,ok
kfold_00,kfold,Beta/delta-neutral + VIX,gross,-0.4718857113931543,-0.7159316482654163,-0.4812771448301897,-0.5007177956952542,0.8214434017492832,False,11,ok
kfold_00,kfold,Equal premium,gross,-0.12557153349489603,-0.2145882045182141,-0.8680178263608975,-0.8012670686838943,1.7851429768032852,False,11,ok
kfold_00,kfold,Equal risk,gross,0.22987812068177885,0.4217644459011727,-0.7564752569051778,-0.347080565320505,1.3385810123084525,False,11,ok
kfold_00,kfold,VIX hedge sleeve,gross,-6.638050928846934,-3.1013960577086546,-1.0,-1.0,1.4070839199986922,True,11,ok
kfold_00,kfold,Equity-option Greek Markowitz,full_spread_post_cost,-1.6879441089443843,-1.624390175278317,-0.15861401470756098,-0.3175608263543038,0.20998430728245612,False,11,ok
kfold_00,kfold,Greek Markowitz + VIX,full_spread_post_cost,-2.209833671050622,-1.9425029481130134,-0.6004286394341236,-0.7241479897265738,0.4919229405957645,False,11,ok
kfold_00,kfold,Beta/delta-neutral + VIX,full_spread_post_cost,-2.2922000638235174,-2.0187434288533996,-0.5320883738699215,-0.6905964563345757,0.4427392793500226,False,11,ok
kfold_00,kfold,Equal premium,full_spread_post_cost,-0.9092156749372761,-1.1820544547810525,-0.3939949475321084,-0.33568348413622673,0.3734591102649495,False,11,ok
kfold_00,kfold,Equal risk,full_spread_post_cost,-0.9947277198240858,-1.2994945188715206,-0.4700445631988418,-0.4112327291132333,0.4361881036152035,False,11,ok
kfold_00,kfold,VIX hedge sleeve,full_spread_post_cost,-2.383221282688009,-2.026968750106952,-0.9700910174287493,-0.9957512533571418,1.2455819880724757,False,11,ok
kfold_01,kfold,Equity-option Greek Markowitz,gross,0.11248752273519853,0.1752170778576401,-0.3241024880858375,-0.22160471700037299,0.87369255141779,False,11,ok
kfold_01,kfold,Greek Markowitz + VIX,gross,-2.533084013481896,-2.1766919419916424,-0.819649018273091,-0.8790803732915204,0.6652264083273582,False,11,ok
kfold_01,kfold,Beta/delta-neutral + VIX,gross,-2.493080994351978,-2.108673132784113,-0.7381644538239558,-0.7654865331827534,0.49314550417554526,False,11,ok
kfold_01,kfold,Equal premium,gross,0.4676241770469024,1.3795895577835537,-0.8336969088362463,-0.39895994783606337,2.4983458072336147,False,11,ok
kfold_01,kfold,Equal risk,gross,0.3398964293823335,0.7542485227155216,-0.5421300610650479,-0.1567843308314606,1.2685722036566713,False,11,ok
kfold_01,kfold,VIX hedge sleeve,gross,-0.6023088509027402,-0.9919532053404084,-1.0,-1.0,3.568571708303122,True,11,ok
kfold_01,kfold,Equity-option Greek Markowitz,full_spread_post_cost,-0.5102647029758829,-0.7154162873422568,-0.2563648529254632,-0.18656791342421664,0.3137491747297369,False,11,ok
kfold_01,kfold,Greek Markowitz + VIX,full_spread_post_cost,-1.0204238008759112,-1.1215322212541492,-0.5753895034921124,-0.592403506152557,0.6175684177107114,False,11,ok
kfold_01,kfold,Beta/delta-neutral + VIX,full_spread_post_cost,-1.194221454018219,-1.3479417159185376,-0.5142386281255288,-0.5357031771938425,0.510642101747307,False,11,ok
kfold_01,kfold,Equal premium,full_spread_post_cost,0.7459679148913773,1.8251960040386248,-0.18847423366169525,0.3403845257801179,0.5889907901210165,False,11,ok
