Strategy,Mean monthly cost,Ann. cost drag,Spread share,Fee share,Mean margin/NAV,Mean stress margin/NAV,Mean assignment notional/NAV,Capacity penalized share
Beta/delta-neutral + VIX,0.42233972202476106,5.068076664297132,0.0986365848973228,0.011574990181061432,4.028675726904267,0.23480271709215794,0.00014547799914742352,0.2731977818853974
Cost-aware Sortino + VIX,13.537098047870877,162.44517657445053,0.002977948909667596,0.0006823229010389769,2.255825749207753,0.24065584906096493,0.0,0.6182266009852216
Equal premium,0.25912361146520824,3.109483337582499,0.1153600957157871,0.025015052814256467,0.9530864197530854,0.23827160493827135,0.0,0.38147668393782386
Equal risk,0.11505201556888477,1.3806241868266171,0.21278477305351207,0.03544869416088777,0.9195255920908895,0.22988139802272237,0.0,0.34650259067357514
Equity-option Greek Markowitz,0.7328719186936924,8.794463024324308,0.020704313270362533,0.0031330895791266255,4.6098137508171675,0.22387517592211553,0.038504302949832515,0.33455882352941174
Greek Markowitz + VIX,0.6104286574897794,7.325143889877353,0.06853093753350022,0.0076328669413293386,3.5256460169560224,0.23418503049220699,0.0,0.2898550724637681
VIX hedge sleeve,0.4304536791356574,5.165444149627889,0.3465007957938162,0.0463694156449381,0.9777777777777777,0.24444444444444444,0.0,0.8465909090909091
