Strategy,Regime,Months,Ann. return,Ann. vol,Sharpe,Sharpe CI lo,Sharpe CI hi,Sortino,Calmar,Omega,Info. ratio
Equity-option Greek Markowitz,Low VIX,20,1.5848911039997349,0.9192224022814915,1.7241650117164975,1.0331488556723534,2.55905094439708,4.862180299506875,5.910635210153086,3.696526118711924,1.9543707886666795
Equity-option Greek Markowitz,Mid VIX,20,1.1035670777248803,1.216320135708692,0.9072998508586592,-0.3882949577083424,1.844636871792328,2.1574520137094058,2.350660564063397,2.017269981716554,0.8412017866202947
Equity-option Greek Markowitz,High VIX,20,-0.005964463969399835,1.0294537580814698,-0.005793814362789295,-1.0298853161146855,1.0967055706747137,-0.009458532232633257,-0.0072454687988591,0.9955789416015125,-0.808181808451662
Greek Markowitz + VIX,Low VIX,20,1.3856149361144157,0.8460917862160174,1.6376650366874634,0.26484593105722815,3.471717202837566,4.773770879764326,4.419184385450615,3.2568933822546087,2.3295142572572423
Greek Markowitz + VIX,Mid VIX,20,1.5327377752370932,1.053735854817927,1.454574947060079,0.4119929570205471,2.3310761086103677,3.8121850404058493,4.985017890801083,3.19791521262492,1.4077137571835934
Greek Markowitz + VIX,High VIX,20,0.8206049490373531,0.8381443418093564,0.9790735415165605,-0.09557415262775139,2.110611167342845,2.046887297674079,2.0567611870201246,2.0465645128209835,-0.2231654548372637
Beta/delta-neutral + VIX,Low VIX,20,1.1764725096719788,0.7608918467550022,1.5461757340275306,0.2515540323189732,3.1452891404055205,3.811473527938861,5.194432759782523,2.948234701625764,2.3957508194901584
Beta/delta-neutral + VIX,Mid VIX,20,0.9736647340399431,0.9649173552476626,1.0090654176181082,-0.4461904011444364,2.1515332364571917,2.3261230782341564,2.3497767491143584,2.2504032329197434,1.0277521567220567
Beta/delta-neutral + VIX,High VIX,20,1.3660555860274886,0.7862470622373406,1.73743807975606,0.8041778858121493,2.873780566135693,4.715927146244086,4.062839779881421,4.230656084608021,0.38274295510350564
Cost-aware Sortino + VIX,Low VIX,20,6.857547127555076,5.502689074465976,1.2462174465528177,0.026758107346603627,2.3242626903104204,3.8291868581309068,3.0031693015339527,2.6989020668208576,1.357636608901156
Cost-aware Sortino + VIX,Mid VIX,20,7.747658914027053,5.956541309181401,1.300697588059169,0.5589454488068433,1.8721267170610916,6.245615732987134,8.753521823695687,3.637357002902194,1.2861592491709986
Cost-aware Sortino + VIX,High VIX,20,0.4547629016208359,2.7404043509540794,0.16594737249724076,-0.9062055930495562,1.0002578559579451,0.32206506156955805,0.45673864734114816,1.139365357976714,-0.3615244822308434
Equal premium,Low VIX,20,0.24933731754919822,1.5920674751203296,0.15661228022408605,-1.5106138805902285,1.1232592681092355,0.2832269343909152,0.2858252088084466,1.1315693496412937,0.5512963181282393
Equal premium,Mid VIX,20,0.943978424635201,2.2869438079546365,0.41276852599166514,-0.680309169667099,1.1357204928022713,0.9231389224535138,1.0043939700201385,1.3710520595819338,0.398132632716601
Equal premium,High VIX,20,-1.3598805381202062,1.7168606843333383,-0.7920739000720094,-3.8324988552298187,0.2626419087171965,-1.2401950012911709,-1.371913395096842,0.5243186273279419,-1.344566444358695
Equal risk,Low VIX,20,0.5979508357622736,1.1222978312755263,0.5327915808967428,-0.9256246370695194,1.6407486875389279,0.9828672260743897,0.8239684401163877,1.4884892868578041,1.0376710723624356
Equal risk,Mid VIX,20,0.34781755025569094,1.4555693631025943,0.23895635554894223,-0.7792248860981301,0.9955563497589597,0.4881106437588914,0.4364625794699427,1.2039317208061826,0.2314369914704183
Equal risk,High VIX,20,-0.6327317836075397,1.2635711252956179,-0.5007488466147954,-2.542587593073007,0.5000485792476288,-0.7869821548394539,-0.6790730357464939,0.6756849132862026,-1.226809191552848
VIX hedge sleeve,Low VIX,20,-9.290417234872777,1.6212298533651976,-5.730475056074619,-20.576842148442566,-3.437847780317747,-3.035739416625951,-9.290417234872777,0.06258815002382925,-5.188851018211013
VIX hedge sleeve,Mid VIX,20,-10.031188291908535,1.331367954527444,-7.534497324948013,-41.311459546597405,-4.784957134189451,-3.2026521108228314,,0.037808208666135434,-7.878891476639591
VIX hedge sleeve,High VIX,20,-8.533131628881891,1.4061179045092929,-6.068574762839525,-9.07570431788423,-4.610414225797451,-3.0314362892201214,,0.018295688695955305,-7.260650377750103
Delta-matched equities,Low VIX,20,2.272789546156811,0.6922442038268446,3.283219322881204,2.6536362121672687,4.096865225275494,19.209050671877055,15.977400429787668,17.37057013130982,2.903473231488503
Delta-matched equities,Mid VIX,20,1.9176301125698856,0.9169291378316271,2.091361298763759,1.3737325486550906,2.982990797449909,6.416413733998441,6.080833822841646,5.039654366104913,1.689477646494853
Delta-matched equities,High VIX,20,-0.9042074810245522,0.9170145532866274,-0.9860339487348657,-2.0490476997665996,-0.17428305887847823,-1.2008181043082418,-0.9802554766064455,0.4951691010667821,-1.402511364224394
Underlying Markowitz,Low VIX,20,0.3500683833053134,0.17436562097821642,2.0076686065829894,0.9680270040066269,3.2195541107981747,5.384054798397794,4.52381384422406,4.536500473470847,1.8789996999042398
Underlying Markowitz,Mid VIX,20,0.38646220355298366,0.19381790033309407,1.9939448466256855,1.3686261918338543,2.694637380888477,7.001973886084478,7.409499305653385,5.007575810655709,0.7458527346149035
Underlying Markowitz,High VIX,20,-0.2008754235537084,0.18130836670442552,-1.1079214225186955,-2.171162680100502,-0.32439216154292017,-1.4033212608696501,-0.6221125958567743,0.4732257113324115,-1.495255971212416
