return_date,strategy,scenario,asset_id,repair_reason,decision_mark,effective_fill_price,extra_cost_nav,fill_fraction,foregone_gross_return_nav
2021-01-29,Equity-option Greek Markowitz,mid_repaired,JPM_call_call_near,capacity_partial_fill,0.6,0.6,0.0,0.4195766887715052,-0.0034484254689451386
2021-01-29,Equity-option Greek Markowitz,mid_repaired,JPM_put_atm,capacity_partial_fill,2.5,2.5,0.0,0.4340279884816387,-0.039445966165278096
2021-01-29,Equity-option Greek Markowitz,mid_repaired,JPM_put_put_near,capacity_partial_fill,1.0,1.0,0.0,0.27103701148277587,-0.002850904987481247
2021-01-29,Equity-option Greek Markowitz,mid_repaired,META_call_call_near,capacity_partial_fill,0.84,0.84,0.0,0.41085954860536805,0.006817437666030776
2021-01-29,Equity-option Greek Markowitz,mid_repaired,META_call_put_near,capacity_partial_fill,12.0,12.0,0.0,0.49580422744229324,-0.02660276109010137
2021-01-29,Equity-option Greek Markowitz,mid_repaired,META_put_call_near,capacity_partial_fill,15.58,15.58,0.0,0.11350025516340297,0.0677081185170823
2021-01-29,Equity-option Greek Markowitz,mid_repaired,META_put_put_near,capacity_partial_fill,4.0,4.0,0.0,0.27009913256600815,-0.0583533394697575
2021-01-29,Equity-option Greek Markowitz,mid_repaired,NVDA_call_put_near,capacity_partial_fill,43.71,43.71,0.0,0.15573825047325787,-0.02427754851895032
2021-01-29,Equity-option Greek Markowitz,mid_repaired,NVDA_call_put_wing,capacity_partial_fill,54.28,54.28,0.0,0.9128696739740694,-0.0003212734162721383
2021-01-29,Equity-option Greek Markowitz,mid_repaired,NVDA_put_call_near,capacity_partial_fill,33.2,33.2,0.0,0.4681820569355334,0.00043982920364667584
2021-02-26,Equity-option Greek Markowitz,mid_repaired,GOOGL_put_atm,capacity_partial_fill,83.52,83.52,0.0,0.9510479958637509,0.0004298911730260614
2021-02-26,Equity-option Greek Markowitz,mid_repaired,GOOGL_put_put_near,capacity_partial_fill,30.0,30.0,0.0,0.7204996616883127,0.0011637771112483833
2021-02-26,Equity-option Greek Markowitz,mid_repaired,JPM_call_put_near,capacity_partial_fill,10.45,10.45,0.0,0.1500319272989136,0.14134457226204472
2021-02-26,Equity-option Greek Markowitz,mid_repaired,META_call_put_near,capacity_partial_fill,23.5,23.5,0.0,0.3474041089073867,-0.0028425378969853103
2021-02-26,Equity-option Greek Markowitz,mid_repaired,NVDA_put_put_wing,capacity_partial_fill,3.0,3.0,0.0,0.38885718952535564,0.0006129388950633505
2021-03-31,Equity-option Greek Markowitz,mid_repaired,JPM_put_atm,capacity_partial_fill,4.8,4.8,0.0,0.21281002066643526,-0.05486396616527809
2021-03-31,Equity-option Greek Markowitz,mid_repaired,JPM_put_put_near,capacity_partial_fill,1.4,1.4,0.0,0.9378903378479451,-0.00024290498748124687
2021-03-31,Equity-option Greek Markowitz,mid_repaired,META_call_call_near,capacity_partial_fill,3.1,3.1,0.0,0.8304644670405492,-0.007600529558442958
2021-03-31,Equity-option Greek Markowitz,mid_repaired,META_call_put_near,capacity_partial_fill,17.95,17.95,0.0,0.8300930257460841,0.011067352336317761
2021-03-31,Equity-option Greek Markowitz,mid_repaired,META_put_put_near,capacity_partial_fill,5.5,5.5,0.0,0.5570794609173918,0.014693005462393745
2021-03-31,Equity-option Greek Markowitz,mid_repaired,MSFT_call_call_near,capacity_partial_fill,1.8,1.8,0.0,0.7186325882649578,0.004693681565462293
2021-03-31,Equity-option Greek Markowitz,mid_repaired,MSFT_call_put_near,capacity_partial_fill,19.65,19.65,0.0,0.20420557028009467,-0.012567891216036416
2021-03-31,Equity-option Greek Markowitz,mid_repaired,NVDA_call_put_near,capacity_partial_fill,44.5,44.5,0.0,0.32040921135886985,-0.09155334912902566
2021-03-31,Equity-option Greek Markowitz,mid_repaired,TSLA_call_put_near,capacity_partial_fill,83.4,83.4,0.0,0.9624497957391842,-0.001192848366340408
2021-03-31,Equity-option Greek Markowitz,mid_repaired,TSLA_put_put_wing,capacity_partial_fill,12.75,12.75,0.0,0.7931713909940002,0.005120053224238801
2021-04-30,Equity-option Greek Markowitz,mid_repaired,AAPL_call_put_near,capacity_partial_fill,8.13,8.13,0.0,0.46407305585134057,0.023182821043648435
2021-04-30,Equity-option Greek Markowitz,mid_repaired,JPM_put_put_near,capacity_partial_fill,1.48,1.48,0.0,0.2421945823363069,-0.0029637049874812467
2021-04-30,Equity-option Greek Markowitz,mid_repaired,META_call_put_near,capacity_partial_fill,17.94,17.94,0.0,0.982636217832936,0.0004208004834041798
2021-04-30,Equity-option Greek Markowitz,mid_repaired,META_put_call_near,capacity_partial_fill,22.55,22.55,0.0,0.10267292819057831,-0.04910816252822029
2021-04-30,Equity-option Greek Markowitz,mid_repaired,META_put_put_near,capacity_partial_fill,1.45,1.45,0.0,0.11102400728131787,0.029490005462393745
2021-04-30,Equity-option Greek Markowitz,mid_repaired,MSFT_call_call_near,capacity_partial_fill,0.95,0.95,0.0,0.28929937195250965,-0.15337495859093825
2021-04-30,Equity-option Greek Markowitz,mid_repaired,MSFT_put_put_near,capacity_partial_fill,1.1,1.1,0.0,0.47412102950030194,0.0030868092403391863
2021-04-30,Equity-option Greek Markowitz,mid_repaired,NVDA_put_call_near,capacity_partial_fill,38.53,38.53,0.0,0.3735497010372498,-0.007107713631469521
2021-04-30,Equity-option Greek Markowitz,mid_repaired,NVDA_put_put_near,capacity_partial_fill,3.0,3.0,0.0,0.41342902110872004,-0.007448673126334302
2021-06-30,Equity-option Greek Markowitz,mid_repaired,AAPL_put_put_near,capacity_partial_fill,0.93,0.93,0.0,0.9576572150895515,-0.00031251140703729186
2021-06-30,Equity-option Greek Markowitz,mid_repaired,JPM_call_call_near,capacity_partial_fill,0.39,0.39,0.0,0.1463401621812811,0.0010010104265719476
2021-06-30,Equity-option Greek Markowitz,mid_repaired,JPM_put_put_near,capacity_partial_fill,0.65,0.65,0.0,0.11800337811254817,-0.003449404987481247
2021-06-30,Equity-option Greek Markowitz,mid_repaired,META_call_put_near,capacity_partial_fill,17.99,17.99,0.0,0.8933156458493717,-0.00367962871472921
2021-06-30,Equity-option Greek Markowitz,mid_repaired,META_put_call_near,capacity_partial_fill,25.7,25.7,0.0,0.10531373964736482,0.01851068289184614
2021-06-30,Equity-option Greek Markowitz,mid_repaired,META_put_put_near,capacity_partial_fill,1.31,1.31,0.0,0.5074457308091403,0.016339505462393746
2021-06-30,Equity-option Greek Markowitz,mid_repaired,MSFT_call_call_near,capacity_partial_fill,0.91,0.91,0.0,0.7609844337445366,0.003987181565462295
2021-06-30,Equity-option Greek Markowitz,mid_repaired,MSFT_put_put_near,capacity_partial_fill,1.33,1.33,0.0,0.401052215431786,0.003515709240339188
2021-06-30,Equity-option Greek Markowitz,mid_repaired,NVDA_call_put_near,capacity_partial_fill,32.23,32.23,0.0,0.22967027283244568,-0.0404420415402667
2021-06-30,Equity-option Greek Markowitz,mid_repaired,NVDA_put_put_near,capacity_partial_fill,10.18,10.18,0.0,0.5451278201377151,-0.0057762731263343
2021-06-30,Equity-option Greek Markowitz,mid_repaired,NVDA_put_put_wing,capacity_partial_fill,0.9,0.9,0.0,0.28715607841872415,0.0007149388950633505
2021-06-30,Equity-option Greek Markowitz,mid_repaired,TSLA_put_put_wing,capacity_partial_fill,6.05,6.05,0.0,0.8407172390815957,-0.008518305215508927
2021-07-30,Equity-option Greek Markowitz,mid_repaired,AMZN_put_put_wing,capacity_partial_fill,2.32,2.32,0.0,0.7929882829199043,0.00010295917729800346
2021-07-30,Equity-option Greek Markowitz,mid_repaired,GOOGL_call_atm,capacity_partial_fill,13.8,13.8,0.0,0.6782092750062821,0.004980053790258936
2021-07-30,Equity-option Greek Markowitz,mid_repaired,GOOGL_put_atm,capacity_partial_fill,21.2,21.2,0.0,0.6035146525476388,0.003481891173026062
2021-07-30,Equity-option Greek Markowitz,mid_repaired,JPM_call_call_near,capacity_partial_fill,0.68,0.68,0.0,0.9684375767661001,3.701042657194772e-05
2021-07-30,Equity-option Greek Markowitz,mid_repaired,JPM_put_atm,capacity_partial_fill,6.56,6.56,0.0,0.14589079626053894,0.013883775950450082
2021-07-30,Equity-option Greek Markowitz,mid_repaired,META_call_put_near,capacity_partial_fill,20.6,20.6,0.0,0.10151098785095272,-0.02172425490688411
2021-07-30,Equity-option Greek Markowitz,mid_repaired,META_put_call_near,capacity_partial_fill,13.85,13.85,0.0,0.11140733619851297,0.021094295703137842
2021-07-30,Equity-option Greek Markowitz,mid_repaired,META_put_put_near,capacity_partial_fill,0.67,0.67,0.0,0.1650106743027982,0.02769910546239375
2021-07-30,Equity-option Greek Markowitz,mid_repaired,MSFT_call_put_near,capacity_partial_fill,11.9,11.9,0.0,0.5952479792137464,0.021724088762418426
2021-07-30,Equity-option Greek Markowitz,mid_repaired,MSFT_put_put_near,capacity_partial_fill,0.75,0.75,0.0,0.14821606024623163,0.004999809240339187
2021-07-30,Equity-option Greek Markowitz,mid_repaired,NVDA_call_put_near,capacity_partial_fill,52.37,52.37,0.0,0.8007981147146962,-0.02683614912902568
2021-07-30,Equity-option Greek Markowitz,mid_repaired,NVDA_put_call_near,capacity_partial_fill,46.75,46.75,0.0,0.6592623843896439,0.005524887256927101
2021-07-30,Equity-option Greek Markowitz,mid_repaired,TSLA_put_put_wing,capacity_partial_fill,7.88,7.88,0.0,0.741682913532276,0.006394653224238805
2021-08-31,Equity-option Greek Markowitz,mid_repaired,GOOGL_call_put_near,capacity_partial_fill,105.89,105.89,0.0,0.8427948453385801,-0.0018318989613506705
2021-08-31,Equity-option Greek Markowitz,mid_repaired,JPM_call_atm,capacity_partial_fill,2.53,2.53,0.0,0.7206738185822257,-0.0003039858751242788
2021-08-31,Equity-option Greek Markowitz,mid_repaired,JPM_call_call_near,capacity_partial_fill,0.53,0.53,0.0,0.5288201315187203,0.0005525104265719476
2021-08-31,Equity-option Greek Markowitz,mid_repaired,JPM_put_atm,capacity_partial_fill,4.41,4.41,0.0,0.10883269746217936,-0.05816724264884465
2021-08-31,Equity-option Greek Markowitz,mid_repaired,META_call_call_near,capacity_partial_fill,0.69,0.69,0.0,0.4847717503389562,0.005962137666030777
2021-08-31,Equity-option Greek Markowitz,mid_repaired,META_call_put_near,capacity_partial_fill,14.2,14.2,0.0,0.10765168241101779,0.0005636506682410444
2021-08-31,Equity-option Greek Markowitz,mid_repaired,META_put_call_near,capacity_partial_fill,19.4,19.4,0.0,0.2973796533578998,-0.008996459571557335
2021-08-31,Equity-option Greek Markowitz,mid_repaired,META_put_put_near,capacity_partial_fill,2.88,2.88,0.0,0.4392969463234289,0.01860020546239375
2021-08-31,Equity-option Greek Markowitz,mid_repaired,MSFT_call_call_near,capacity_partial_fill,0.46,0.46,0.0,0.5873508591775154,-0.05836142884809516
2021-08-31,Equity-option Greek Markowitz,mid_repaired,MSFT_call_put_near,capacity_partial_fill,15.04,15.04,0.0,0.5918476706847058,0.03783880997799979
2021-08-31,Equity-option Greek Markowitz,mid_repaired,NVDA_call_put_near,capacity_partial_fill,13.35,13.35,0.0,0.36368097083104706,0.06299258029028618
2021-08-31,Equity-option Greek Markowitz,mid_repaired,NVDA_call_put_wing,capacity_partial_fill,21.33,21.33,0.0,0.2532165695851606,0.008373336277951227
2021-08-31,Equity-option Greek Markowitz,mid_repaired,NVDA_put_put_near,capacity_partial_fill,4.06,4.06,0.0,0.5754931973833383,-0.005390673126334302
2021-08-31,Equity-option Greek Markowitz,mid_repaired,TSLA_put_put_wing,capacity_partial_fill,8.75,8.75,0.0,0.749341955841034,0.006205053224238803
2021-09-30,Equity-option Greek Markowitz,mid_repaired,AAPL_put_call_near,capacity_partial_fill,6.76,6.76,0.0,0.8810789823237173,0.0007643200027606542
2021-09-30,Equity-option Greek Markowitz,mid_repaired,GOOGL_put_atm,capacity_partial_fill,38.79,38.79,0.0,0.5300452839016508,-0.004810145399197101
2021-09-30,Equity-option Greek Markowitz,mid_repaired,JPM_put_put_near,capacity_partial_fill,1.1,1.1,0.0,0.2868901197015798,-0.002788904987481246
2021-09-30,Equity-option Greek Markowitz,mid_repaired,META_call_call_near,capacity_partial_fill,1.14,1.14,0.0,0.3300253693681432,0.007752837666030778
2021-09-30,Equity-option Greek Markowitz,mid_repaired,META_call_put_near,capacity_partial_fill,21.35,21.35,0.0,0.5826836838106217,-0.017150911946136545
2021-09-30,Equity-option Greek Markowitz,mid_repaired,META_put_put_near,capacity_partial_fill,1.43,1.43,0.0,0.10518190773987897,0.029683805462393745
2021-09-30,Equity-option Greek Markowitz,mid_repaired,MSFT_call_put_near,capacity_partial_fill,16.8,16.8,0.0,0.15130957268591239,-0.007036467130028436
2021-09-30,Equity-option Greek Markowitz,mid_repaired,NVDA_call_put_wing,capacity_partial_fill,23.14,23.14,0.0,0.1945818372859245,-0.004672360776654652
2021-09-30,Equity-option Greek Markowitz,mid_repaired,NVDA_put_call_near,capacity_partial_fill,18.85,18.85,0.0,0.2658202341335784,0.0009501093413336818
2021-09-30,Equity-option Greek Markowitz,mid_repaired,NVDA_put_put_near,capacity_partial_fill,2.52,2.52,0.0,0.28179322078770364,-0.0091202731263343
2021-09-30,Equity-option Greek Markowitz,mid_repaired,NVDA_put_put_wing,capacity_partial_fill,0.31,0.31,0.0,0.5965468115205648,0.0004046388950633505
