Strategy,Return basis,path_id,method,n_source_obs,status,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,reason
VIX hedge sleeve,Gross before costs,791,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,2430651.6133525237,-0.9982624185457587,-0.9669461524166165,-44771858.629499115,794571.9682506413,2653115.8134177527,-2.5218083537253147e+200,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,792,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,44761.939116827845,-1.2497225150427786,-1.1843522570345364,-8048899.530924969,31209.3421774356,52056.37598362633,-4.807970114476975e+112,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,793,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,21009.030085242415,-1.3010714549597653,-1.2271759082979572,-154210.29751633882,19496.919588661673,24596.338825854764,-7.068671572060301e+122,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,794,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,920088.3307319729,-1.0812186925816965,-1.0400583525943587,-37272367.01448044,416107.1906307103,1153382.6644991431,-1.2552469509688996e+182,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,795,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,1750056.9310583277,-1.1246633409172202,-1.0778616385548427,-1802619.07888759,1337455.2446871093,2109630.760938392,-2.267025687196472e+169,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,796,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,2.4696932634206607e+34,271572.876028596,-1.9565525090932236,-1.7157711379024418,-1810624319.1019113,202698.57930043887,251367.35888290955,9.187875159550026e+171,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,797,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,1001812.8629898658,-1.321014922625887,-1.2433910749375794,-47702781.080168225,978293.5420154153,1145471.7016372024,-2.9488620800324407e+190,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,798,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,448850.11705356895,-1.0155516647059932,-0.9826857105139294,-4462260277.54674,287250.3766000188,538851.3645658406,-1.0204142225613552e+133,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,799,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,107313.81212225599,-1.714483004022409,-1.5611158451668046,-2022125.6585799213,93338.91840790396,99720.53012900964,-1.0596477881458585e+157,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,800,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,1736250.3793644672,-0.9939044599373964,-0.9799503732617137,-1936238451196.7007,952780.0408379809,2049477.330938194,-4.0036377674700074e+200,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,801,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,7.679738588587424e+27,40155.00943169851,-1.4394995887742887,-1.339799443151476,-321072.1167135493,28040.35765544707,46415.76397686525,2.6713585712952527e+139,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,802,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,210606.6645804386,-1.1979443201800253,-1.155969056937484,-17166646176.897423,207615.32811934972,229005.79330657783,-4.03734013163182e+153,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,803,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,1.5231954014757158e+29,273210.8207107913,-1.2521992412451892,-1.1863995669111367,-260686.91990997002,140931.95474779364,310852.9865543754,8.199324971281278e+145,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,804,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,3.3839185649288624e+33,74057.94364860424,-1.4765495141927163,-1.3706702861115976,-733220737093.4916,66592.83247193927,86803.79622321541,4.437103051411431e+167,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,805,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,16048.062806225687,-1.1037040453179905,-1.0602401607235075,-2710309.2424692623,7422.145987397177,20580.707965261983,-5.5080842487175814e+88,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,806,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,284811.6325774169,-1.6009960792886433,-1.4634993020853866,-369204344.51652545,199547.51554655633,321141.4866683188,-3.347471693092332e+174,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,807,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,26916.91482327407,-1.2548502909876553,-1.1893831341884271,-3517424.3965962953,10058.870574757972,33693.542514405985,-2.658866074123672e+135,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,808,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,1.4010776507349242e+23,60479.53684821278,-1.1131439195446402,-1.0678700662045089,-39059.05964465035,37381.52808676411,70814.75536060368,5.39897140678093e+115,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,809,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,6.339618580611688e+33,339723.20619863376,-1.2378452889973406,-1.174443395841833,-216624381.00463322,299487.2676770355,411196.29311240587,1.0240369984739423e+169,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,810,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,559231.7430414219,-0.7129739510235376,-0.7232854452645523,-315127263694.2567,184121.31655617792,613608.9804584049,-1.2715928842338907e+161,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,811,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,2.1510238504594737e+41,3496080.136521318,-0.9574464882383209,-0.9317211444436503,-370282242726.8387,1424243.8830654563,3900739.6652292125,4.6049628323562e+206,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,812,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,3629719.645097409,-1.2568610475283897,-1.1906048746412585,-297201872526.44794,1610473.5406669176,4413857.362464282,-1.2645279965744072e+207,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,813,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,2.86807338479013e+30,77126.83384726195,-1.5996351348887468,-1.4812897238735534,-963065896.7450526,61848.68155308222,76855.7452940753,1.94066823206329e+152,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,814,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,3.515682570629986e+25,57594.64365061266,-1.0838049118041397,-1.0423132710548113,-209097.52217799658,36746.667611549776,67907.79747701535,5.370915003905902e+127,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,815,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,2.6792420044952903e+31,298335.2144862369,-1.1363457915694926,-1.1082677791646436,-70896772429.63602,117379.55301774344,339523.9277470201,1.380574084441682e+157,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,816,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,297372.2219765013,-1.4173752849250527,-1.321280749799335,-280881.4815741296,263166.18199817394,317694.9166341918,-9.722488440254164e+132,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,817,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,335744.64415498433,-1.2943075329679188,-1.2220083888477002,-15169559143516.88,319073.23225858435,378869.07759035827,-1.737459418578594e+159,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,818,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,5.078757671578823e+30,716508.7628197379,-1.0474958424188936,-1.0104039662453976,-980893.1880679812,212023.7626659486,818450.0947589785,3.378994281060734e+153,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,819,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,17087679.863468308,-1.1090435355341794,-1.0643093049825418,-3095576981.0847287,12677579.111300647,20214834.138528295,-1.5070244718478652e+223,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,820,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,2.154024650161893e+37,976672.5804686871,-1.2618030872057573,-1.1944582104794186,-693295768.4095263,617618.8442459123,1165106.60293294,4.637173494018636e+186,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,821,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,37752.575356874964,-1.462590536951563,-1.357060459332665,-435340.89068455854,28849.48033393135,40040.37822723653,-3.886695841536665e+115,insufficient_egarch_obs
