return_date,strategy,asset_id,weight,mark,relative_spread,spread_cost_nav,fee_cost_nav,slippage_cost_nav,borrow_cost_nav,margin_drag_nav,capacity_cost_nav,assignment_penalty_nav,total_cost_nav
2021-01-29,Equity-option Greek Markowitz,AAPL_call_atm,-0.003992964698882109,2.7,0.007117437722419936,2.8419677572114684e-05,2.218313721601172e-05,3.99296469888211e-06,0.0,3.2257320891513915e-05,0.0,0.0,8.685310037852243e-05
2021-01-29,Equity-option Greek Markowitz,AAPL_call_call_near,-0.003932518064634854,1.22,0.008298755186721999,3.263500468576645e-05,4.8350631942231816e-05,3.932518064634854e-06,0.0,7.030844351187151e-05,0.0,0.0,0.00015522659820450463
2021-01-29,Equity-option Greek Markowitz,AAPL_call_put_near,0.031884204035193736,8.95,0.01117318435754186,0.0003562480897786997,5.343721346680515e-05,3.188420403519374e-05,0.0,2.6206195097419505e-05,0.0,0.0,0.0004677757023781181
2021-01-29,Equity-option Greek Markowitz,AAPL_put_atm,0.013368695376127039,2.35,0.008048322321544246,0.0001075955694056086,8.533209814549174e-05,1.336869537612704e-05,0.0,1.0987968802296197e-05,0.0,0.0,0.00021728433172952359
2021-01-29,Equity-option Greek Markowitz,AAPL_put_call_near,0.00928361720583494,8.65,0.011627906976744143,0.00010794903727715007,1.609875816040741e-05,9.28361720583494e-06,0.0,7.630370306165705e-06,0.0,0.0,0.00014096178294955813
2021-01-29,Equity-option Greek Markowitz,AAPL_put_put_near,0.007380511407037293,1.05,0.010928961748633888,8.066132685286665e-05,0.00010543587724338989,7.3805114070372935e-06,0.0,6.066173759208733e-06,0.0,0.0,0.00019954388926250258
2021-01-29,Equity-option Greek Markowitz,AMZN_call_atm,0.001178778035457045,53.35,0.009995004995004995,1.178189235239534e-05,3.3142775130001266e-07,1.178778035457045e-06,0.0,9.68858659279763e-07,0.0,0.0,1.4260956798432161e-05
2021-01-29,Equity-option Greek Markowitz,AMZN_put_put_near,-0.0015306864303848196,21.26,0.02040818949947485,3.123853873556812e-05,1.0799763149469565e-06,1.5306864303848197e-06,0.0,3.854692806151983e-05,0.0,0.0,7.239612954241972e-05
2021-01-29,Equity-option Greek Markowitz,GOOGL_call_atm,0.008342557686117743,16.4,0.055556084782090995,0.0004634798421094422,7.630388127546717e-06,8.342557686117744e-06,0.0,6.856896728315953e-06,0.0,0.0,0.0004863096846514226
2021-01-29,Equity-option Greek Markowitz,GOOGL_put_atm,-0.008781891173026062,39.47,0.03398692810457509,0.0002984695039198394,3.337430139229565e-06,8.781891173026063e-06,0.0,6.410206917049876e-05,0.0,0.0,0.00037469089440259377
