Strategy,Method,Realized Sharpe,P05 Sharpe,P50 Sharpe,P95 Sharpe,P50 Max Drawdown,P Sharpe Less Than 0,P Default
Beta/delta-neutral + VIX,joint_garch_block,1.4135317239912606,-3.747978574371805,-1.0729940249999244,0.573112834047288,-1.0,0.879,0.741
Cost-aware Sortino + VIX,joint_garch_block,1.0144053186224946,-1.7119147425029397,0.8286252016086892,1.9487358095977136,-1.0,0.256,0.805
Equal premium,joint_garch_block,-0.02955676336526383,-4.025624001155359,0.6885885687862243,1.7944141691755031,-0.9999954333923369,0.357,0.0
Equal risk,joint_garch_block,0.08183086586465663,-5.142237617664811,0.4807222211547578,1.7602973803163906,-0.9999737762695651,0.428,0.0
Equity-option Greek Markowitz,joint_garch_block,0.8421194565895301,-2.6678383997878323,-0.5413517867121335,1.0952849530319553,-0.9999972890185654,0.713,0.449
Greek Markowitz + VIX,joint_garch_block,1.374388539995489,-3.752167366067307,-0.9187212134417769,0.8092799833174443,-1.0,0.812,0.681
VIX hedge sleeve,joint_garch_block,-6.429184989935395,-4.690928186324804,-0.02240681042415698,1.3122949910893638,-1.0,0.508,1.0
