snap_date,Equity-option Greek Markowitz::mid,Greek Markowitz + VIX::mid,Beta/delta-neutral + VIX::mid,Cost-aware Sortino + VIX::mid,Equal premium::mid,Equal risk::mid,VIX hedge sleeve::mid,Equity-option Greek Markowitz::half_spread,Greek Markowitz + VIX::half_spread,Beta/delta-neutral + VIX::half_spread,Cost-aware Sortino + VIX::half_spread,Equal premium::half_spread,Equal risk::half_spread,VIX hedge sleeve::half_spread,Equity-option Greek Markowitz::full_spread,Greek Markowitz + VIX::full_spread,Beta/delta-neutral + VIX::full_spread,Cost-aware Sortino + VIX::full_spread,Equal premium::full_spread,Equal risk::full_spread,VIX hedge sleeve::full_spread
2021-01-29,0.07746807308005617,0.037066052124128,0.08403203790902108,0.9955173658139849,-0.24237248965266514,-0.19171993853660096,0.0,0.07470685714424355,0.031414158094083156,0.07692339689864597,0.992287312905139,-0.25416634978230945,-0.2001966070860663,0.0,0.07194564120843094,0.025762264064038337,0.06981475588827082,0.9890572599962932,-0.2659602099119537,-0.20867327563553162,0.0
2021-02-26,0.21504438942636755,0.12432264351069269,0.1767392007678497,-0.15915894816952045,-0.2640550674281061,-0.23607660621716697,-1.013021409935094,0.20635256765521842,0.1145557872466409,0.16377465637320948,-0.17783738284707412,-0.2783547870551848,-0.24838205586361572,-1.0880214099350942,0.1976607458840693,0.1047889309825891,0.15081011197856925,-0.19651581752462777,-0.29265450668226356,-0.2606875055100645,-1.1630214099350942
2021-03-31,-0.04318448328153063,-0.002176939954916246,-0.08090996461453204,-0.1605938199551864,-0.3329850431607302,-0.20278442364010385,-0.6756304226367487,-0.04580545126129543,-0.007954596085216648,-0.0986734851052003,-0.16312481193038442,-0.34630117407213845,-0.21365435714150943,-0.7256304226367487,-0.048426419241060226,-0.013732252215517049,-0.11643700559586856,-0.16565580390558243,-0.3596173049835467,-0.22452429064291501,-0.7756304226367488
2021-04-30,0.11950678640254203,0.14592766064459328,0.10529727006604511,0.3232369542984186,0.3071640164825711,0.48381243027818926,0.0,0.11768778103952549,0.12928991379137822,0.08918091594086003,0.3064655527167739,0.29582555681354306,0.47478574174812466,0.0,0.11586877567650897,0.11265216693816316,0.07306456181567494,0.2896941511351301,0.2844870971445148,0.46575905321806005,0.0
2021-06-30,-0.009341446724694585,-0.010938500130482504,-0.09537209464729633,-0.19732716239749754,0.06881018993658441,0.04169405813864087,0.45235757575757574,-0.011087557250185565,-0.027965890852902325,-0.11224508650026623,-0.19940255588156858,0.05967761666630475,0.03339538876971941,0.4273575757575757,-0.012833667775676572,-0.04499328157532215,-0.12911807835323613,-0.20147794936563962,0.05054504339602511,0.02509671940079794,0.4023575757575758
2021-07-30,-0.037134505987587385,-0.045738201306632434,0.11613683571811771,-0.46189856392961887,-0.03733571873343269,-0.0429186788259113,0.0,-0.03881961207818031,-0.050899011172309716,0.11007757686253623,-0.4664973344097169,-0.046699018172583595,-0.050916054147127965,0.0,-0.04050471816877324,-0.05605982103798701,0.10401831800695474,-0.47109610488981507,-0.056062317611734525,-0.05891342946834466,0.0
2021-08-31,-0.07240663195780139,-0.06584965983158533,-0.024244225529886282,-0.1507648572213141,-0.22611732794465572,-0.20379552008516663,0.0,-0.07390785563027288,-0.07093933085422055,-0.03165421032046327,-0.15303969769533415,-0.2375313330372597,-0.21249353704908466,0.0,-0.07540907930274439,-0.07602900187685575,-0.03906419511104024,-0.15531453816935425,-0.24894533812986364,-0.2211915540130027,0.0
2021-09-30,-0.02272474971347295,2.8722121146101953e-05,0.02068245051391858,0.055922944112966166,-0.23070457589354432,-0.20818727720403496,0.0,-0.02429725981088028,-0.004040177414170683,0.01590884138986305,0.05356349011903294,-0.23724140340624544,-0.21431816365603662,0.0,-0.025869769908287613,-0.008109076949487468,0.01113523226580751,0.051204036125099606,-0.24377823091894646,-0.22044905010803828,0.0
2021-10-29,0.03499532124359331,-0.12517573678453328,-0.06120492934880968,0.019755600000000206,-0.006037585929280248,-0.035535833375857806,0.0,0.0334731789878249,-0.14107262210224164,-0.07719592596307823,0.01825560000000026,-0.016803295344344688,-0.0427109707214615,0.0,0.03195103673205646,-0.15696950741995,-0.09318692257734679,0.016755600000000204,-0.027569004759409155,-0.0498861080670652,0.0
2021-11-30,0.1342015667038564,-0.007729646973288373,-0.07365479369472638,-0.2457640867254276,0.5025996056378106,0.27889178672154624,0.0,0.13126813031753615,-0.024366593243411283,-0.08932601355755576,-0.24921253781872688,0.491952487183816,0.2703840017589131,0.0,0.12833469393121588,-0.041003539513534304,-0.10499723342038525,-0.2526609889120257,0.48130536872982144,0.2618762167962799,0.0
