expiration,scalar_status,scalar_url,scalar_file,scalar_sha256,scalar_error,component_status,component_url,component_file,component_sha256,component_error,parsed_settlement,settlement_value,Year
2015-12-09,downloaded,https://www-api.cboe.com/us/futures/market_statistics/settlement/csv?dt=2015-12-09,data/public/cboe/vro_soq/raw/scalar_settlement/2015/cboe_vx_settlement_20151209.csv,fb3907637b20ec51927e44bd0c06628cc47fb9cde8f317c743131a779dbaf39d,,downloaded,https://cdn.cboe.com/resources/futures/archive/settlements/Vix_Series_12092015.xls,data/public/cboe/vro_soq/raw/soq_components/2015/Vix_Series_12092015.xls,7a1699a85500ae694f3c530d6ad1268ef9794039ce4156e44966d4dc76909e41,,False,,2015
2015-12-16,downloaded,https://www-api.cboe.com/us/futures/market_statistics/settlement/csv?dt=2015-12-16,data/public/cboe/vro_soq/raw/scalar_settlement/2015/cboe_vx_settlement_20151216.csv,fb3907637b20ec51927e44bd0c06628cc47fb9cde8f317c743131a779dbaf39d,,downloaded,https://cdn.cboe.com/resources/futures/archive/settlements/Vix_Series_12162015.xls,data/public/cboe/vro_soq/raw/soq_components/2015/Vix_Series_12162015.xls,921a5586c27714715034bb3bc54d3e4b37d1c7e36229d268ca4e808f8632bdfd,,False,,2015
2015-12-30,downloaded,https://www-api.cboe.com/us/futures/market_statistics/settlement/csv?dt=2015-12-30,data/public/cboe/vro_soq/raw/scalar_settlement/2015/cboe_vx_settlement_20151230.csv,fb3907637b20ec51927e44bd0c06628cc47fb9cde8f317c743131a779dbaf39d,,downloaded,https://cdn.cboe.com/resources/futures/archive/settlements/Vix_Series_12302015.xls,data/public/cboe/vro_soq/raw/soq_components/2015/Vix_Series_12302015.xls,470e7f85b115ff3e25dcbef4f5f87e6f3ae0bad1f7027be2ad0b920d7eace2c8,,False,,2015
2016-01-20,downloaded,https://www.cboe.com/index_settlement_values/get_sv_data/O/2016/,data/public/cboe/vro_soq/raw/index_settlement_values/cboe_index_settlement_values_O_2016.json,56099246e4820c02f4fb8fe25ec728b451776a20b837e6a9805df9d01a62dfa0,,downloaded,https://cdn.cboe.com/resources/futures/archive/settlements/Vix_Series_01202016.xls,data/public/cboe/vro_soq/raw/soq_components/2016/Vix_Series_01202016.xls,f37cd960ac4c0f24fa4d4ceb69c1fcb0a232f4a35bb37949e2ec2ad60e041ae5,,True,27.4,2016
2016-02-17,downloaded,https://www.cboe.com/index_settlement_values/get_sv_data/O/2016/,data/public/cboe/vro_soq/raw/index_settlement_values/cboe_index_settlement_values_O_2016.json,56099246e4820c02f4fb8fe25ec728b451776a20b837e6a9805df9d01a62dfa0,,downloaded,https://cdn.cboe.com/resources/futures/archive/settlements/Vix_Series_02172016.xls,data/public/cboe/vro_soq/raw/soq_components/2016/Vix_Series_02172016.xls,7d63d114f102e36a60741a25039292e9cb2f6a284093cc981b80d11456510bb3,,True,23.76,2016
2016-03-16,downloaded,https://www.cboe.com/index_settlement_values/get_sv_data/O/2016/,data/public/cboe/vro_soq/raw/index_settlement_values/cboe_index_settlement_values_O_2016.json,56099246e4820c02f4fb8fe25ec728b451776a20b837e6a9805df9d01a62dfa0,,downloaded,https://cdn.cboe.com/resources/futures/archive/settlements/Vix_Series_03162016.xls,data/public/cboe/vro_soq/raw/soq_components/2016/Vix_Series_03162016.xls,51018bf634145649a37bc3ca16b51f314f6a8f706cb58c3896f8ffb7c6b18664,,True,16.22,2016
2016-04-20,downloaded,https://www.cboe.com/index_settlement_values/get_sv_data/O/2016/,data/public/cboe/vro_soq/raw/index_settlement_values/cboe_index_settlement_values_O_2016.json,56099246e4820c02f4fb8fe25ec728b451776a20b837e6a9805df9d01a62dfa0,,unavailable,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2016/04/soq_vxs_20160420.csv-dl,data/public/cboe/vro_soq/raw/soq_components/2016/soq_vxs_20160420.csv,,404.0,True,12.38,2016
2016-05-04,downloaded,https://www-api.cboe.com/us/futures/market_statistics/settlement/csv?dt=2016-05-04,data/public/cboe/vro_soq/raw/scalar_settlement/2016/cboe_vx_settlement_20160504.csv,fb3907637b20ec51927e44bd0c06628cc47fb9cde8f317c743131a779dbaf39d,,unavailable,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2016/05/soq_vxs_20160504.csv-dl,data/public/cboe/vro_soq/raw/soq_components/2016/soq_vxs_20160504.csv,,404.0,False,,2016
2016-05-18,downloaded,https://www-api.cboe.com/us/futures/market_statistics/settlement/csv?dt=2016-05-18,data/public/cboe/vro_soq/raw/scalar_settlement/2016/cboe_vx_settlement_20160518.csv,fb3907637b20ec51927e44bd0c06628cc47fb9cde8f317c743131a779dbaf39d,,unavailable,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2016/05/soq_vxs_20160518.csv-dl,data/public/cboe/vro_soq/raw/soq_components/2016/soq_vxs_20160518.csv,,404.0,False,,2016
2016-06-15,downloaded,https://www-api.cboe.com/us/futures/market_statistics/settlement/csv?dt=2016-06-15,data/public/cboe/vro_soq/raw/scalar_settlement/2016/cboe_vx_settlement_20160615.csv,fb3907637b20ec51927e44bd0c06628cc47fb9cde8f317c743131a779dbaf39d,,unavailable,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2016/06/soq_vxs_20160615.csv-dl,data/public/cboe/vro_soq/raw/soq_components/2016/soq_vxs_20160615.csv,,404.0,False,,2016
2016-06-29,downloaded,https://www-api.cboe.com/us/futures/market_statistics/settlement/csv?dt=2016-06-29,data/public/cboe/vro_soq/raw/scalar_settlement/2016/cboe_vx_settlement_20160629.csv,fb3907637b20ec51927e44bd0c06628cc47fb9cde8f317c743131a779dbaf39d,,unavailable,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2016/06/soq_vxs_20160629.csv-dl,data/public/cboe/vro_soq/raw/soq_components/2016/soq_vxs_20160629.csv,,404.0,False,,2016
2016-07-20,downloaded,https://www.cboe.com/index_settlement_values/get_sv_data/O/2016/,data/public/cboe/vro_soq/raw/index_settlement_values/cboe_index_settlement_values_O_2016.json,56099246e4820c02f4fb8fe25ec728b451776a20b837e6a9805df9d01a62dfa0,,unavailable,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2016/07/soq_vxs_20160720.csv-dl,data/public/cboe/vro_soq/raw/soq_components/2016/soq_vxs_20160720.csv,,404.0,True,11.62,2016
2016-08-10,downloaded,https://www-api.cboe.com/us/futures/market_statistics/settlement/csv?dt=2016-08-10,data/public/cboe/vro_soq/raw/scalar_settlement/2016/cboe_vx_settlement_20160810.csv,fb3907637b20ec51927e44bd0c06628cc47fb9cde8f317c743131a779dbaf39d,,unavailable,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2016/08/soq_vxs_20160810.csv-dl,data/public/cboe/vro_soq/raw/soq_components/2016/soq_vxs_20160810.csv,,404.0,False,,2016
2016-08-17,downloaded,https://www-api.cboe.com/us/futures/market_statistics/settlement/csv?dt=2016-08-17,data/public/cboe/vro_soq/raw/scalar_settlement/2016/cboe_vx_settlement_20160817.csv,fb3907637b20ec51927e44bd0c06628cc47fb9cde8f317c743131a779dbaf39d,,unavailable,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2016/08/soq_vxs_20160817.csv-dl,data/public/cboe/vro_soq/raw/soq_components/2016/soq_vxs_20160817.csv,,404.0,False,,2016
2016-08-24,downloaded,https://www-api.cboe.com/us/futures/market_statistics/settlement/csv?dt=2016-08-24,data/public/cboe/vro_soq/raw/scalar_settlement/2016/cboe_vx_settlement_20160824.csv,fb3907637b20ec51927e44bd0c06628cc47fb9cde8f317c743131a779dbaf39d,,unavailable,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2016/08/soq_vxs_20160824.csv-dl,data/public/cboe/vro_soq/raw/soq_components/2016/soq_vxs_20160824.csv,,404.0,False,,2016
2016-09-21,downloaded,https://www-api.cboe.com/us/futures/market_statistics/settlement/csv?dt=2016-09-21,data/public/cboe/vro_soq/raw/scalar_settlement/2016/cboe_vx_settlement_20160921.csv,fb3907637b20ec51927e44bd0c06628cc47fb9cde8f317c743131a779dbaf39d,,unavailable,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2016/09/soq_vxs_20160921.csv-dl,data/public/cboe/vro_soq/raw/soq_components/2016/soq_vxs_20160921.csv,,404.0,False,,2016
2016-09-28,downloaded,https://www-api.cboe.com/us/futures/market_statistics/settlement/csv?dt=2016-09-28,data/public/cboe/vro_soq/raw/scalar_settlement/2016/cboe_vx_settlement_20160928.csv,fb3907637b20ec51927e44bd0c06628cc47fb9cde8f317c743131a779dbaf39d,,unavailable,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2016/09/soq_vxs_20160928.csv-dl,data/public/cboe/vro_soq/raw/soq_components/2016/soq_vxs_20160928.csv,,404.0,False,,2016
2016-10-19,downloaded,https://www-api.cboe.com/us/futures/market_statistics/settlement/csv?dt=2016-10-19,data/public/cboe/vro_soq/raw/scalar_settlement/2016/cboe_vx_settlement_20161019.csv,fb3907637b20ec51927e44bd0c06628cc47fb9cde8f317c743131a779dbaf39d,,unavailable,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2016/10/soq_vxs_20161019.csv-dl,data/public/cboe/vro_soq/raw/soq_components/2016/soq_vxs_20161019.csv,,404.0,False,,2016
2016-10-26,downloaded,https://www-api.cboe.com/us/futures/market_statistics/settlement/csv?dt=2016-10-26,data/public/cboe/vro_soq/raw/scalar_settlement/2016/cboe_vx_settlement_20161026.csv,fb3907637b20ec51927e44bd0c06628cc47fb9cde8f317c743131a779dbaf39d,,unavailable,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2016/10/soq_vxs_20161026.csv-dl,data/public/cboe/vro_soq/raw/soq_components/2016/soq_vxs_20161026.csv,,404.0,False,,2016
2016-11-16,downloaded,https://www.cboe.com/index_settlement_values/get_sv_data/O/2016/,data/public/cboe/vro_soq/raw/index_settlement_values/cboe_index_settlement_values_O_2016.json,56099246e4820c02f4fb8fe25ec728b451776a20b837e6a9805df9d01a62dfa0,,unavailable,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2016/11/soq_vxs_20161116.csv-dl,data/public/cboe/vro_soq/raw/soq_components/2016/soq_vxs_20161116.csv,,404.0,True,14.76,2016
2016-12-21,downloaded,https://www.cboe.com/index_settlement_values/get_sv_data/O/2016/,data/public/cboe/vro_soq/raw/index_settlement_values/cboe_index_settlement_values_O_2016.json,56099246e4820c02f4fb8fe25ec728b451776a20b837e6a9805df9d01a62dfa0,,unavailable,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2016/12/soq_vxs_20161221.csv-dl,data/public/cboe/vro_soq/raw/soq_components/2016/soq_vxs_20161221.csv,,404.0,True,11.15,2016
2017-01-18,downloaded,https://www.cboe.com/index_settlement_values/get_sv_data/O/2017/,data/public/cboe/vro_soq/raw/index_settlement_values/cboe_index_settlement_values_O_2017.json,b2c69b2da7a18532341831c1b6539e1e6a61a02a069e0d0fe5e8f16734c2870c,,unavailable,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2017/01/soq_vxs_20170118.csv-dl,data/public/cboe/vro_soq/raw/soq_components/2017/soq_vxs_20170118.csv,,404.0,True,12.52,2017
2017-02-15,downloaded,https://www-api.cboe.com/us/futures/market_statistics/settlement/csv?dt=2017-02-15,data/public/cboe/vro_soq/raw/scalar_settlement/2017/cboe_vx_settlement_20170215.csv,fb3907637b20ec51927e44bd0c06628cc47fb9cde8f317c743131a779dbaf39d,,unavailable,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2017/02/soq_vxs_20170215.csv-dl,data/public/cboe/vro_soq/raw/soq_components/2017/soq_vxs_20170215.csv,,404.0,False,,2017
2017-02-22,downloaded,https://www-api.cboe.com/us/futures/market_statistics/settlement/csv?dt=2017-02-22,data/public/cboe/vro_soq/raw/scalar_settlement/2017/cboe_vx_settlement_20170222.csv,fb3907637b20ec51927e44bd0c06628cc47fb9cde8f317c743131a779dbaf39d,,unavailable,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2017/02/soq_vxs_20170222.csv-dl,data/public/cboe/vro_soq/raw/soq_components/2017/soq_vxs_20170222.csv,,404.0,False,,2017
2017-03-14,downloaded,https://www-api.cboe.com/us/futures/market_statistics/settlement/csv?dt=2017-03-14,data/public/cboe/vro_soq/raw/scalar_settlement/2017/cboe_vx_settlement_20170314.csv,fb3907637b20ec51927e44bd0c06628cc47fb9cde8f317c743131a779dbaf39d,,unavailable,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2017/03/soq_vxs_20170314.csv-dl,data/public/cboe/vro_soq/raw/soq_components/2017/soq_vxs_20170314.csv,,404.0,False,,2017
2017-03-22,downloaded,https://www-api.cboe.com/us/futures/market_statistics/settlement/csv?dt=2017-03-22,data/public/cboe/vro_soq/raw/scalar_settlement/2017/cboe_vx_settlement_20170322.csv,fb3907637b20ec51927e44bd0c06628cc47fb9cde8f317c743131a779dbaf39d,,unavailable,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2017/03/soq_vxs_20170322.csv-dl,data/public/cboe/vro_soq/raw/soq_components/2017/soq_vxs_20170322.csv,,404.0,False,,2017
2017-04-19,downloaded,https://www-api.cboe.com/us/futures/market_statistics/settlement/csv?dt=2017-04-19,data/public/cboe/vro_soq/raw/scalar_settlement/2017/cboe_vx_settlement_20170419.csv,fb3907637b20ec51927e44bd0c06628cc47fb9cde8f317c743131a779dbaf39d,,unavailable,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2017/04/soq_vxs_20170419.csv-dl,data/public/cboe/vro_soq/raw/soq_components/2017/soq_vxs_20170419.csv,,404.0,False,,2017
2017-04-26,downloaded,https://www-api.cboe.com/us/futures/market_statistics/settlement/csv?dt=2017-04-26,data/public/cboe/vro_soq/raw/scalar_settlement/2017/cboe_vx_settlement_20170426.csv,fb3907637b20ec51927e44bd0c06628cc47fb9cde8f317c743131a779dbaf39d,,unavailable,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2017/04/soq_vxs_20170426.csv-dl,data/public/cboe/vro_soq/raw/soq_components/2017/soq_vxs_20170426.csv,,404.0,False,,2017
2017-05-17,downloaded,https://www.cboe.com/index_settlement_values/get_sv_data/O/2017/,data/public/cboe/vro_soq/raw/index_settlement_values/cboe_index_settlement_values_O_2017.json,b2c69b2da7a18532341831c1b6539e1e6a61a02a069e0d0fe5e8f16734c2870c,,unavailable,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2017/05/soq_vxs_20170517.csv-dl,data/public/cboe/vro_soq/raw/soq_components/2017/soq_vxs_20170517.csv,,404.0,True,12.98,2017
2017-06-21,downloaded,https://www.cboe.com/index_settlement_values/get_sv_data/O/2017/,data/public/cboe/vro_soq/raw/index_settlement_values/cboe_index_settlement_values_O_2017.json,b2c69b2da7a18532341831c1b6539e1e6a61a02a069e0d0fe5e8f16734c2870c,,unavailable,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2017/06/soq_vxs_20170621.csv-dl,data/public/cboe/vro_soq/raw/soq_components/2017/soq_vxs_20170621.csv,,404.0,True,10.71,2017
2017-07-19,downloaded,https://www-api.cboe.com/us/futures/market_statistics/settlement/csv?dt=2017-07-19,data/public/cboe/vro_soq/raw/scalar_settlement/2017/cboe_vx_settlement_20170719.csv,fb3907637b20ec51927e44bd0c06628cc47fb9cde8f317c743131a779dbaf39d,,unavailable,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2017/07/soq_vxs_20170719.csv-dl,data/public/cboe/vro_soq/raw/soq_components/2017/soq_vxs_20170719.csv,,404.0,False,,2017
2017-07-26,downloaded,https://www-api.cboe.com/us/futures/market_statistics/settlement/csv?dt=2017-07-26,data/public/cboe/vro_soq/raw/scalar_settlement/2017/cboe_vx_settlement_20170726.csv,fb3907637b20ec51927e44bd0c06628cc47fb9cde8f317c743131a779dbaf39d,,unavailable,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2017/07/soq_vxs_20170726.csv-dl,data/public/cboe/vro_soq/raw/soq_components/2017/soq_vxs_20170726.csv,,404.0,False,,2017
2017-08-16,downloaded,https://www-api.cboe.com/us/futures/market_statistics/settlement/csv?dt=2017-08-16,data/public/cboe/vro_soq/raw/scalar_settlement/2017/cboe_vx_settlement_20170816.csv,fb3907637b20ec51927e44bd0c06628cc47fb9cde8f317c743131a779dbaf39d,,unavailable,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2017/08/soq_vxs_20170816.csv-dl,data/public/cboe/vro_soq/raw/soq_components/2017/soq_vxs_20170816.csv,,404.0,False,,2017
2017-08-23,downloaded,https://www-api.cboe.com/us/futures/market_statistics/settlement/csv?dt=2017-08-23,data/public/cboe/vro_soq/raw/scalar_settlement/2017/cboe_vx_settlement_20170823.csv,fb3907637b20ec51927e44bd0c06628cc47fb9cde8f317c743131a779dbaf39d,,unavailable,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2017/08/soq_vxs_20170823.csv-dl,data/public/cboe/vro_soq/raw/soq_components/2017/soq_vxs_20170823.csv,,404.0,False,,2017
2017-09-20,downloaded,https://www-api.cboe.com/us/futures/market_statistics/settlement/csv?dt=2017-09-20,data/public/cboe/vro_soq/raw/scalar_settlement/2017/cboe_vx_settlement_20170920.csv,fb3907637b20ec51927e44bd0c06628cc47fb9cde8f317c743131a779dbaf39d,,unavailable,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2017/09/soq_vxs_20170920.csv-dl,data/public/cboe/vro_soq/raw/soq_components/2017/soq_vxs_20170920.csv,,404.0,False,,2017
2017-09-27,downloaded,https://www-api.cboe.com/us/futures/market_statistics/settlement/csv?dt=2017-09-27,data/public/cboe/vro_soq/raw/scalar_settlement/2017/cboe_vx_settlement_20170927.csv,fb3907637b20ec51927e44bd0c06628cc47fb9cde8f317c743131a779dbaf39d,,unavailable,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2017/09/soq_vxs_20170927.csv-dl,data/public/cboe/vro_soq/raw/soq_components/2017/soq_vxs_20170927.csv,,404.0,False,,2017
2017-10-04,downloaded,https://www-api.cboe.com/us/futures/market_statistics/settlement/csv?dt=2017-10-04,data/public/cboe/vro_soq/raw/scalar_settlement/2017/cboe_vx_settlement_20171004.csv,fb3907637b20ec51927e44bd0c06628cc47fb9cde8f317c743131a779dbaf39d,,unavailable,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2017/10/soq_vxs_20171004.csv-dl,data/public/cboe/vro_soq/raw/soq_components/2017/soq_vxs_20171004.csv,,404.0,False,,2017
2017-10-18,downloaded,https://www-api.cboe.com/us/futures/market_statistics/settlement/csv?dt=2017-10-18,data/public/cboe/vro_soq/raw/scalar_settlement/2017/cboe_vx_settlement_20171018.csv,fb3907637b20ec51927e44bd0c06628cc47fb9cde8f317c743131a779dbaf39d,,unavailable,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2017/10/soq_vxs_20171018.csv-dl,data/public/cboe/vro_soq/raw/soq_components/2017/soq_vxs_20171018.csv,,404.0,False,,2017
2017-10-25,downloaded,https://www-api.cboe.com/us/futures/market_statistics/settlement/csv?dt=2017-10-25,data/public/cboe/vro_soq/raw/scalar_settlement/2017/cboe_vx_settlement_20171025.csv,fb3907637b20ec51927e44bd0c06628cc47fb9cde8f317c743131a779dbaf39d,,unavailable,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2017/10/soq_vxs_20171025.csv-dl,data/public/cboe/vro_soq/raw/soq_components/2017/soq_vxs_20171025.csv,,404.0,False,,2017
2017-11-08,downloaded,https://www-api.cboe.com/us/futures/market_statistics/settlement/csv?dt=2017-11-08,data/public/cboe/vro_soq/raw/scalar_settlement/2017/cboe_vx_settlement_20171108.csv,fb3907637b20ec51927e44bd0c06628cc47fb9cde8f317c743131a779dbaf39d,,unavailable,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2017/11/soq_vxs_20171108.csv-dl,data/public/cboe/vro_soq/raw/soq_components/2017/soq_vxs_20171108.csv,,404.0,False,,2017
2017-11-15,downloaded,https://www-api.cboe.com/us/futures/market_statistics/settlement/csv?dt=2017-11-15,data/public/cboe/vro_soq/raw/scalar_settlement/2017/cboe_vx_settlement_20171115.csv,fb3907637b20ec51927e44bd0c06628cc47fb9cde8f317c743131a779dbaf39d,,unavailable,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2017/11/soq_vxs_20171115.csv-dl,data/public/cboe/vro_soq/raw/soq_components/2017/soq_vxs_20171115.csv,,404.0,False,,2017
2017-11-29,downloaded,https://www-api.cboe.com/us/futures/market_statistics/settlement/csv?dt=2017-11-29,data/public/cboe/vro_soq/raw/scalar_settlement/2017/cboe_vx_settlement_20171129.csv,fb3907637b20ec51927e44bd0c06628cc47fb9cde8f317c743131a779dbaf39d,,unavailable,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2017/11/soq_vxs_20171129.csv-dl,data/public/cboe/vro_soq/raw/soq_components/2017/soq_vxs_20171129.csv,,404.0,False,,2017
2017-12-20,downloaded,https://www-api.cboe.com/us/futures/market_statistics/settlement/csv?dt=2017-12-20,data/public/cboe/vro_soq/raw/scalar_settlement/2017/cboe_vx_settlement_20171220.csv,fb3907637b20ec51927e44bd0c06628cc47fb9cde8f317c743131a779dbaf39d,,unavailable,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2017/12/soq_vxs_20171220.csv-dl,data/public/cboe/vro_soq/raw/soq_components/2017/soq_vxs_20171220.csv,,404.0,False,,2017
2017-12-27,downloaded,https://www-api.cboe.com/us/futures/market_statistics/settlement/csv?dt=2017-12-27,data/public/cboe/vro_soq/raw/scalar_settlement/2017/cboe_vx_settlement_20171227.csv,fb3907637b20ec51927e44bd0c06628cc47fb9cde8f317c743131a779dbaf39d,,unavailable,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2017/12/soq_vxs_20171227.csv-dl,data/public/cboe/vro_soq/raw/soq_components/2017/soq_vxs_20171227.csv,,404.0,False,,2017
