expiration,scalar_status,scalar_url,scalar_file,scalar_sha256,scalar_error,component_status,component_url,component_file,component_sha256,component_error,parsed_settlement,settlement_value,Year
2015-02-18,downloaded,https://www.cboe.com/index_settlement_values/get_sv_data/O/2015/,data/public/cboe/vro_soq/raw/index_settlement_values/cboe_index_settlement_values_O_2015.json,998506f06a8ce5d7dee2a9b81c191e090b71bb285d0d8e356cef226aa19e2159,,downloaded,https://cdn.cboe.com/resources/futures/archive/settlements/Vix_Series_02182015.xls,data/public/cboe/vro_soq/raw/soq_components/2015/Vix_Series_02182015.xls,37d297bcb90a0f3394cb04b1d2f098fe3700c228031bd5c6599b502e7a9fb7c9,,True,16.64,2015
2015-03-18,downloaded,https://www.cboe.com/index_settlement_values/get_sv_data/O/2015/,data/public/cboe/vro_soq/raw/index_settlement_values/cboe_index_settlement_values_O_2015.json,998506f06a8ce5d7dee2a9b81c191e090b71bb285d0d8e356cef226aa19e2159,,downloaded,https://cdn.cboe.com/resources/futures/archive/settlements/Vix_Series_03182015.xls,data/public/cboe/vro_soq/raw/soq_components/2015/Vix_Series_03182015.xls,8e173f82e0c712177235e5ebb3f16e492ca216387b9899b54b07f05d3c18f184,,True,15.67,2015
2015-04-15,downloaded,https://www.cboe.com/index_settlement_values/get_sv_data/O/2015/,data/public/cboe/vro_soq/raw/index_settlement_values/cboe_index_settlement_values_O_2015.json,998506f06a8ce5d7dee2a9b81c191e090b71bb285d0d8e356cef226aa19e2159,,downloaded,https://cdn.cboe.com/resources/futures/archive/settlements/Vix_Series_04152015.xls,data/public/cboe/vro_soq/raw/soq_components/2015/Vix_Series_04152015.xls,aec9564b9ebaa11a54a9f29f3c214009ff13c12fd6febc276b7f214da31892d0,,True,13.81,2015
2015-05-20,downloaded,https://www.cboe.com/index_settlement_values/get_sv_data/O/2015/,data/public/cboe/vro_soq/raw/index_settlement_values/cboe_index_settlement_values_O_2015.json,998506f06a8ce5d7dee2a9b81c191e090b71bb285d0d8e356cef226aa19e2159,,downloaded,https://cdn.cboe.com/resources/futures/archive/settlements/Vix_Series_05202015.xls,data/public/cboe/vro_soq/raw/soq_components/2015/Vix_Series_05202015.xls,4c4837c2cdb1340b0a1b3b0c7bafb3e18f94929ba869fb86b28ae551a8041761,,True,12.8,2015
2015-06-17,downloaded,https://www.cboe.com/index_settlement_values/get_sv_data/O/2015/,data/public/cboe/vro_soq/raw/index_settlement_values/cboe_index_settlement_values_O_2015.json,998506f06a8ce5d7dee2a9b81c191e090b71bb285d0d8e356cef226aa19e2159,,downloaded,https://cdn.cboe.com/resources/futures/archive/settlements/Vix_Series_06172015.xls,data/public/cboe/vro_soq/raw/soq_components/2015/Vix_Series_06172015.xls,792d4ee6ebe88f0591c31d5116ed15aa9bccc6eb2697dc22ee76f74cb818c428,,True,14.67,2015
2015-07-22,downloaded,https://www.cboe.com/index_settlement_values/get_sv_data/O/2015/,data/public/cboe/vro_soq/raw/index_settlement_values/cboe_index_settlement_values_O_2015.json,998506f06a8ce5d7dee2a9b81c191e090b71bb285d0d8e356cef226aa19e2159,,downloaded,https://cdn.cboe.com/resources/futures/archive/settlements/Vix_Series_07222015.xls,data/public/cboe/vro_soq/raw/soq_components/2015/Vix_Series_07222015.xls,a1e156c41418e0cf61850dbaeea83b47a3d5245a1d68122381cb6e44b4492147,,True,12.82,2015
2015-08-19,downloaded,https://www.cboe.com/index_settlement_values/get_sv_data/O/2015/,data/public/cboe/vro_soq/raw/index_settlement_values/cboe_index_settlement_values_O_2015.json,998506f06a8ce5d7dee2a9b81c191e090b71bb285d0d8e356cef226aa19e2159,,downloaded,https://cdn.cboe.com/resources/futures/archive/settlements/Vix_Series_08192015.xls,data/public/cboe/vro_soq/raw/soq_components/2015/Vix_Series_08192015.xls,21ed4d26c61ce86c9d11e155ce0d2e806bb4156c430085df48d832394c53b6e4,,True,14.78,2015
2015-09-16,downloaded,https://www.cboe.com/index_settlement_values/get_sv_data/O/2015/,data/public/cboe/vro_soq/raw/index_settlement_values/cboe_index_settlement_values_O_2015.json,998506f06a8ce5d7dee2a9b81c191e090b71bb285d0d8e356cef226aa19e2159,,downloaded,https://cdn.cboe.com/resources/futures/archive/settlements/Vix_Series_09162015.xls,data/public/cboe/vro_soq/raw/soq_components/2015/Vix_Series_09162015.xls,6cf125837710df8a7256a87ac32f43517e160e2473ab38b9839ec1d29ed05d1e,,True,22.38,2015
2015-10-21,downloaded,https://www.cboe.com/index_settlement_values/get_sv_data/O/2015/,data/public/cboe/vro_soq/raw/index_settlement_values/cboe_index_settlement_values_O_2015.json,998506f06a8ce5d7dee2a9b81c191e090b71bb285d0d8e356cef226aa19e2159,,downloaded,https://cdn.cboe.com/resources/futures/archive/settlements/Vix_Series_10212015.xls,data/public/cboe/vro_soq/raw/soq_components/2015/Vix_Series_10212015.xls,afb66c6e9d5b25f235ba266818c64b4024c5b52b68c65556ca3f58f111595021,,True,14.91,2015
2015-11-18,downloaded,https://www.cboe.com/index_settlement_values/get_sv_data/O/2015/,data/public/cboe/vro_soq/raw/index_settlement_values/cboe_index_settlement_values_O_2015.json,998506f06a8ce5d7dee2a9b81c191e090b71bb285d0d8e356cef226aa19e2159,,downloaded,https://cdn.cboe.com/resources/futures/archive/settlements/Vix_Series_11182015.xls,data/public/cboe/vro_soq/raw/soq_components/2015/Vix_Series_11182015.xls,2a421fb042dd57f7045dcae7800a3133ca46c1ae3055963b0311d294bd9c3f5e,,True,19.16,2015
