Scenario,Repaired orders,Partial fills,Avg extra cost per repaired order,Foregone gross from unfilled remainders
full_spread_repaired,4181,4181,0.0,-4.580216142373462
half_spread_repaired,4181,4181,0.0,-4.580216142373462
mid_repaired,4181,4181,0.0,-4.580216142373462
