asset_id,n_train_rows,mean_relative_spread,mean_mark,entry_cost,source
AAPL_call_atm,67,0.012392556170502937,3.828507462686567,0.009409337390768572,train_observed
AAPL_call_call_near,60,0.023216576761501986,1.09,0.023825997545637093,train_observed
AAPL_call_put_near,62,0.013918410591139354,10.197903225806451,0.007850988125451638,train_observed
AAPL_put_atm,67,0.012953392611607105,3.5814925373134328,0.009720718613688202,train_observed
AAPL_put_call_near,55,0.016972286649782557,10.536,0.00937602940853361,train_observed
AAPL_put_put_near,62,0.020729029236872344,1.623225806451613,0.0206394390184336,train_observed
AMZN_call_atm,69,0.02562795768321237,31.011014492753628,0.013304066364442554,train_observed
AMZN_call_call_near,67,0.057475021086285716,11.181492537313432,0.031388847042589575,train_observed
AMZN_call_put_near,59,0.020915174600865,84.02203389830508,0.010607476707084366,train_observed
AMZN_put_atm,69,0.026396548438795474,30.6463768115942,0.013659439597353574,train_observed
AMZN_put_put_near,69,0.04891407932447616,12.752608695652173,0.026079013855547586,train_observed
AMZN_put_put_wing,53,0.0907648366096515,4.635660377358491,0.051238830756909874,train_observed
GOOGL_call_atm,69,0.045380526796263566,18.012753623188406,0.023309464896650922,train_observed
GOOGL_call_call_near,59,0.0969108326320832,5.593728813559323,0.05127605905074443,train_observed
GOOGL_call_put_near,37,0.04052301378191857,57.57972972972973,0.020420946415213418,train_observed
GOOGL_put_atm,66,0.04753430568152244,18.62212121212121,0.024379716705810402,train_observed
GOOGL_put_put_near,67,0.09525735698787038,6.5964179104477605,0.049920978241151846,train_observed
JPM_call_atm,69,0.019897227212836866,1.7384057971014493,0.015939525532535605,train_observed
JPM_call_call_near,39,0.05067162697775949,0.6958974358974359,0.04300118722481015,train_observed
JPM_call_put_near,60,0.02451051576415552,5.161666666666666,0.013943637212996131,train_observed
JPM_put_atm,69,0.019746223570101726,1.9130434782608696,0.015128018486946192,train_observed
JPM_put_put_near,61,0.039386619968240104,0.7652459016393443,0.03559207044526741,train_observed
META_call_atm,69,0.017648734089519526,3.4152173913043478,0.01194904533296761,train_observed
META_call_call_near,67,0.02987628581181959,1.2000000000000002,0.026388993984345042,train_observed
META_call_put_near,67,0.016210549392049887,9.223731343283582,0.009065148314466477,train_observed
META_call_put_wing,37,0.014378610098203896,20.837567567567568,0.007599122308825755,train_observed
META_put_atm,69,0.017499203349621607,3.6495652173913045,0.011695961383897448,train_observed
META_put_call_near,51,0.018852050845945195,9.510980392156863,0.010424670824456143,train_observed
META_put_put_near,68,0.029242272389489343,1.5830882352941178,0.023694791304207315,train_observed
MSFT_call_atm,69,0.021431707114315413,2.0030434782608695,0.01767402348198181,train_observed
MSFT_call_call_near,41,0.04408296041166521,0.9526829268292684,0.037875741775242625,train_observed
MSFT_call_put_near,58,0.024784808182411026,5.67448275862069,0.014188838089916427,train_observed
MSFT_put_atm,69,0.021391380826779344,2.0047826086956517,0.01770306115049129,train_observed
MSFT_put_put_near,54,0.0393504238276269,0.9705555555555555,0.03518027746912322,train_observed
NVDA_call_atm,66,0.028290448774650267,6.866515151515151,0.017109892541461693,train_observed
NVDA_call_call_near,64,0.04923386222279888,2.97203125,0.032649622414880966,train_observed
NVDA_call_put_near,56,0.02608829508156926,14.158035714285715,0.014297032546882856,train_observed
NVDA_call_put_wing,37,0.02157646745118196,26.967297297297296,0.011444202416243493,train_observed
NVDA_put_atm,68,0.030483913187478843,6.214117647058823,0.018903750245088915,train_observed
NVDA_put_call_near,49,0.02590796508881494,14.445306122448981,0.014412261252818102,train_observed
NVDA_put_put_near,60,0.041148170559612195,3.6213333333333333,0.026985320750053318,train_observed
NVDA_put_put_wing,43,0.05277749876169188,1.9313953488372093,0.03583645636670823,train_observed
TSLA_call_atm,67,0.022972456588898276,15.770149253731342,0.012274477641320367,train_observed
TSLA_call_call_near,67,0.034494574585045575,8.942537313432835,0.019351522025415773,train_observed
TSLA_call_put_near,65,0.022854947283352967,25.759692307692305,0.011831022569959923,train_observed
TSLA_put_atm,67,0.02269444344742555,16.518059701492536,0.012080929066344512,train_observed
TSLA_put_call_near,60,0.02070755583495022,29.401,0.0107138339567383,train_observed
TSLA_put_put_near,67,0.03035466525699754,9.528507462686568,0.01663098691353475,train_observed
TSLA_put_put_wing,65,0.04799141105747225,4.657384615384616,0.028513525286064535,train_observed
VIX_call_vix_atm,51,0.15,1.958235294117647,0.07949118104032672,train_observed
VIX_call_vix_call_near,51,0.15,1.1627450980392156,0.08265459708199352,train_observed
VIX_call_vix_call_wing,51,0.15,0.507843137254902,0.0933653573385656,train_observed
VIX_put_vix_atm,51,0.15,2.0554901960784315,0.08183136257526501,train_observed
VIX_put_vix_put_near,46,0.15,0.7549999999999999,0.0903950993149789,train_observed
