hurdle,asset_id,expected_return,expected_cost,risk_estimate,passed
0.0,AAPL_call_atm,0.11941272234441165,0.012642073737475775,6.065246890684445,True
0.0,AAPL_call_call_near,0.1456550473038897,0.021487132930894548,9.08574135119046,True
0.0,AAPL_call_put_near,0.05975635090237397,0.013221493997580528,1.5975440013569087,True
0.0,AAPL_put_atm,-0.06628875996547388,0.01318116677459682,3.0684904788885494,False
0.0,AAPL_put_call_near,-0.05344371991641658,0.016161947545769342,1.3775211104671639,False
0.0,AAPL_put_put_near,-0.07795210269382966,0.018235759105520836,3.630700906579173,False
0.0,AMZN_call_atm,0.12325958981147796,0.020565437451557575,9.108848678132729,True
0.0,AMZN_call_call_near,0.154029205145672,0.040068763394624764,4.322825710254416,True
0.0,AMZN_call_put_near,0.04335636082273424,0.017784603453243304,1.0455385974795806,True
0.0,AMZN_put_atm,-0.12749874486251855,0.021619590817126375,4.513740536080883,False
0.0,AMZN_put_put_near,-0.13220162675670288,0.035420755375553954,5.385337113038816,False
0.0,AMZN_put_put_wing,-0.0707957171866128,0.0638607624751455,4.695030152225522,False
0.0,GOOGL_call_atm,0.14452428622982832,0.03380966031471809,5.412020783655365,True
0.0,GOOGL_call_call_near,0.22404841337444403,0.06638015319936916,11.271370471550721,True
0.0,GOOGL_call_put_near,0.02187058501192737,0.028079918092893362,1.4238157412131214,False
0.0,GOOGL_put_atm,-0.077280302242738,0.03498370692760914,3.1768992586666496,False
0.0,GOOGL_put_put_near,-0.09744348910180164,0.06541960369160543,3.5695631646750727,False
0.0,JPM_call_atm,0.06126203909343933,0.02400258211261695,1.8354955042416954,True
0.0,JPM_call_call_near,0.06732839936276312,0.050324366330937995,8.084460378843335,True
0.0,JPM_call_put_near,0.0471529693776296,0.025407816734357477,1.2153083385326244,True
0.0,JPM_put_atm,-0.047860851402738346,0.024137092694635473,2.2613525171347106,False
0.0,JPM_put_put_near,-0.06518978095652504,0.04043010036317424,3.562999460720182,False
0.0,META_call_atm,0.05851857233174861,0.016785617722824987,2.56715900395837,True
0.0,META_call_call_near,0.05376447077062201,0.026689318139191585,8.107659265831412,True
0.0,META_call_put_near,0.04798615541064371,0.014655024293789658,1.719191460250624,True
0.0,META_call_put_wing,0.0013083637141455325,0.014128774566308303,0.7443386246483328,False
0.0,META_put_atm,-0.06384029805122515,0.016701547839775517,2.252898526662159,False
0.0,META_put_call_near,-0.04333903580172688,0.016796585243332874,1.482166304859668,False
0.0,META_put_put_near,-0.09713804570567719,0.02594124825973924,2.613586768900087,False
0.0,MSFT_call_atm,0.10594726817675777,0.020631646997447614,6.059744792197607,True
0.0,MSFT_call_call_near,0.06878698466296466,0.03684722364012391,4.951546291997086,True
0.0,MSFT_call_put_near,0.07041492277830018,0.02065833419497388,1.4677244900855333,True
0.0,MSFT_put_atm,-0.1301086773017496,0.020640801078990374,4.037406935546019,False
0.0,MSFT_put_put_near,-0.13492156294438082,0.03253245026189212,2.4930430725154924,False
0.0,NVDA_call_atm,0.1857717988920176,0.02122694835994255,3.4090572832595,True
0.0,NVDA_call_call_near,0.2524030842431249,0.03414742554537031,8.477552281902662,True
0.0,NVDA_call_put_near,0.10981410453595913,0.01841960559879955,1.54331838135885,True
0.0,NVDA_call_put_wing,0.08295807210615935,0.015514603446460839,1.9925781121983772,True
0.0,NVDA_put_atm,-0.12004421900240746,0.022712622555130624,2.5139629493094664,False
0.0,NVDA_put_call_near,-0.10501612119510835,0.01835369840023768,1.8539564785346487,False
0.0,NVDA_put_put_near,-0.15277503918551913,0.02939475698645174,2.865858401752539,False
0.0,NVDA_put_put_wing,-0.15650519751733935,0.0374441814584191,34.26139759364935,False
0.0,TSLA_call_atm,0.1412681764937385,0.01659610127490221,2.595755392201306,True
0.0,TSLA_call_call_near,0.16364219190338716,0.02430609320458936,6.335289050983417,True
0.0,TSLA_call_put_near,0.09039217160629431,0.016123788075508686,1.672125197798312,True
0.0,TSLA_put_atm,-0.07059806706377841,0.016403720031726226,1.6758881615170809,False
0.0,TSLA_put_call_near,-0.0668788895118702,0.014983415970708803,3.6484389942789406,False
0.0,TSLA_put_put_near,-0.1039650817510685,0.021818981108954368,2.6609979011394116,False
0.0,TSLA_put_put_wing,-0.15778383765979928,0.033256779635988706,3.149685999814521,False
0.0,VIX_call_vix_atm,-0.24947140991241157,0.15,3.673695190965707,False
0.0,VIX_call_vix_call_near,-0.35,0.15,4.588067098798144,False
