asset_id,historical_mean,theta_carry,equity_premium,variance_risk_premium,vol_premium,skew_tail_premium,relative_value,shrunk_mu
AAPL_call_atm,0.6763930368928087,-0.0037077923579647227,0.16953100460753706,-0.00021716780327366318,4.861211215445214e-06,0.0,0.00696715652625515,0.11941272234441165
AAPL_call_call_near,0.8149859939151674,-0.006640267491389239,0.21628433365147068,-0.00046195898563623436,8.615303090348563e-06,0.0,0.0046641038970409755,0.1456550473038897
AAPL_call_put_near,0.3074854700692528,-0.0008189970549898606,0.09810805606100678,-7.58115499789574e-05,1.0277203465955872e-06,0.0,-0.0005215955248889621,0.05975635090237397
AAPL_put_atm,-0.1801811484292276,-0.0038980025102237424,-0.1655734680349309,-0.00019695971391842673,5.223776896623351e-06,0.0,0.008761056073672703,-0.06628875996547388
AAPL_put_call_near,-0.25347100285673607,-0.0010394997792818798,-0.09552353187998548,-7.485552310254116e-05,1.2608421040425563e-06,-0.00020311928673554468,0.0031843468578581697,-0.05344371991641658
AAPL_put_put_near,-0.1915748348906706,-0.006634441995139554,-0.19063591304872868,-0.000490056521147467,8.204723919339108e-06,-0.0013217655605050865,0.003091908385726146,-0.07795210269382966
AMZN_call_atm,0.24000855069628596,-0.003813908191738373,0.3258661554204955,0.00013746078216357496,-2.5498385987728635e-06,0.0,0.008675290967175875,0.12325958981147796
AMZN_call_call_near,0.2618073970586512,-0.00958540960087491,0.4326488807429087,9.78313232649397e-06,-5.8356492752724945e-06,0.0,0.003094132840937885,0.154029205145672
AMZN_call_put_near,0.12208375558256636,-0.0008057243425298371,0.1310184163716998,-9.086699284326234e-05,-3.3239497040831144e-07,0.0,-0.02629487509309761,0.04335636082273424
AMZN_put_atm,-0.3362001815061177,-0.00408910741305595,-0.3164405832551765,0.0001148647357815037,-2.6836381095102853e-06,0.0,0.007488420530871249,-0.12749874486251855
AMZN_put_put_near,-0.23108205594557307,-0.006626265161417649,-0.3602292689237747,7.144847271224276e-05,-4.150639449331123e-06,-0.0016108188691838015,0.00475431791396126,-0.13220162675670288
AMZN_put_put_wing,0.23283097174574732,-0.00797797219488416,-0.2950639280481756,-0.0005203490997820462,-5.064539721152432e-06,-0.00196549381032792,-0.008063240177734259,-0.0707957171866128
GOOGL_call_atm,0.825703472794914,-0.004232306325321769,0.19991486373626616,-1.4286272213367542e-06,-7.3140949234750714e-06,0.0,0.01083931514565678,0.14452428622982832
GOOGL_call_call_near,1.4237503623686187,-0.007985798576972673,0.2734499660259304,-0.00022884399965500776,-1.288299301856642e-05,0.0,0.007022150002323019,0.22404841337444403
GOOGL_call_put_near,-0.055303053639444336,-0.001593670421407036,0.10745795037712924,-0.0002348546815050091,-2.0271549501547755e-06,0.0,-0.014291096866361045,0.02187058501192737
